,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.25,0.0,0.0,0.0,32722744.0,852443.0,551752132.8,0.0
1,1.2,0.04,0.05,49738.16,32722744.0,820902.63,526676891.89,0.0429
2,1.2,0.04,0.06,95185.93,32722744.0,815530.27,517223648.01,0.0383
3,1.18,0.06,0.07,126239.11,32722744.0,804926.31,511174078.4,0.0325
4,1.16,0.08,0.08,150237.63,32722744.0,788223.45,507211047.58,0.0287
5,1.15,0.08,0.08,158742.94,32722744.0,781952.8,506372963.01,0.0184
6,1.16,0.07,0.08,167991.75,32722744.0,789179.17,505706200.22,0.0211
7,1.17,0.07,0.08,172509.87,32722744.0,794330.42,505436500.34,0.0051
8,1.17,0.07,0.08,173382.45,32722744.0,795298.84,505419641.77,0.0147
9,1.17,0.07,0.08,173382.45,32722744.0,795298.84,505419641.77,0.0162
