,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.21,0.0,0.0,0.0,162338416.0,4089640.0,2921299191.6,0.0
1,1.19,0.01,0.03,166665.76,162338416.0,4032755.89,2830693815.1,0.0242
2,1.18,0.03,0.05,294400.2,162338416.0,3980643.56,2761072415.17,0.0227
3,1.15,0.05,0.08,459266.14,162338416.0,3901778.72,2681869883.17,0.0271
4,1.14,0.06,0.09,591683.56,162338416.0,3862936.22,2647544559.62,0.0205
5,1.13,0.06,0.1,669396.53,162338416.0,3832141.58,2625133154.21,0.0193
6,1.13,0.06,0.1,679435.69,162338416.0,3828309.46,2624202903.55,0.0133
7,1.13,0.06,0.1,679435.69,162338416.0,3828309.46,2624202903.55,0.0137
