,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,battery_capacity_max,battery_capacity_min,battery_power,no_iterations,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time
0,50,1,0,0,8,0,minizinc_fw,0,5000,0,5000,7,3.54,1.84,28644.0,14925.28,388940.0,0.48,0.08,0.021375,15.309999999999999
1,50,1,0,0,8,0,minizinc_fw,0,,,,6,3.54,1.81,28644.0,14699.38,388940.0,0.49,0.08,0.025985714285714282,11.344285714285714
2,50,1,1,0,8,0,minizinc_fw,0,5000,0,5000,7,3.54,1.84,28644.0,14925.28,388940.0,0.48,0.08,0.0204875,15.33625
3,50,1,1,0,8,0,minizinc_fw,0,,,,5,3.54,1.81,28644.0,14699.74,388940.0,0.49,0.08,0.028316666666666667,11.106666666666667
4,50,1,3,0,8,0,minizinc_fw,0,5000,0,5000,8,3.54,1.84,28644.0,14896.08,388940.0,0.48,0.08,0.018122222222222224,15.732222222222223
5,50,1,3,0,8,0,minizinc_fw,0,,,,5,3.54,1.81,28644.0,14697.65,388940.0,0.49,0.08,0.027816666666666667,10.365
6,50,1,5,0,8,0,minizinc_fw,0,5000,0,5000,14,3.54,1.84,28644.0,14882.79,388940.0,0.48,0.08,0.013600000000000001,15.751333333333331
7,50,1,5,0,8,0,minizinc_fw,0,,,,5,3.54,1.81,28644.0,14696.16,388940.0,0.49,0.08,0.03006666666666667,10.736666666666665
8,50,50,0,0,8,0,minizinc_fw,0,5000,0,5000,10,3.54,1.98,28644.0,16014.71,388940.0,0.44,0.08,0.01670909090909091,14.595454545454546
9,50,50,0,0,8,0,minizinc_fw,0,,,,5,3.54,1.84,28644.0,14900.0,388940.0,0.48,0.08,0.018783333333333332,9.628333333333334
10,50,50,1,0,8,0,minizinc_fw,0,5000,0,5000,10,3.54,1.98,28644.0,16014.71,388940.0,0.44,0.08,0.016172727272727273,14.481818181818182
11,50,50,1,0,8,0,minizinc_fw,0,,,,5,3.54,1.84,28644.0,14900.0,388940.0,0.48,0.08,0.018550000000000004,10.18
12,50,50,3,0,8,0,minizinc_fw,0,5000,0,5000,10,3.54,1.98,28644.0,16014.71,388940.0,0.44,0.08,0.01631818181818182,14.69
13,50,50,3,0,8,0,minizinc_fw,0,,,,6,3.54,1.81,28644.0,14699.72,388940.0,0.49,0.08,0.025585714285714285,9.537142857142856
14,50,50,5,0,8,0,minizinc_fw,0,5000,0,5000,10,3.54,1.98,28644.0,16014.71,388940.0,0.44,0.08,0.01631818181818182,14.145454545454548
15,50,50,5,0,8,0,minizinc_fw,0,,,,4,3.54,1.84,28644.0,14890.62,388940.0,0.48,0.08,0.0223,9.318
16,50,100,0,0,8,0,minizinc_fw,0,5000,0,5000,18,3.54,2.01,28644.0,16312.27,388940.0,0.43,0.08,0.01236842105263158,14.968947368421054
17,50,100,0,0,8,0,minizinc_fw,0,,,,4,3.54,1.84,28644.0,14897.45,388940.0,0.48,0.08,0.0233,9.162
18,50,100,1,0,8,0,minizinc_fw,0,5000,0,5000,18,3.54,2.01,28644.0,16312.27,388940.0,0.43,0.08,0.012157894736842105,14.741052631578947
19,50,100,1,0,8,0,minizinc_fw,0,,,,4,3.54,1.84,28644.0,14897.45,388940.0,0.48,0.08,0.024600000000000004,8.943999999999999
20,50,100,3,0,8,0,minizinc_fw,0,5000,0,5000,18,3.54,2.01,28644.0,16312.27,388940.0,0.43,0.08,0.012226315789473684,14.419473684210525
21,50,100,3,0,8,0,minizinc_fw,0,,,,4,3.54,1.91,28644.0,15495.91,388940.0,0.46,0.08,0.02074,8.828
22,50,100,5,0,8,0,minizinc_fw,0,5000,0,5000,18,3.54,2.01,28644.0,16312.27,388940.0,0.43,0.08,0.012257894736842107,14.558947368421054
23,50,100,5,0,8,0,minizinc_fw,0,,,,4,3.54,1.91,28644.0,15490.11,388940.0,0.46,0.08,0.02448,8.776
24,50,1000,0,0,8,0,minizinc_fw,0,5000,0,5000,6,3.54,2.11,28644.0,17115.59,388940.0,0.4,0.08,0.018885714285714287,12.634285714285713
25,50,1000,0,0,8,0,minizinc_fw,0,,,,2,3.54,2.16,28644.0,17516.65,388940.0,0.39,0.08,0.025633333333333338,7.22
26,50,1000,1,0,8,0,minizinc_fw,0,5000,0,5000,6,3.54,2.11,28644.0,17115.59,388940.0,0.4,0.08,0.020100000000000003,12.23142857142857
27,50,1000,1,0,8,0,minizinc_fw,0,,,,2,3.54,2.16,28644.0,17516.65,388940.0,0.39,0.08,0.02986666666666667,6.890000000000001
28,50,1000,3,0,8,0,minizinc_fw,0,5000,0,5000,6,3.54,2.11,28644.0,17115.59,388940.0,0.4,0.08,0.018857142857142857,12.59
29,50,1000,3,0,8,0,minizinc_fw,0,,,,2,3.54,2.16,28644.0,17516.65,388940.0,0.39,0.08,0.0267,7.330000000000001
30,50,1000,5,0,8,0,minizinc_fw,0,5000,0,5000,5,3.54,2.07,28644.0,16811.85,388940.0,0.41,0.08,0.021366666666666662,12.225000000000001
31,50,1000,5,0,8,0,minizinc_fw,0,,,,2,3.54,2.16,28644.0,17516.65,388940.0,0.39,0.08,0.0265,6.72
32,50,100000,0,0,8,0,minizinc_fw,0,5000,0,5000,20,3.54,2.38,28644.0,19269.24,388940.0,0.33,0.08,0.018857142857142857,13.73428571428571
33,50,100000,0,0,8,0,minizinc_fw,0,,,,2,3.54,3.05,28644.0,24696.0,388940.0,0.14,0.07,0.025233333333333333,6.723333333333334
34,50,100000,1,0,8,0,minizinc_fw,0,5000,0,5000,20,3.54,2.38,28644.0,19269.24,388940.0,0.33,0.08,0.01864761904761905,13.706190476190475
35,50,100000,1,0,8,0,minizinc_fw,0,,,,2,3.54,3.05,28644.0,24696.0,388940.0,0.14,0.07,0.02836666666666667,6.900000000000001
36,50,100000,3,0,8,0,minizinc_fw,0,5000,0,5000,16,3.54,2.37,28644.0,19188.53,388940.0,0.33,0.08,0.02264705882352941,13.641764705882352
37,50,100000,3,0,8,0,minizinc_fw,0,,,,2,3.54,3.05,28644.0,24708.0,388940.0,0.14,0.07,0.032733333333333337,6.773333333333333
38,50,100000,5,0,8,0,minizinc_fw,0,5000,0,5000,20,3.54,2.38,28644.0,19269.24,388940.0,0.33,0.08,0.0188,13.894285714285713
39,50,100000,5,0,8,0,minizinc_fw,0,,,,2,3.54,3.05,28644.0,24708.0,388940.0,0.14,0.07,0.03353333333333334,6.599999999999999
40,100,1,0,0,8,0,minizinc_fw,0,5000,0,5000,92,1.8,1.06,34205.0,20197.46,911399.0,0.41,0.09,0.0062526881720430085,32.35774193548386
