,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,battery_capacity_max,battery_capacity_min,battery_power,no_iterations,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,inconvenient,pricing_time,rescheduling_time
0,1,0,3,0,6,0,minizinc_fw,0,5000,0,5000,3,12.77,7.02,2400.0,1319.97,9021.0,0.45,0.32,0.0,0.001,0.395
1,1,0,3,0,6,0,minizinc_fw,0,,,,4,12.77,6.92,2400.0,1300.09,9021.0,0.46,0.32,0.0,0.00106,0.278
2,1,1,3,0,6,0,minizinc_fw,0,5000,0,5000,3,12.77,7.02,2400.0,1319.97,9021.0,0.45,0.32,6.13,0.0010249999999999999,0.405
3,1,1,3,0,6,0,minizinc_fw,0,,,,1,12.77,12.77,2400,2400,9021,0.0,0.0,0,0.00035,0.2
4,1,50,3,0,6,0,minizinc_fw,0,5000,0,5000,3,12.77,7.02,2400.0,1319.97,9021.0,0.45,0.32,306.67,0.000975,0.3975
5,1,50,3,0,6,0,minizinc_fw,0,,,,1,12.77,12.77,2400,2400,9021,0.0,0.0,0,0.0004,0.18
6,1,100,3,0,6,0,minizinc_fw,0,5000,0,5000,5,12.77,1.02,2400.0,191.51,9021.0,0.92,0.32,0.0,0.003566666666666667,0.4566666666666667
7,1,100,3,0,6,0,minizinc_fw,0,,,,1,12.77,12.77,2400,2400,9021,0.0,0.0,0,0.0004,0.175
8,10,0,3,0,6,0,minizinc_fw,0,5000,0,5000,2,8.59,4.42,13700.0,7047.85,76545.0,0.49,0.17,0.0,0.005033333333333333,3.9133333333333327
9,10,0,3,0,6,0,minizinc_fw,0,,,,4,8.59,4.39,13700.0,7005.54,76545.0,0.49,0.17,0.0,0.0033599999999999997,3.41
10,10,1,3,0,6,0,minizinc_fw,0,5000,0,5000,4,8.59,3.16,13700.0,5035.21,76545.0,0.63,0.17,0.0,0.00926,4.79
11,10,1,3,0,6,0,minizinc_fw,0,,,,4,8.59,4.39,13700.0,6994.59,76545.0,0.49,0.17,30.06,0.0038799999999999993,3.504
12,10,50,3,0,6,0,minizinc_fw,0,5000,0,5000,4,8.59,3.16,13700.0,5035.21,76545.0,0.63,0.17,0.0,0.00722,5.026000000000001
13,10,50,3,0,6,0,minizinc_fw,0,,,,4,8.59,4.51,13700.0,7196.76,76545.0,0.47,0.17,898.65,0.00502,3.4200000000000004
14,10,100,3,0,6,0,minizinc_fw,0,5000,0,5000,4,8.59,3.16,13700.0,5035.21,76545.0,0.63,0.17,0.0,0.0063,4.967999999999999
15,10,100,3,0,6,0,minizinc_fw,0,,,,7,8.59,4.55,13700.0,7256.44,76545.0,0.47,0.17,1197.3,0.0037,3.8175
