,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,battery_capacity_max,battery_capacity_min,battery_power,no_iterations,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,inconvenient,pricing_time,rescheduling_time
0,1,0,3,0,6,0,minizinc_fw,0,5000,0,5000,3,30.21,15.85,2100.0,1101.87,3337.0,0.48,0.35,0.0,0.00345,0.41500000000000004
1,1,0,3,0,6,0,minizinc_fw,0,,,,3,30.21,15.85,2100.0,1101.87,3337.0,0.48,0.35,0.0,0.0030499999999999998,0.2825
2,1,1,3,0,6,0,minizinc_fw,0,5000,0,5000,3,30.21,15.85,2100.0,1101.87,3337.0,0.48,0.35,0.48,0.003375,0.4125
3,1,1,3,0,6,0,minizinc_fw,0,,,,1,30.21,30.21,2100,2100,3337,0.0,0.0,0,0.00035,0.215
4,1,50,3,0,6,0,minizinc_fw,0,5000,0,5000,3,30.21,15.85,2100.0,1101.87,3337.0,0.48,0.35,23.77,0.003175,0.4425
5,1,50,3,0,6,0,minizinc_fw,0,,,,1,30.21,30.21,2100,2100,3337,0.0,0.0,0,0.00035,0.21
6,10,0,3,0,6,0,minizinc_fw,0,5000,0,5000,2,4.28,2.19,6450.0,3301.11,72259.0,0.49,0.09,0.0,0.0055000000000000005,4.079999999999999
7,10,0,3,0,6,0,minizinc_fw,0,,,,8,4.28,2.24,6450.0,3377.67,72259.0,0.48,0.09,0.0,0.006755555555555555,3.8644444444444446
8,10,1,3,0,6,0,minizinc_fw,0,5000,0,5000,3,4.28,2.19,6450.0,3292.11,72259.0,0.49,0.09,31.82,0.004974999999999999,5.01
9,10,1,3,0,6,0,minizinc_fw,0,,,,6,4.28,2.19,6450.0,3300.0,72259.0,0.49,0.09,35.3,0.008385714285714286,4.005714285714286
10,10,50,3,0,6,0,minizinc_fw,0,5000,0,5000,13,4.28,2.25,6450.0,3390.17,72259.0,0.47,0.09,22.55,0.005571428571428573,6.117857142857142
11,10,50,3,0,6,0,minizinc_fw,0,,,,9,4.28,2.32,6450.0,3497.33,72259.0,0.46,0.09,711.73,0.0032200000000000006,4.195000000000001
12,100,0,3,0,6,0,minizinc_fw,0,5000,0,5000,19,2.03,1.06,27035.0,14114.33,640655.0,0.48,0.08,0.0,0.009265,94.2285
13,100,0,3,0,6,0,minizinc_fw,0,,,,30,2.03,1.09,27035.0,14559.66,640655.0,0.46,0.08,0.0,0.004861290322580645,68.19612903225806
14,100,1,3,0,6,0,minizinc_fw,0,5000,0,5000,65,2.03,1.14,27035.0,15192.76,640655.0,0.44,0.08,5004.64,0.006163636363636364,100.00590909090907
15,100,1,3,0,6,0,minizinc_fw,0,,,,27,2.03,1.08,27035.0,14397.76,640655.0,0.47,0.08,1337.35,0.005325000000000001,69.73035714285717
16,100,50,3,0,6,0,minizinc_fw,0,5000,0,5000,29,2.03,1.3,27035.0,17405.76,640655.0,0.36,0.08,10862.95,0.008699999999999998,98.74700000000001
17,100,50,3,0,6,0,minizinc_fw,0,,,,59,2.03,1.16,27035.0,15441.58,640655.0,0.43,0.08,8091.13,0.007911666666666668,72.97616666666666
