,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,3394.133,3350.275849210312,3313.6142227999985,3283.9319339309372,3281.339262428071,3258.4395045096153,3235.699753236306,3219.554262758204,3190.692002195731,3205.3258935369954,3176.5972068620044,3171.264414590663,3219.1434827157404,3203.107085186049,3197.640629610762,3266.6544081142033,3256.8714493738357,3253.618203924462,3244.8288984806,3238.387506990537,3238.387506990537
1,3088.286,3048.3882891111703,3015.1371930877153,2988.7542610520422,3535.112176448648,3510.4412796368233,3485.9425618764662,3468.5500239454104,3437.474090806823,3427.1720464502237,3396.4507232360424,3386.2727498284517,3366.0111963389336,3349.2194923653824,3342.789374048144,3329.450225956362,3319.473134025145,3316.15450289112,3306.2188496627564,3299.6121289762805,3299.6121289762805
2,2931.956,2894.270338828762,2862.6246352343423,2837.2649135531265,3442.244882622436,3418.3694373294416,3394.660619603953,3399.5854869166496,3604.537297805306,3593.7425188909233,3561.557419293687,3563.59432077571,3567.6473743897072,3682.101664913698,3674.748637936536,3665.660415085026,3664.246734463318,3687.0261177288544,3686.205238802121,3679.002571459756,3679.002571459756
3,2799.527,3044.205070380562,3010.88733164347,2983.9029710864065,3023.1358740816595,3002.071360803064,2981.1538574991605,2976.8351792099174,3157.6533375634485,3148.1926705280594,3119.9821547204824,3117.553501529424,3112.7162437803386,3214.987415573257,3208.5655572775263,3196.5062910294087,3189.71372824974,3210.0813115214905,3204.823288117432,3198.499015259485,3198.499015259485
4,2652.028,3775.978976002068,3734.6504941659823,3701.1727738957325,3671.666817535435,3646.0421962262976,3620.5964100452416,3602.529762441581,3570.233173672591,3559.533504956969,3527.6264982586636,3517.0570752367153,3496.011811357686,3478.5702253734753,3471.6216529469543,3460.0796977026916,3562.6054814411355,3559.043287959694,3548.380272223784,3541.289356910608,3541.289356910608
5,2555.631,3172.4042980894983,3452.005290445566,3421.0612344521696,3393.7883509230264,3370.103025232264,3346.5831747335283,3329.8837960327155,3300.0315710383334,3290.141831661053,3260.6493876664795,3250.879432974733,3231.426523416785,3215.3035190705223,3208.8797615179005,3197.090525070415,3297.02082254421,3293.724065721666,3283.857060111405,3277.295490417243,3277.295490417243
6,2760.471,2742.418670833342,3648.2832324863957,3615.612300038703,3586.789209850821,3561.767218493895,3536.9503618513754,3519.3012435945147,3487.7543461022265,3477.318730639939,3446.151877359995,3435.8238226714175,3415.2604262330296,3398.2182974607053,3391.4257008630816,3377.880676535867,3367.758837096967,3364.3911122598697,3354.3088798803196,3347.6041821464387,3347.6041821464387
7,2802.437,2766.6701948154932,3251.935506045198,3228.173750005698,3202.4901076603014,3227.9627959003124,3399.0467487926962,3382.0911601541397,3352.0055261184166,3392.2132929546406,3612.251107409525,3601.4295268858154,3579.8833261009527,3562.032611618689,3617.720402571063,3607.2179957056496,3606.5769402016203,3609.053756261419,3625.206066908395,3634.9383182146453,3634.9383182146453
8,2992.244,2953.593922833276,2936.5127355156865,2973.9907030481318,2950.3112199937887,2943.0415555403747,3076.1621212063574,3060.8136432685023,3033.7038187357166,3059.520243635052,3232.804937857731,3223.1178785647203,3203.830458127513,3187.8569947265746,3233.2098649581158,3222.5847165090345,3228.1786766681766,3232.737069991508,3250.879870879395,3266.0479173205076,3266.0479173205076
9,2980.731,2942.600592536064,2911.902255837994,3588.9201383009954,3560.3092495872415,3535.464337007162,3510.7902147606396,3493.277514131006,3461.9600126009295,3451.584514981205,3420.6442218902785,3410.3926016826476,3389.9814056251007,3373.0661729097833,3366.324373150136,3352.8982076968146,3344.8749297032446,3342.206416773541,3334.2162670024227,3329.443599995685,3329.443599995685
10,2860.416,2824.164208526414,2794.7474234723272,3399.2621715595296,3372.57407869452,3428.66384936051,3404.897109748268,3669.310308710844,3636.441563837063,3626.0549097275607,3644.744227610858,3633.8209944469872,3612.072700678947,3594.0484217998887,3586.863919004711,3572.5379701683373,3561.8310732962054,3558.2692432229096,3547.605109739702,3540.5134591193323,3540.5134591193323
11,3012.678,2973.759565734735,2941.239012644683,2971.9488164813547,2948.830318126457,3000.9752085445707,2980.262610769857,3278.3294426206353,3249.0185590327756,3240.330518191443,3551.9130242503193,3557.4636438556986,3689.0409886714942,3670.6497080902477,3663.315167778775,3648.7246111898585,3646.2090286167563,3644.3080945881397,3644.3011952083566,3637.017296589135,3637.017296589135
12,3306.005,3263.2843383566697,3227.5681936974615,3198.636808467245,3173.139671904273,3151.112416121326,3129.131705307678,3132.7987753033417,3104.7598359126773,3096.10378722721,3182.630621671002,3180.8251305014214,3332.245117887622,3315.750010519627,3309.139339487598,3305.213579679014,3313.5894135194553,3316.536459105936,3366.9365320388306,3360.375898932285,3360.375898932285
13,3560.787,3514.773597920587,3476.3038768377787,3445.1421048828624,3417.6773350004173,3393.8253012125692,3370.1401573236462,3353.323543414887,3323.262703345894,3313.329962601739,3283.6422707225406,3273.804668074703,3267.5712238667384,3251.332687313819,3244.8468304898784,3237.629578072622,3234.066675617316,3232.9297619416984,3251.7418450251284,3245.3492132499227,3245.3492132499227
14,3813.427,3764.148808387577,3722.9495798356525,3689.5767565069477,3660.163260189952,3634.618901672645,3609.2527902104507,3591.242592692835,3559.0468446305717,3548.380422633182,3516.5726490813213,3506.033549263476,3485.0499282532323,3467.6600830993502,3460.728554431235,3446.906893989887,3436.578107983226,3433.1419288752427,3422.854822056937,3416.013506781645,3416.013506781645
15,3714.348,3666.350174258312,3626.221411642138,3593.7157663310336,3565.066550937734,3540.185966406812,3515.4790243452817,3497.9368736268325,3466.577779882131,3456.1885327192763,3425.207237749705,3414.942002119,3394.5037094793606,3377.56548128175,3370.8138958006684,3357.3515385896435,3347.291096126654,3343.9442260305273,3333.924235026774,3327.260829925956,3327.260829925956
