,0,1,2,3
0,14.5,14.3,14.2,14.2
1,14.0,14.0,14.0,14.0
2,14.0,14.0,14.0,14.0
3,15.4,14.6,14.8,14.8
4,14.0,14.0,15.8,15.8
5,14.0,14.0,14.1,14.1
6,14.0,14.3,14.1,14.1
7,14.0,14.0,14.0,14.0
8,20.3,14.6,14.1,14.1
9,15.4,14.2,14.0,14.0
10,14.3,14.6,14.2,14.2
11,14.0,14.6,14.8,14.8
12,14.0,14.0,14.0,14.0
13,20.3,14.6,14.1,14.1
14,31.3,24.5,16.3,16.3
15,14.0,14.8,14.2,14.2
16,14.0,16.3,15.4,15.4
17,14.0,14.0,14.0,14.0
18,14.6,14.8,14.8,14.8
19,14.0,14.0,14.0,14.0
20,31.3,15.4,14.4,14.4
21,75.2,27.5,36.3,36.3
22,14.0,14.0,14.5,14.5
23,14.8,14.0,14.0,14.0
24,230.4,92.8,92.8,92.8
25,14.0,14.0,14.0,14.0
26,14.6,14.0,14.0,14.0
27,15.8,31.3,17.0,17.0
28,14.0,27.5,22.1,22.1
29,14.0,14.0,14.0,14.0
30,27.5,15.4,14.3,14.3
31,24.5,15.1,15.8,15.8
32,14.1,14.0,15.4,15.4
33,14.0,14.0,14.0,14.0
34,61.6,17.0,14.8,14.8
35,17.0,17.8,14.8,14.8
36,14.0,14.8,15.4,15.4
37,14.0,14.0,14.8,14.8
38,14.0,14.0,14.8,14.8
39,14.6,14.0,14.0,14.0
40,17.0,14.4,14.0,14.0
41,31.3,31.3,27.5,27.5
42,14.0,14.0,14.5,14.5
43,14.0,14.0,14.0,14.0
44,14.3,14.3,14.0,14.0
45,14.0,14.1,14.2,14.2
46,14.0,14.0,14.0,14.0
47,14.0,14.0,14.0,14.0
