,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time
0,5000,3,1,10,0,0,minizinc_fw,6,1.19,1.12,4012472.0,3803551.12,162458525.0,0.05,0.11,0.022975000000000006,5477.757474999999
1,5000,3,1,10,0,0,ogsa_fw,6,1.18,1.03,3947538.0,3442918.67,161107711.0,0.13,0.13,0.007149999999999998,4.859292857142856
0,5000,3,1,10,0,0,minizinc_fw,7,1.23,1.11,4200830.0,3763048.28,163312599.0,0.1,0.09,0.02247142857142857,4418.523564285714
1,5000,3,1,10,0,0,ogsa_fw,7,1.23,1.08,4200830.0,3663459.63,163312599.0,0.13,0.11,0.005942307692307692,4.600534615384615
0,5000,3,1,10,0,0,minizinc_fw,8,1.21,1.11,4078469.0,3745957.28,161908054.0,0.08,0.08,0.022061538461538466,4080.291538461539
1,5000,3,1,10,0,0,ogsa_fw,8,1.21,1.07,4078469.0,3617862.06,161908054.0,0.11,0.1,0.005916666666666667,4.37545
0,5000,3,1,10,0,0,minizinc_fw,9,1.22,1.15,4120786.0,3872936.24,162345408.0,0.06,0.08,0.018087500000000003,5475.013724999999
1,5000,3,1,10,0,0,ogsa_fw,9,1.22,1.05,4120786.0,3543737.07,162345408.0,0.14,0.12,0.005676666666666667,4.891549999999999
0,5000,3,1,10,0,0,minizinc_fw,10,1.22,1.15,4112100.0,3903634.05,162380715.0,0.05,0.06,0.017557142857142858,4407.718557142857
1,5000,3,1,10,0,0,ogsa_fw,10,1.22,1.09,4112100.0,3680926.79,162380715.0,0.1,0.09,0.006100000000000002,4.603304166666667
0,5000,6,1,10,0,0,minizinc_fw,11,1.21,1.09,4116050.0,3690789.81,163223260.0,0.1,0.1,0.023152941176470588,6015.157611764706
1,5000,6,1,10,0,0,ogsa_fw,11,1.21,1.06,4116050.0,3618061.12,163223260.0,0.12,0.11,0.006428571428571428,4.247461904761904
0,5000,6,1,10,0,0,minizinc_fw,12,1.19,1.12,3985185.0,3742290.33,161073744.0,0.06,0.13,0.022338461538461536,4827.73536923077
1,5000,6,1,10,0,0,ogsa_fw,12,1.19,1.05,3985185.0,3524334.33,161073744.0,0.12,0.15,0.007090909090909092,4.289822727272728
0,5000,6,1,10,0,0,minizinc_fw,13,1.18,1.09,3985825.0,3682916.3,162651749.0,0.08,0.11,0.0202,5229.173308333333
1,5000,6,1,10,0,0,ogsa_fw,13,1.18,1.03,3985825.0,3503503.03,162651749.0,0.12,0.13,0.0057666666666666665,5.066178787878789
0,5000,6,1,10,0,0,minizinc_fw,14,1.22,1.12,4106893.0,3760805.66,161475782.0,0.08,0.09,0.018138461538461537,5779.983815384615
1,5000,6,1,10,0,0,ogsa_fw,14,1.22,1.06,4106893.0,3560371.4,161475782.0,0.13,0.11,0.007346428571428573,4.480596428571428
0,5000,6,1,10,0,0,minizinc_fw,15,1.16,1.11,3911298.0,3768734.65,162415730.0,0.04,0.12,0.020811111111111114,4146.046666666666
1,5000,6,1,10,0,0,ogsa_fw,15,1.16,1.04,3911298.0,3504298.57,162415730.0,0.1,0.16,0.007464999999999999,4.37529
0,5000,9,1,10,0,0,minizinc_fw,16,1.2,1.12,4024025.0,3733128.51,160691183.0,0.07,0.07,0.020675,4875.614991666666
1,5000,9,1,10,0,0,ogsa_fw,16,1.2,1.09,4024025.0,3656141.09,160691183.0,0.09,0.09,0.0058625000000000005,4.2102812499999995
0,5000,9,1,10,0,0,minizinc_fw,17,1.21,1.1,4093413.0,3718683.73,162688152.0,0.09,0.11,0.019823076923076922,4956.232284615384
1,5000,9,1,10,0,0,ogsa_fw,17,1.21,1.06,4093413.0,3591789.63,162688152.0,0.12,0.12,0.007604166666666666,5.046024999999999
0,5000,9,1,10,0,0,minizinc_fw,18,1.18,1.1,3984561.0,3737418.88,162630028.0,0.06,0.09,0.020933333333333335,4797.404433333333
1,5000,9,1,10,0,0,ogsa_fw,18,1.18,1.05,3984561.0,3570030.22,162630028.0,0.1,0.11,0.005634782608695652,4.327634782608695
0,5000,9,1,10,0,0,minizinc_fw,19,1.19,1.12,4008692.0,3748773.84,161134163.0,0.06,0.09,0.021746153846153846,4720.983838461539
1,5000,9,1,10,0,0,ogsa_fw,19,1.19,1.05,4008692.0,3520315.77,161134163.0,0.12,0.11,0.006792000000000003,4.327948
0,5000,9,1,10,0,0,minizinc_fw,20,1.18,1.11,3936738.0,3721859.03,160402223.0,0.05,0.1,0.021886666666666665,5091.173333333331
1,5000,9,1,10,0,0,ogsa_fw,20,1.18,1.07,3936738.0,3562821.4,160402223.0,0.09,0.12,0.007021052631578949,4.295552631578948
