,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,step_size,objective
0,2.28,0.0,0.0,0.0,637039.0,30206.0,9557856.7,0.0,1.0,9557858.979999999
1,1.64,0.28,0.07,445.84,637039.0,21778.53,8935502.78,0.0328,0.279,8935950.26
2,1.48,0.35,0.07,590.76,637039.0,19600.67,8926504.47,0.0104,0.1,8927096.71
3,1.39,0.39,0.07,756.92,637039.0,18444.23,8923907.76,0.0054,0.059,8924666.07
4,1.33,0.42,0.07,905.06,637039.0,17669.58,8922891.36,0.0053,0.042,8923797.75
5,1.31,0.42,0.07,979.57,637039.0,17386.86,8922653.19,0.0026,0.016,8923634.07
6,1.28,0.44,0.07,1094.34,637039.0,17021.74,8922257.45,0.0034,0.021,8923353.069999998
7,1.27,0.44,0.07,1290.42,637039.0,16880.16,8921783.38,0.0045,0.042,8923075.07
8,1.26,0.45,0.07,1424.43,637039.0,16760.02,8921524.63,0.0023,0.025,8922950.32
9,1.26,0.45,0.07,1569.29,637039.0,16693.44,8921267.45,0.0025,0.028,8922837.999999998
10,1.24,0.45,0.07,1673.28,637039.0,16494.86,8921043.51,0.0026,0.026,8922718.03
11,1.23,0.46,0.07,1746.73,637039.0,16382.21,8920898.15,0.0017,0.016,8922646.110000001
12,1.24,0.46,0.07,1776.89,637039.0,16400.04,8920836.39,0.0012,0.007,8922614.520000001
13,1.25,0.45,0.07,1862.68,637039.0,16551.71,8920670.42,0.0026,0.023,8922534.35
14,1.24,0.46,0.07,1939.36,637039.0,16403.44,8920493.6,0.0026,0.021,8922434.2
15,1.24,0.46,0.07,1980.17,637039.0,16399.94,8920367.71,0.0021,0.012,8922349.120000001
16,1.24,0.46,0.07,1999.45,637039.0,16416.1,8920318.33,0.0015,0.008,8922319.02
17,1.23,0.46,0.07,2035.31,637039.0,16313.63,8920229.99,0.0024,0.011,8922266.530000001
18,1.23,0.46,0.07,2099.5,637039.0,16354.36,8920115.18,0.002,0.022,8922215.91
19,1.23,0.46,0.07,2112.68,637039.0,16365.34,8920057.53,0.0012,0.007,8922171.44
20,1.23,0.46,0.07,2112.68,637039.0,16365.34,8920057.53,0.0006,0.0,8922171.44
