,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time
0,2000,1,1,10,0,0,minizinc_fw,12,1.25,1.17,1662793.0,1561220.35,64082854.0,0.06,0.06,0.015587500000000002,1679.20125
1,2000,1,1,10,0,0,ogsa_fw,12,1.25,1.06,1662793.0,1418443.08,64082854.0,0.15,0.1,0.005100000000000001,1.8889566666666664
