,Unnamed: 0,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time,Unnamed: 0.1
25,7.0,2000.0,1.0,6,10.0,0.0,0.0,ogsa_fw,19.0,1.25,1.04,1666726.0,1381276.74,63775055.0,0.17,0.13,0.007857142857142861,1.8476571428571429,1.0
26,8.0,2000.0,1.0,3,10.0,0.0,0.0,minizinc_fw,13.0,1.29,1.19,1741183.0,1607251.49,65003478.0,0.08,0.06,0.0164,2072.965,0.0
27,9.0,2000.0,1.0,3,10.0,0.0,0.0,ogsa_fw,13.0,1.29,1.07,1741183.0,1445851.61,65003478.0,0.17,0.07,0.004911428571428572,1.9090400000000003,1.0
28,10.0,2000.0,1.0,0,10.0,0.0,0.0,minizinc_fw,21.0,1.25,1.16,1701195.0,1586128.36,65485277.0,0.07,0.07,0.017155555555555552,1853.0722111111108,0.0
29,11.0,2000.0,1.0,0,10.0,0.0,0.0,ogsa_fw,21.0,1.25,1.05,1701195.0,1437989.48,65485277.0,0.15,0.1,0.005109375000000001,1.942875,1.0
30,12.0,2000.0,1.0,9,10.0,0.0,0.0,minizinc_fw,10.0,1.34,1.12,1784579.0,1495767.32,63847392.0,0.16,0.06,0.017895238095238096,1934.5314285714285,0.0
31,13.0,2000.0,1.0,9,10.0,0.0,0.0,ogsa_fw,10.0,1.34,1.08,1784579.0,1442950.99,63847392.0,0.19,0.07,0.0052702702702702685,1.8604054054054056,1.0
32,14.0,2000.0,1.0,3,10.0,0.0,0.0,minizinc_fw,23.0,1.23,1.15,1661898.0,1544843.79,64647344.0,0.07,0.08,0.0181375,2774.9962375,0.0
33,15.0,2000.0,1.0,3,10.0,0.0,0.0,ogsa_fw,23.0,1.23,1.08,1661898.0,1453362.04,64647344.0,0.13,0.11,0.0071888888888888905,1.9328222222222216,1.0
34,16.0,2000.0,1.0,6,10.0,0.0,0.0,minizinc_fw,9.0,1.19,1.11,1572681.0,1472149.84,63488723.0,0.06,0.13,0.016755555555555555,1994.3111111111114,0.0
35,17.0,2000.0,1.0,6,10.0,0.0,0.0,ogsa_fw,9.0,1.19,1.02,1572681.0,1352173.21,63488723.0,0.14,0.16,0.007092,1.9517120000000003,1.0
36,18.0,2000.0,1.0,6,10.0,0.0,0.0,minizinc_fw,24.0,1.3,1.15,1744049.0,1543945.92,64618939.0,0.11,0.07,0.01798571428571429,1901.6535714285715,0.0
37,19.0,2000.0,1.0,6,10.0,0.0,0.0,ogsa_fw,24.0,1.3,1.09,1744049.0,1471568.64,64618939.0,0.16,0.08,0.006482608695652172,1.89548695652174,1.0
38,20.0,2000.0,1.0,6,10.0,0.0,0.0,minizinc_fw,14.0,1.21,1.11,1633537.0,1491378.86,64605720.0,0.09,0.11,0.018227272727272727,3131.897245454545,0.0
39,21.0,2000.0,1.0,6,10.0,0.0,0.0,ogsa_fw,14.0,1.21,1.04,1633537.0,1397419.83,64605720.0,0.14,0.14,0.007029166666666669,2.0220375,1.0
40,22.0,2000.0,1.0,1,10.0,0.0,0.0,minizinc_fw,2.0,1.28,1.12,1705671.0,1499878.82,64013043.0,0.12,0.1,0.050375,2490.634375,0.0
41,23.0,2000.0,1.0,1,10.0,0.0,0.0,ogsa_fw,2.0,1.2,1.07,1626281.0,1438376.92,64783494.0,0.12,0.11,0.006033333333333334,1.9150666666666665,1.0
42,24.0,2000.0,1.0,3,10.0,0.0,0.0,minizinc_fw,8.0,1.25,1.13,1695380.0,1530189.06,65103397.0,0.1,0.11,0.022400000000000003,2388.0168750000007,0.0
43,25.0,2000.0,1.0,3,10.0,0.0,0.0,ogsa_fw,8.0,1.25,1.03,1695380.0,1399149.52,65103397.0,0.17,0.13,0.005477777777777776,1.7646722222222226,1.0
44,26.0,2000.0,1.0,1,10.0,0.0,0.0,minizinc_fw,7.0,1.3,1.16,1789140.0,1599477.5,66054331.0,0.11,0.08,0.01889090909090909,1845.7318181818189,0.0
45,27.0,2000.0,1.0,1,10.0,0.0,0.0,ogsa_fw,7.0,1.3,1.07,1789140.0,1470230.3,66054331.0,0.18,0.1,0.004895238095238093,1.984421428571429,1.0
46,28.0,2000.0,1.0,9,10.0,0.0,0.0,minizinc_fw,20.0,1.18,1.11,1611270.0,1524457.79,65712240.0,0.05,0.1,0.016911111111111113,2298.265555555556,0.0
47,29.0,2000.0,1.0,9,10.0,0.0,0.0,ogsa_fw,20.0,1.18,1.04,1611270.0,1417589.14,65712240.0,0.12,0.14,0.0066666666666666645,1.9606777777777773,1.0
48,30.0,2000.0,1.0,0,10.0,0.0,0.0,minizinc_fw,16.0,1.25,1.14,1693979.0,1537304.66,64853894.0,0.09,0.09,0.017264285714285708,2196.657142857143,0.0
49,31.0,2000.0,1.0,0,10.0,0.0,0.0,ogsa_fw,16.0,1.25,1.09,1693979.0,1466688.52,64853894.0,0.13,0.11,0.0068000000000000005,1.813404545454545,1.0
50,32.0,2000.0,1.0,0,10.0,0.0,0.0,minizinc_fw,11.0,1.22,1.08,1664576.0,1477614.75,65701411.0,0.11,0.1,0.01840476190476191,2546.0118904761903,0.0
51,33.0,2000.0,1.0,0,10.0,0.0,0.0,ogsa_fw,11.0,1.22,1.06,1664576.0,1454266.85,65701411.0,0.13,0.11,0.004714285714285713,1.944075,1.0
52,34.0,2000.0,1.0,1,10.0,0.0,0.0,minizinc_fw,17.0,1.3,1.1,1743243.0,1482811.69,64532031.0,0.15,0.08,0.01867083333333333,2675.6520708333333,0.0
53,35.0,2000.0,1.0,1,10.0,0.0,0.0,ogsa_fw,17.0,1.3,1.09,1743243.0,1463579.5,64532031.0,0.16,0.08,0.006839285714285714,2.0413785714285715,1.0
54,36.0,2000.0,1.0,1,10.0,0.0,0.0,minizinc_fw,12.0,1.25,1.17,1662793.0,1561220.35,64082854.0,0.06,0.06,0.015587500000000002,1679.20125,0.0
55,37.0,2000.0,1.0,1,10.0,0.0,0.0,ogsa_fw,12.0,1.25,1.06,1662793.0,1418443.08,64082854.0,0.15,0.1,0.0051,1.8889566666666664,1.0
56,38.0,2000.0,1.0,9,10.0,0.0,0.0,minizinc_fw,15.0,1.26,1.15,1715481.0,1563059.27,65220231.0,0.09,0.08,0.0192625,1682.22125,0.0
57,39.0,2000.0,1.0,9,10.0,0.0,0.0,ogsa_fw,15.0,1.26,1.07,1715481.0,1460436.6,65220231.0,0.15,0.1,0.0071,1.859315,1.0
58,0.0,2000.0,1.0,3,10.0,0.0,0.0,minizinc_fw,13.0,1.29,1.19,1741183.0,1607251.49,65003478.0,0.08,0.06,0.0164,2072.965,
59,1.0,2000.0,1.0,3,10.0,0.0,0.0,ogsa_fw,13.0,1.29,1.07,1741183.0,1445851.61,65003478.0,0.17,0.07,0.004911428571428572,1.9090400000000003,
60,0.0,2000.0,1.0,0,10.0,0.0,0.0,minizinc_fw,21.0,1.25,1.16,1701195.0,1586128.36,65485277.0,0.07,0.07,0.017155555555555552,1853.0722111111108,
61,1.0,2000.0,1.0,0,10.0,0.0,0.0,ogsa_fw,21.0,1.25,1.05,1701195.0,1437989.48,65485277.0,0.15,0.1,0.005109375000000001,1.942875,
62,0.0,2000.0,1.0,9,10.0,0.0,0.0,minizinc_fw,10.0,1.34,1.12,1784579.0,1495767.32,63847392.0,0.16,0.06,0.017895238095238096,1934.5314285714285,
63,1.0,2000.0,1.0,9,10.0,0.0,0.0,ogsa_fw,10.0,1.34,1.08,1784579.0,1442950.99,63847392.0,0.19,0.07,0.0052702702702702685,1.8604054054054056,
64,0.0,2000.0,1.0,3,10.0,0.0,0.0,minizinc_fw,23.0,1.23,1.15,1661898.0,1544843.79,64647344.0,0.07,0.08,0.0181375,2774.9962375,
65,1.0,2000.0,1.0,3,10.0,0.0,0.0,ogsa_fw,23.0,1.23,1.08,1661898.0,1453362.04,64647344.0,0.13,0.11,0.0071888888888888905,1.9328222222222218,
66,0.0,2000.0,1.0,6,10.0,0.0,0.0,minizinc_fw,9.0,1.19,1.11,1572681.0,1472149.84,63488723.0,0.06,0.13,0.016755555555555555,1994.3111111111114,
67,1.0,2000.0,1.0,6,10.0,0.0,0.0,ogsa_fw,9.0,1.19,1.02,1572681.0,1352173.21,63488723.0,0.14,0.16,0.007092,1.9517120000000003,
68,0.0,2000.0,1.0,6,10.0,0.0,0.0,minizinc_fw,24.0,1.3,1.15,1744049.0,1543945.92,64618939.0,0.11,0.07,0.01798571428571429,1901.6535714285715,
69,1.0,2000.0,1.0,6,10.0,0.0,0.0,ogsa_fw,24.0,1.3,1.09,1744049.0,1471568.64,64618939.0,0.16,0.08,0.006482608695652172,1.8954869565217396,
70,0.0,2000.0,1.0,6,10.0,0.0,0.0,minizinc_fw,14.0,1.21,1.11,1633537.0,1491378.86,64605720.0,0.09,0.11,0.018227272727272727,3131.897245454545,
71,1.0,2000.0,1.0,6,10.0,0.0,0.0,ogsa_fw,14.0,1.21,1.04,1633537.0,1397419.83,64605720.0,0.14,0.14,0.007029166666666669,2.0220374999999997,
72,0.0,2000.0,1.0,1,10.0,0.0,0.0,minizinc_fw,2.0,1.28,1.12,1705671.0,1499878.82,64013043.0,0.12,0.1,0.050375,2490.634375,
73,1.0,2000.0,1.0,1,10.0,0.0,0.0,ogsa_fw,2.0,1.2,1.07,1626281.0,1438376.92,64783494.0,0.12,0.11,0.006033333333333334,1.9150666666666665,
74,0.0,2000.0,1.0,3,10.0,0.0,0.0,minizinc_fw,8.0,1.25,1.13,1695380.0,1530189.06,65103397.0,0.1,0.11,0.022400000000000003,2388.0168750000007,
75,1.0,2000.0,1.0,3,10.0,0.0,0.0,ogsa_fw,8.0,1.25,1.03,1695380.0,1399149.52,65103397.0,0.17,0.13,0.005477777777777776,1.7646722222222226,
76,0.0,2000.0,1.0,1,10.0,0.0,0.0,minizinc_fw,7.0,1.3,1.16,1789140.0,1599477.5,66054331.0,0.11,0.08,0.01889090909090909,1845.7318181818187,
77,1.0,2000.0,1.0,1,10.0,0.0,0.0,ogsa_fw,7.0,1.3,1.07,1789140.0,1470230.3,66054331.0,0.18,0.1,0.004895238095238093,1.984421428571429,
78,0.0,2000.0,1.0,9,10.0,0.0,0.0,minizinc_fw,20.0,1.18,1.11,1611270.0,1524457.79,65712240.0,0.05,0.1,0.016911111111111113,2298.265555555556,
79,1.0,2000.0,1.0,9,10.0,0.0,0.0,ogsa_fw,20.0,1.18,1.04,1611270.0,1417589.14,65712240.0,0.12,0.14,0.0066666666666666645,1.9606777777777773,
80,0.0,2000.0,1.0,0,10.0,0.0,0.0,minizinc_fw,16.0,1.25,1.14,1693979.0,1537304.66,64853894.0,0.09,0.09,0.017264285714285708,2196.657142857143,
81,1.0,2000.0,1.0,0,10.0,0.0,0.0,ogsa_fw,16.0,1.25,1.09,1693979.0,1466688.52,64853894.0,0.13,0.11,0.0068000000000000005,1.813404545454545,
82,0.0,2000.0,1.0,0,10.0,0.0,0.0,minizinc_fw,11.0,1.22,1.08,1664576.0,1477614.75,65701411.0,0.11,0.1,0.01840476190476191,2546.0118904761903,
83,1.0,2000.0,1.0,0,10.0,0.0,0.0,ogsa_fw,11.0,1.22,1.06,1664576.0,1454266.85,65701411.0,0.13,0.11,0.004714285714285713,1.944075,
84,0.0,2000.0,1.0,1,10.0,0.0,0.0,minizinc_fw,17.0,1.3,1.1,1743243.0,1482811.69,64532031.0,0.15,0.08,0.01867083333333333,2675.6520708333333,
85,1.0,2000.0,1.0,1,10.0,0.0,0.0,ogsa_fw,17.0,1.3,1.09,1743243.0,1463579.5,64532031.0,0.16,0.08,0.006839285714285714,2.0413785714285715,
86,0.0,2000.0,1.0,1,10.0,0.0,0.0,minizinc_fw,12.0,1.25,1.17,1662793.0,1561220.35,64082854.0,0.06,0.06,0.015587500000000002,1679.20125,
87,1.0,2000.0,1.0,1,10.0,0.0,0.0,ogsa_fw,12.0,1.25,1.06,1662793.0,1418443.08,64082854.0,0.15,0.1,0.0051,1.8889566666666664,
88,0.0,2000.0,1.0,9,10.0,0.0,0.0,minizinc_fw,15.0,1.26,1.15,1715481.0,1563059.27,65220231.0,0.09,0.08,0.0192625,1682.22125,
89,1.0,2000.0,1.0,9,10.0,0.0,0.0,ogsa_fw,15.0,1.26,1.07,1715481.0,1460436.6,65220231.0,0.15,0.1,0.0071,1.859315,
