,0,1,2,3,4
0,230.4,230.4,144.6,144.6,144.6
1,18.9,17.8,18.9,17.8,17.8
2,14.5,14.8,15.8,15.8,15.8
3,14.3,14.8,36.3,36.3,36.3
4,14.2,14.3,15.4,15.4,15.4
5,24.5,22.1,20.3,20.3,20.3
6,14.8,14.8,14.6,14.6,14.6
7,16.3,15.8,15.8,15.4,15.4
8,24.5,24.5,27.5,24.5,24.5
9,14.5,14.5,15.4,15.4,15.4
10,14.5,14.5,14.5,14.5,14.5
11,20.3,18.9,17.8,17.8,17.8
12,24.5,22.1,20.3,20.3,20.3
13,20.3,20.3,17.8,17.8,17.8
14,17.0,17.0,16.3,15.8,15.8
15,20.3,20.3,18.9,17.8,17.8
16,22.1,22.1,20.3,20.3,20.3
17,15.8,15.8,15.4,15.4,15.4
18,24.5,24.5,22.1,22.1,22.1
19,24.5,22.1,20.3,20.3,20.3
20,42.7,36.3,31.3,31.3,31.3
21,17.0,16.3,16.3,24.5,24.5
22,14.5,14.4,14.4,15.1,15.1
23,15.4,15.4,15.1,15.1,15.1
24,18.9,50.9,50.9,61.6,61.6
25,14.0,14.5,14.6,15.4,15.4
26,14.6,14.6,14.6,14.6,14.6
27,20.3,18.9,17.8,17.8,17.8
28,36.3,31.3,31.3,27.5,27.5
29,50.9,50.9,50.9,61.6,61.6
30,14.5,14.4,14.5,14.6,14.6
31,15.4,15.4,14.8,14.8,14.8
32,22.1,22.1,20.3,20.3,20.3
33,15.8,15.8,15.4,15.4,15.4
34,22.1,20.3,18.9,17.8,17.8
35,24.5,24.5,22.1,22.1,22.1
36,22.1,20.3,18.9,17.8,17.8
37,20.3,18.9,17.8,17.8,17.8
38,31.3,31.3,24.5,24.5,24.5
39,75.2,61.6,50.9,50.9,50.9
40,15.8,15.4,15.4,15.1,15.1
41,15.4,15.4,15.1,14.8,14.8
42,24.5,24.5,22.1,20.3,20.3
43,24.5,22.1,22.1,20.3,20.3
44,36.3,31.3,31.3,27.5,27.5
45,27.5,24.5,24.5,22.1,22.1
46,61.6,50.9,42.7,36.3,36.3
47,15.4,15.4,15.1,14.8,14.8
