,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
20,16.3,15.8,15.8,15.4,15.8,15.4,15.8,15.4,20.3,18.9,17.8,17.8,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.0,17.8,17.8,17.8,17.8,17.8,18.9,17.8,17.8,17.8,17.8
21,24.5,22.1,22.1,20.3,18.9,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.8,17.0,17.0,20.3,20.3,20.3,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8
22,24.5,22.1,22.1,20.3,18.9,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.8,17.8,17.0,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,18.9,18.9,18.9,17.8,18.9,17.8,18.9,17.8,17.8,17.8,17.8,17.8
23,22.1,22.1,20.3,18.9,17.8,17.8,17.0,17.0,16.3,16.3,17.0,17.0,17.0,17.0,17.0,18.9,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8
24,17.8,17.0,16.3,15.8,15.8,15.8,15.4,27.5,24.5,24.5,22.1,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,17.8,17.8,17.8,18.9,17.8,18.9,18.9,18.9,18.9
25,17.8,17.0,16.3,15.8,15.8,15.8,15.8,18.9,17.8,17.8,17.0,18.9,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.0,17.8,17.8,17.8,18.9,18.9,17.8,17.8,18.9,18.9,17.8,17.8
26,17.8,17.0,16.3,15.8,15.8,15.8,15.8,15.8,15.8,16.3,15.8,20.3,20.3,20.3,20.3,18.9,18.9,18.9,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.8,18.9,18.9,17.8,18.9,18.9,18.9,18.9,17.8,17.8,17.8,17.8
27,61.6,50.9,50.9,36.3,36.3,31.3,31.3,27.5,24.5,22.1,22.1,22.1,22.1,20.3,20.3,20.3,20.3,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,17.8,17.8,20.3,18.9,18.9,17.8,18.9,18.9,17.8,18.9,18.9
28,31.3,27.5,24.5,22.1,22.1,20.3,20.3,18.9,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.9,18.9,18.9,18.9,18.9,18.9,17.8,17.8,18.9,17.8,20.3,18.9,18.9,17.8,18.9,17.8,17.8,17.8,17.8
29,16.3,15.8,15.8,15.8,15.4,17.0,16.3,15.8,20.3,20.3,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8
30,17.0,16.3,16.3,15.8,15.8,16.3,15.8,15.8,20.3,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.0,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,17.8,17.8,17.8,18.9,17.8,17.8,17.8,18.9,18.9,17.8,18.9,18.9
31,24.5,22.1,22.1,20.3,18.9,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,18.9,17.8,17.8,17.8,18.9,18.9
32,22.1,22.1,20.3,18.9,17.8,17.8,17.0,17.0,16.3,15.8,20.3,20.3,20.3,20.3,20.3,18.9,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,18.9,17.8,17.8,18.9,18.9,18.9,18.9,18.9,18.9
33,42.7,36.3,31.3,24.5,24.5,22.1,22.1,20.3,20.3,18.9,18.9,17.8,17.8,17.8,17.8,17.0,20.3,20.3,20.3,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,17.8,18.9,18.9,17.8,18.9,17.8,17.8,18.9,18.9
34,36.3,31.3,27.5,24.5,22.1,22.1,20.3,20.3,18.9,17.8,17.8,17.8,17.0,17.0,17.0,17.0,18.9,18.9,18.9,18.9,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.8,18.9,18.9,18.9,17.8,17.8,17.8,17.8,17.8
35,115.5,92.8,92.8,61.6,50.9,50.9,42.7,36.3,36.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,18.9,18.9
36,230.4,182.1,144.6,115.5,92.8,92.8,75.2,61.6,61.6,50.9,42.7,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
37,50.9,36.3,36.3,31.3,27.5,24.5,24.5,22.1,22.1,20.3,20.3,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,18.9,18.9,18.9,18.9,17.8,17.8,18.9,18.9
38,36.3,31.3,27.5,24.5,22.1,22.1,20.3,20.3,18.9,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,18.9,17.8,18.9,17.8,17.8,17.8,18.9,18.9
39,61.6,50.9,42.7,31.3,31.3,27.5,24.5,24.5,22.1,22.1,20.3,20.3,20.3,20.3,18.9,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,18.9,18.9,17.8,18.9,18.9,18.9,18.9,18.9
40,24.5,22.1,22.1,20.3,18.9,17.8,17.8,17.0,17.0,16.3,16.3,17.0,17.0,17.0,17.0,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,18.9,18.9,18.9,18.9
41,18.9,17.8,17.8,17.0,16.3,15.8,20.3,20.3,18.9,17.8,17.8,17.8,17.8,17.8,17.0,18.9,18.9,18.9,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,18.9,17.8,18.9,18.9,18.9,18.9
42,16.3,15.8,16.3,15.8,15.8,15.4,24.5,24.5,22.1,22.1,20.3,20.3,20.3,20.3,18.9,18.9,18.9,17.8,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,17.8,17.8,17.8,17.8,18.9,17.8,17.8,17.8,18.9,18.9
43,14.6,16.3,17.0,15.8,15.8,15.8,15.8,15.8,15.8,16.3,15.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8
44,14.3,42.7,36.3,31.3,31.3,27.5,24.5,24.5,22.1,22.1,20.3,20.3,20.3,18.9,18.9,17.8,18.9,17.8,18.9,18.9,18.9,18.9,18.9,18.9,17.8,17.8,17.8,17.8,17.8,18.9,17.8,18.9,18.9,18.9,18.9,17.8,17.8
45,15.4,15.8,15.4,15.8,15.4,15.8,15.4,17.8,17.0,17.8,17.8,17.8,17.8,17.0,17.8,17.0,17.0,17.8,17.8,17.8,17.8,17.8,17.0,17.8,17.8,17.8,17.8,17.8,17.8,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.8
46,17.8,17.0,17.0,16.3,16.3,15.8,16.3,16.3,16.3,18.9,17.8,17.8,17.8,17.8,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,18.9,17.8,18.9,17.8,17.8,18.9,18.9,17.8,17.8
47,17.8,17.0,16.3,15.8,15.8,15.4,15.8,15.8,15.8,17.0,16.3,16.3,17.0,16.3,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.0,17.8,17.8,17.8,17.8,17.8,17.8,17.8
