,0,1,2,3,4,5,6
0,3158.586,3099.109935742203,3068.4200740798733,3029.6270367137463,3083.3435863436525,3140.3703295355517,3140.3703295355517
1,3011.683,2954.975656155811,2925.974902361849,2889.0932411982612,2873.040077662236,2883.085178443989,2883.085178443989
2,3088.074,3029.936520303761,3000.8545838603322,3479.5140757520744,3452.3354550774147,3445.4441355507156,3445.4441355507156
3,2879.813,2827.466958530693,2799.5499957078773,2871.030715218677,2848.3055828268075,2842.6254611427366,2842.6254611427366
4,2784.121,3431.402313143945,3397.242292068049,3353.342157983312,3326.6180155896163,3319.970125166453,3319.970125166453
5,2645.996,3548.0599977240813,3515.256633647886,3469.8314845733807,3442.1697939104934,3435.2888964924664,3435.2888964924664
6,2628.571,2861.630721261032,3457.5254292795794,3423.491962206961,3721.232084166414,3795.7126930641653,3795.7126930641653
7,2625.699,2602.650294155558,2737.636090940337,2705.3447719752767,2752.1285847172376,2763.8370503863875,2763.8370503863875
8,2788.941,3618.7255175022988,3852.384986066882,3804.786368664592,3774.454398931683,3766.909264588219,3766.909264588219
9,2545.777,2698.5707372865645,3069.16440946653,3560.763711516972,3532.377104055044,3525.3158822240384,3525.3158822240384
10,2749.508,2698.0336917666464,2808.7324168661526,3471.5054269480825,3548.146592884718,3541.0538478455414,3541.0538478455414
11,2916.635,2861.745369180247,2848.0390570265977,2996.889012615608,3369.239988281278,3362.5048775447035,3362.5048775447035
12,2895.364,2840.84701419028,2813.3538701281977,2790.3899758367434,2900.1813216274472,2894.383859165514,2894.383859165514
13,3523.811,3457.4577617255536,3423.038355537841,3378.804877361685,3351.868855902612,3345.1684700596625,3345.1684700596625
14,3520.701,3454.406322917125,3420.0172941682827,3375.822855009011,3348.910606398918,3342.2161340967264,3342.2161340967264
15,3525.045,3458.668525548576,3424.237066061967,3379.988097806442,3353.0426436478056,3346.339911403154,3346.339911403154
16,3536.67,3470.0746272038746,3435.5296186089467,3391.1347247678,3364.100409075596,3357.375572357854,3357.375572357854
17,3854.242,3781.666757515831,3744.0198119379484,3695.6385198105822,3666.176682833383,3658.8479956443985,3658.8479956443985
18,3826.322,3754.2724901424167,3716.898257777802,3668.8674381106994,3639.61902169412,3632.343423269753,3632.343423269753
19,3534.982,3468.4184121850226,3433.889891409006,3389.516186590527,3362.4947739751983,3355.7731469220216,3355.7731469220216
20,3491.444,3425.7002312070963,3391.5969750399368,3347.769791352368,3321.081183334755,3314.442342049269,3314.442342049269
21,3452.899,3387.881032213249,3354.1542707024446,3310.8109323222147,3284.416962395902,3277.8514128880724,3277.8514128880724
22,3603.942,3536.0798977892723,3500.8777988188795,3455.6384571501194,3428.0899140956653,3421.237162357388,3421.237162357388
23,3742.683,3672.2084095963933,3635.6511349840903,3588.6702138164183,3560.061134157348,3552.9445719501673,3552.9445719501673
24,3762.553,3691.70425818915,3654.952900068695,3607.7225559860703,3578.9615899896253,3571.8072457712365,3571.8072457712365
25,3656.281,3587.4333562440397,3551.720027443085,3505.8236879914534,3477.87506546987,3470.922793213996,3470.922793213996
26,3399.93,3335.9094366365166,3302.700058585369,3260.021626213297,3234.032551475933,3227.5677204055323,3227.5677204055323
27,3437.308,3372.583610199679,3339.009136357501,3295.861507723978,3269.5867154466837,3263.0508116025053,3263.0508116025053
28,3546.062,3479.289776171321,3444.653029664537,3400.140240502945,3373.034132335621,3366.291437105082,3366.291437105082
29,3743.83,3673.333811626384,3636.7653335020614,3589.7700143432758,3561.1521670128927,3554.033423831034,3554.033423831034
30,3378.388,3314.7730717454674,3281.7741087387403,3239.3660874604725,3213.5416798333113,3207.1178100153247,3207.1178100153247
31,3585.957,3518.433554712236,3483.4071272010337,3438.3935465350623,3410.9824808725407,3404.1639268932768,3404.1639268932768
32,3859.61,3786.9336782629834,3749.234299858137,3700.785624630244,3671.282754645545,3663.9438604190086,3663.9438604190086
33,3784.168,3712.9122484927425,3675.949762288304,3628.4480907619622,3599.521899643103,3592.326455365717,3592.326455365717
34,3822.124,3750.1535383360565,3712.8203106300834,3664.842187359407,3635.625860466949,3628.358244371875,3628.358244371875
35,3889.038,3815.807550048973,3777.820728791689,3729.0026515738004,3699.274833872127,3691.879983479217,3691.879983479217
36,3874.172,3801.221476310679,3763.3798611647285,3714.748392958097,3685.1342110033493,3677.7676277155538,3677.7676277155538
37,3751.016,3680.384499496919,3643.745830930242,3596.660307792248,3567.987530657116,3560.8551235833324,3560.8551235833324
38,3615.51,3547.4300727525833,3512.1149814307896,3466.7304296825046,3439.0934608026487,3432.2187129745043,3432.2187129745043
39,3637.276,3568.7862197314416,3533.2585254082155,3487.6007507526906,3459.7974025059843,3452.8812674983756,3452.8812674983756
40,3944.569,3870.292903255027,3831.763673779761,3782.2485304375546,3752.0962336115344,3744.595793240545,3744.595793240545
41,3579.873,3512.464116220121,3477.4971151841883,3432.559905379544,3405.1953458305907,3398.388360334275,3398.388360334275
42,3465.718,3400.4586508901757,3366.606677678766,3323.102425743087,3296.6991564659806,3290.1477175112054,3290.1477175112054
43,3279.482,3217.7294682771703,3185.6965859678476,3144.530105848426,3119.741355832604,3114.8134742942943,3114.8134742942943
44,3193.442,3133.3095984774372,3102.1171260846486,3062.0306835899114,3039.3741908517463,3036.2860053352333,3036.2860053352333
45,3142.153,3082.986368559277,3052.3122416325896,3012.8693920633923,2993.276578687326,3014.38185161453,3014.38185161453
46,3206.01,3145.640943475613,3114.464575032147,3087.4876817806357,3136.9645832877004,3202.4308166297083,3202.4308166297083
47,2866.835,2812.85259690048,2785.0047660295604,2753.795537588393,2829.1474458138764,2865.5417926456944,2865.5417926456944
