,Unnamed: 0,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time,Unnamed: 0.1,Unnamed: 0.1.1
48,42,5000,1,9,10,0,0,minizinc_fw,8,1.28,1.15,4291248.0,3844027.18,160840200.0,0.1,0.06,0.017268750000000003,5376.68185625,0.0,
49,43,5000,1,9,10,0,0,ogsa_fw,8,1.28,1.07,4291248.0,3588385.75,160840200.0,0.16,0.07,0.005933333333333332,4.8989777777777785,1.0,
50,44,5000,1,3,10,0,0,minizinc_fw,14,1.24,1.12,4197680.0,3805707.81,163022383.0,0.09,0.08,0.01628333333333333,5783.237194444445,0.0,
51,45,5000,1,3,10,0,0,ogsa_fw,14,1.24,1.08,4197680.0,3659855.93,163022383.0,0.13,0.1,0.007030434782608696,5.001008695652174,1.0,
52,46,5000,1,6,10,0,0,minizinc_fw,7,1.27,1.16,4285984.0,3924763.8,162499101.0,0.08,0.07,0.01893636363636364,4582.841800000001,0.0,
53,47,5000,1,6,10,0,0,ogsa_fw,7,1.27,1.07,4285984.0,3608154.91,162499101.0,0.16,0.09,0.006024242424242424,4.975448484848486,1.0,
54,48,5000,1,0,10,0,0,minizinc_fw,13,1.24,1.15,4163511.0,3862521.42,161063745.0,0.07,0.07,0.01802,4002.02699,0.0,
55,49,5000,1,0,10,0,0,ogsa_fw,13,1.24,1.07,4163511.0,3604869.82,161063745.0,0.13,0.09,0.005685714285714286,5.000028571428572,1.0,
56,50,5000,1,3,10,0,0,minizinc_fw,18,1.22,1.13,4115107.0,3802372.9,161284162.0,0.08,0.08,0.0194,4774.0618,0.0,
57,51,5000,1,3,10,0,0,ogsa_fw,18,1.22,1.05,4115107.0,3529031.37,161284162.0,0.14,0.1,0.006631428571428573,5.194894285714288,1.0,
58,52,5000,1,6,10,0,0,minizinc_fw,19,1.24,1.08,4213635.0,3670231.16,162612564.0,0.13,0.1,0.02111,5100.67649,0.0,
59,53,5000,1,6,10,0,0,ogsa_fw,19,1.24,1.06,4213635.0,3594110.85,162612564.0,0.15,0.11,0.00784642857142857,4.382092857142856,1.0,
60,54,5000,1,0,10,0,0,minizinc_fw,17,1.17,1.08,3971937.0,3648114.13,162672373.0,0.08,0.11,0.016253333333333342,4954.437986666668,0.0,
61,55,5000,1,0,10,0,0,ogsa_fw,17,1.17,1.06,3971937.0,3604580.34,162672373.0,0.09,0.12,0.006974999999999999,4.25356875,1.0,
62,0,5000,1,6,10,0,0,minizinc_fw,11,1.19,1.06,4044654.0,3591376.26,162800011.0,0.11,0.12,0.021325,5690.9931,,
63,1,5000,1,6,10,0,0,ogsa_fw,11,1.21,1.08,4075372.0,3636916.74,161208664.0,0.11,0.09,0.006652380952380952,4.628547619047619,,
64,0,5000,1,3,10,0,0,minizinc_fw,6,1.25,1.16,4274377.0,3969341.98,163627841.0,0.07,0.05,0.01698181818181818,6995.9508636363635,,
65,1,5000,1,3,10,0,0,ogsa_fw,6,1.26,1.07,4187534.0,3557278.96,160138695.0,0.15,0.09,0.006960714285714288,4.549310714285714,,
66,0,5000,1,0,10,0,0,minizinc_fw,9,1.21,1.13,4026399.0,3765342.85,159685208.0,0.06,0.08,0.0157,5182.80496,,
67,1,5000,1,0,10,0,0,ogsa_fw,9,1.21,1.06,4026399.0,3524719.55,159685208.0,0.12,0.1,0.007386363636363636,4.959040909090909,,
68,0,5000,1,9,10,0,0,minizinc_fw,12,1.26,1.12,4255181.0,3792702.4,162129301.0,0.11,0.07,0.016689473684210525,6929.168905263156,,
69,1,5000,1,9,10,0,0,ogsa_fw,12,1.26,1.06,4255181.0,3592915.64,162129301.0,0.16,0.08,0.007859999999999999,4.421828,,
70,0,5000,1,9,10,0,0,minizinc_fw,8,1.28,1.15,4291248.0,3844027.18,160840200.0,0.1,0.06,0.017268750000000003,5376.68185625,,
71,1,5000,1,9,10,0,0,ogsa_fw,8,1.28,1.07,4291248.0,3588385.75,160840200.0,0.16,0.07,0.005933333333333332,4.898977777777778,,
72,0,5000,1,3,10,0,0,minizinc_fw,14,1.24,1.12,4197680.0,3805707.81,163022383.0,0.09,0.08,0.01628333333333333,5783.237194444445,,
73,1,5000,1,3,10,0,0,ogsa_fw,14,1.24,1.08,4197680.0,3659855.93,163022383.0,0.13,0.1,0.007030434782608696,5.001008695652174,,
74,0,5000,1,6,10,0,0,minizinc_fw,7,1.27,1.16,4285984.0,3924763.8,162499101.0,0.08,0.07,0.01893636363636364,4582.841800000001,,
75,1,5000,1,6,10,0,0,ogsa_fw,7,1.27,1.07,4285984.0,3608154.91,162499101.0,0.16,0.09,0.006024242424242424,4.975448484848486,,
76,0,5000,1,0,10,0,0,minizinc_fw,13,1.24,1.15,4163511.0,3862521.42,161063745.0,0.07,0.07,0.018019999999999998,4002.02699,,
77,1,5000,1,0,10,0,0,ogsa_fw,13,1.24,1.07,4163511.0,3604869.82,161063745.0,0.13,0.09,0.005685714285714286,5.000028571428572,,
78,0,5000,1,3,10,0,0,minizinc_fw,18,1.22,1.13,4115107.0,3802372.9,161284162.0,0.08,0.08,0.0194,4774.0618,,
79,1,5000,1,3,10,0,0,ogsa_fw,18,1.22,1.05,4115107.0,3529031.37,161284162.0,0.14,0.1,0.006631428571428573,5.1948942857142875,,
80,0,5000,1,6,10,0,0,minizinc_fw,19,1.24,1.08,4213635.0,3670231.16,162612564.0,0.13,0.1,0.02111,5100.67649,,
81,1,5000,1,6,10,0,0,ogsa_fw,19,1.24,1.06,4213635.0,3594110.85,162612564.0,0.15,0.11,0.00784642857142857,4.382092857142856,,
82,0,5000,1,0,10,0,0,minizinc_fw,17,1.17,1.08,3971937.0,3648114.13,162672373.0,0.08,0.11,0.01625333333333334,4954.437986666668,,
83,1,5000,1,0,10,0,0,ogsa_fw,17,1.17,1.06,3971937.0,3604580.34,162672373.0,0.09,0.12,0.006974999999999999,4.25356875,,
