,Unnamed: 0,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time,Unnamed: 0.1,Unnamed: 0.1.1
0,0,5000,1,6,10,0,0,minizinc_fw,15,1.2,1.1,4000142.0,3663012.47,159410435.0,0.08,0.09,0.019738461538461538,4788.7253769230765,,
1,1,5000,1,6,10,0,0,ogsa_fw,15,1.2,1.08,4000142.0,3582736.61,159410435.0,0.1,0.1,0.007594444444444445,4.270972222222223,,
2,0,5000,1,9,10,0,0,minizinc_fw,16,1.28,1.15,4282246.0,3843646.78,161016567.0,0.1,0.07,0.021141176470588243,4995.577047058824,,
3,1,5000,1,9,10,0,0,ogsa_fw,16,1.28,1.06,4282246.0,3551702.87,161016567.0,0.17,0.08,0.006074193548387097,4.404383870967743,,
4,0,5000,1,9,10,0,0,minizinc_fw,20,1.21,1.1,4107629.0,3735189.1,162752263.0,0.09,0.1,0.01698181818181818,4715.559981818182,,
5,1,5000,1,9,10,0,0,ogsa_fw,20,1.21,1.05,4107629.0,3562556.07,162752263.0,0.13,0.11,0.00837142857142857,4.346780952380952,,
6,0,5000,1,6,10,0,0,minizinc_fw,15,1.2,1.1,4000142.0,3663012.47,159410435.0,0.08,0.09,0.019738461538461538,4788.7253769230765,0.0,
7,1,5000,1,6,10,0,0,ogsa_fw,15,1.2,1.08,4000142.0,3582736.61,159410435.0,0.1,0.1,0.007594444444444445,4.270972222222223,1.0,
8,2,5000,1,9,10,0,0,minizinc_fw,16,1.28,1.15,4282246.0,3843646.78,161016567.0,0.1,0.07,0.021141176470588243,4995.577047058824,0.0,
9,3,5000,1,9,10,0,0,ogsa_fw,16,1.28,1.06,4282246.0,3551702.87,161016567.0,0.17,0.08,0.0060741935483870965,4.404383870967743,1.0,
10,4,5000,1,9,10,0,0,minizinc_fw,20,1.21,1.1,4107629.0,3735189.1,162752263.0,0.09,0.1,0.01698181818181818,4715.559981818182,0.0,
11,5,5000,1,9,10,0,0,ogsa_fw,20,1.21,1.05,4107629.0,3562556.07,162752263.0,0.13,0.11,0.00837142857142857,4.346780952380952,1.0,
12,6,5000,1,0,10,0,0,minizinc_fw,9,1.21,1.13,4026399.0,3765342.85,159685208.0,0.06,0.08,0.0157,5182.80496,10.0,0.0
13,7,5000,1,0,10,0,0,ogsa_fw,9,1.21,1.06,4026399.0,3524719.55,159685208.0,0.12,0.1,0.007386364,4.959040909,11.0,1.0
14,8,5000,1,0,10,0,0,minizinc_fw,13,1.24,1.15,4163511.0,3862521.42,161063745.0,0.07,0.07,0.01802,4002.02699,20.0,0.0
15,9,5000,1,0,10,0,0,ogsa_fw,13,1.24,1.07,4163511.0,3604869.82,161063745.0,0.13,0.09,0.0056857140000000006,5.0000285710000005,21.0,1.0
16,10,5000,1,0,10,0,0,minizinc_fw,17,1.17,1.08,3971937.0,3648114.13,162672373.0,0.08,0.11,0.016253333000000002,4954.437986999998,26.0,0.0
17,11,5000,1,0,10,0,0,ogsa_fw,17,1.17,1.06,3971937.0,3604580.34,162672373.0,0.09,0.12,0.006975,4.25356875,27.0,1.0
18,12,5000,1,3,10,0,0,minizinc_fw,6,1.25,1.16,4274377.0,3969341.98,163627841.0,0.07,0.05,0.016981818,6995.950864,8.0,0.0
19,13,5000,1,3,10,0,0,ogsa_fw,6,1.26,1.07,4187534.0,3557278.96,160138695.0,0.15,0.09,0.006960714000000001,4.549310714,9.0,1.0
20,14,5000,1,3,10,0,0,minizinc_fw,14,1.24,1.12,4197680.0,3805707.81,163022383.0,0.09,0.08,0.016283333,5783.237193999998,16.0,0.0
21,15,5000,1,3,10,0,0,ogsa_fw,14,1.24,1.08,4197680.0,3659855.93,163022383.0,0.13,0.1,0.007030435,5.001008696,17.0,1.0
22,16,5000,1,3,10,0,0,minizinc_fw,18,1.22,1.13,4115107.0,3802372.9,161284162.0,0.08,0.08,0.0194,4774.0618,22.0,0.0
23,17,5000,1,3,10,0,0,ogsa_fw,18,1.22,1.05,4115107.0,3529031.37,161284162.0,0.14,0.1,0.006631429,5.194894286,23.0,1.0
24,18,5000,1,6,10,0,0,minizinc_fw,15,1.2,1.1,4000142.0,3663012.47,159410435.0,0.08,0.09,0.019738462,4788.725377000002,0.0,0.0
25,19,5000,1,6,10,0,0,ogsa_fw,15,1.2,1.08,4000142.0,3582736.61,159410435.0,0.1,0.1,0.007594444,4.270972222,1.0,1.0
26,20,5000,1,6,10,0,0,minizinc_fw,11,1.19,1.06,4044654.0,3591376.26,162800011.0,0.11,0.12,0.021325,5690.9931,6.0,0.0
27,21,5000,1,6,10,0,0,ogsa_fw,11,1.21,1.08,4075372.0,3636916.74,161208664.0,0.11,0.09,0.006652381,4.628547619,7.0,1.0
28,22,5000,1,6,10,0,0,minizinc_fw,7,1.27,1.16,4285984.0,3924763.8,162499101.0,0.08,0.07,0.018936364,4582.8418,18.0,0.0
29,23,5000,1,6,10,0,0,ogsa_fw,7,1.27,1.07,4285984.0,3608154.91,162499101.0,0.16,0.09,0.006024242,4.975448485,19.0,1.0
30,24,5000,1,6,10,0,0,minizinc_fw,19,1.24,1.08,4213635.0,3670231.16,162612564.0,0.13,0.1,0.02111,5100.67649,24.0,0.0
31,25,5000,1,6,10,0,0,ogsa_fw,19,1.24,1.06,4213635.0,3594110.85,162612564.0,0.15,0.11,0.007846429,4.382092857,25.0,1.0
32,26,5000,1,9,10,0,0,minizinc_fw,16,1.28,1.15,4282246.0,3843646.78,161016567.0,0.1,0.07,0.021141176,4995.577047,2.0,0.0
33,27,5000,1,9,10,0,0,ogsa_fw,16,1.28,1.06,4282246.0,3551702.87,161016567.0,0.17,0.08,0.006074194000000001,4.404383871,3.0,1.0
34,28,5000,1,9,10,0,0,minizinc_fw,20,1.21,1.1,4107629.0,3735189.1,162752263.0,0.09,0.1,0.016981818,4715.559982,4.0,0.0
35,29,5000,1,9,10,0,0,ogsa_fw,20,1.21,1.05,4107629.0,3562556.07,162752263.0,0.13,0.11,0.008371429,4.346780952,5.0,1.0
36,30,5000,1,9,10,0,0,minizinc_fw,12,1.26,1.12,4255181.0,3792702.4,162129301.0,0.11,0.07,0.016689474,6929.168905,12.0,0.0
37,31,5000,1,9,10,0,0,ogsa_fw,12,1.26,1.06,4255181.0,3592915.64,162129301.0,0.16,0.08,0.007859999999999999,4.421828,13.0,1.0
38,32,5000,1,9,10,0,0,minizinc_fw,8,1.28,1.15,4291248.0,3844027.18,160840200.0,0.1,0.06,0.01726875,5376.681856,14.0,0.0
39,33,5000,1,9,10,0,0,ogsa_fw,8,1.28,1.07,4291248.0,3588385.75,160840200.0,0.16,0.07,0.005933333000000001,4.898977778,15.0,1.0
40,34,5000,1,6,10,0,0,minizinc_fw,11,1.19,1.06,4044654.0,3591376.26,162800011.0,0.11,0.12,0.021325,5690.9931,0.0,
41,35,5000,1,6,10,0,0,ogsa_fw,11,1.21,1.08,4075372.0,3636916.74,161208664.0,0.11,0.09,0.006652380952380952,4.628547619047619,1.0,
42,36,5000,1,3,10,0,0,minizinc_fw,6,1.25,1.16,4274377.0,3969341.98,163627841.0,0.07,0.05,0.01698181818181818,6995.9508636363635,0.0,
43,37,5000,1,3,10,0,0,ogsa_fw,6,1.26,1.07,4187534.0,3557278.96,160138695.0,0.15,0.09,0.006960714285714288,4.549310714285714,1.0,
44,38,5000,1,0,10,0,0,minizinc_fw,9,1.21,1.13,4026399.0,3765342.85,159685208.0,0.06,0.08,0.0157,5182.80496,0.0,
45,39,5000,1,0,10,0,0,ogsa_fw,9,1.21,1.06,4026399.0,3524719.55,159685208.0,0.12,0.1,0.007386363636363636,4.959040909090909,1.0,
46,40,5000,1,9,10,0,0,minizinc_fw,12,1.26,1.12,4255181.0,3792702.4,162129301.0,0.11,0.07,0.016689473684210525,6929.1689052631555,0.0,
47,41,5000,1,9,10,0,0,ogsa_fw,12,1.26,1.06,4255181.0,3592915.64,162129301.0,0.16,0.08,0.007859999999999999,4.421828,1.0,
