,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.21,0.0,0.0,0.0,161073704.0,4058065.0,2917815971.4,0.0
1,1.18,0.02,0.05,301575.58,161073704.0,3961783.3,2768706314.88,0.0225
2,1.14,0.05,0.09,644317.74,161073704.0,3836951.77,2645838809.75,0.0292
3,1.13,0.06,0.1,717150.05,161073704.0,3806363.38,2626135662.87,0.008
4,1.13,0.07,0.11,784969.7,161073704.0,3776018.85,2609303079.95,0.008
5,1.12,0.07,0.11,833494.2,161073704.0,3757176.47,2602970394.71,0.0055
6,1.12,0.07,0.11,915382.95,161073704.0,3763262.42,2585083061.64,0.0122
7,1.14,0.06,0.12,981188.01,161073704.0,3833739.65,2573619707.76,0.0108
8,1.14,0.06,0.12,1030022.48,161073704.0,3810898.37,2565739817.57,0.0064
9,1.13,0.07,0.12,1086805.89,161073704.0,3776792.25,2554555498.52,0.0089
10,1.12,0.07,0.13,1129160.5,161073704.0,3754278.18,2549249446.58,0.0064
11,1.11,0.08,0.13,1168529.06,161073704.0,3724368.34,2542601098.01,0.0083
12,1.11,0.09,0.13,1200946.39,161073704.0,3710096.32,2540186269.3,0.0047
13,1.11,0.09,0.13,1200946.39,161073704.0,3710096.32,2540186269.3,0.0012
