,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,step_size,objective
0,3.77,0.0,0.0,0,76308.0,6000.0,1190447.0,,,1190450.77
1,3.18,0.16,0.09,0,76308.0,5060.0,1079453.43,,,1079456.6099999999
2,2.84,0.25,0.1,0,76308.0,4520.0,1070867.82,,,1070870.6600000001
3,2.76,0.27,0.1,0,76308.0,4392.76,1070939.57,,,1070942.33
4,3.46,0.08,0.07,0,76308.0,5507.67,1107504.87,,,1107508.33
5,2.8,0.26,0.1,0,76308.0,4458.13,1072716.12,,,1072718.9200000002
