,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1282.217,1262.2086877295706,1247.6458765647967,1236.335149431279,1262.0986178103992,1255.5743254729437,1332.821621850657,1319.731539051779,1327.8152629184917,1328.475893835884,1327.3266809420481,1323.5833898363921,1322.7663843951002,1315.6510810896805,1312.0994406677255,1312.0994406677255
1,1304.065,1283.3799218619854,1269.0674281571578,1256.6829164016556,1245.7204259821701,1239.0708473477982,1347.0887619000769,1336.0058986449396,1341.9757591809355,1386.3980572508933,1385.5595761936424,1387.2385413413901,1389.9662049745975,1418.571446337568,1440.3643239810333,1440.3643239810333
2,1280.962,1261.0249120330275,1265.7717727597123,1253.196398017032,1237.3047861075188,1229.0973447749277,1248.3159901594247,1237.0016183212158,1234.4003932646276,1246.1416235669162,1245.2356359433493,1244.109144545491,1242.0821131717819,1272.588583880618,1299.166014161274,1299.166014161274
3,1182.401,1167.7949836544,1468.0594215095173,1453.4681185958093,1434.7020254688339,1424.6892387219452,1403.4681441270804,1389.4979339433414,1381.1839994370403,1372.9246179959214,1371.5576953779255,1366.0978451999063,1357.945363123852,1348.62236787833,1343.4581312203272,1343.4581312203272
4,1082.153,1077.0777800515348,1410.4317533914195,1409.4934559408466,1547.7116090779675,1536.9734452799257,1514.3591013522564,1499.2836741952326,1490.3109641087594,1481.3916027552946,1479.9102591525393,1473.999763251595,1465.1782521919988,1454.9546830487875,1449.1437280164669,1449.1437280164669
5,1082.113,1124.5830596164365,1166.548608046222,1166.4810863706316,1328.4296902163221,1333.0116730990733,1484.0030335743043,1469.3069867521044,1464.9747480703068,1456.3830319438957,1455.0001159119518,1452.1799452313012,1447.9640077063552,1501.5442853911923,1495.5864484560504,1495.5864484560504
6,1035.63,1213.4275066291145,1199.9798191620343,1188.8216846761131,1189.2373211347663,1186.1049186302052,1273.3641555444449,1260.710589480264,1254.8609291642078,1247.458273829427,1246.2319965555978,1242.3914861380401,1236.658863506296,1276.6063162339435,1271.5202743925015,1271.5202743925015
7,1028.413,1530.5397181283931,1512.3140917527742,1506.068925631106,1486.6252937355448,1476.260042913575,1454.330717101239,1440.5123167902752,1434.3486779728405,1471.768251775534,1470.3827375237586,1466.376325202665,1460.4219764987374,1450.397221048648,1455.2553868400223,1455.2553868400223
8,1008.027,1226.6660308843025,1213.7515342197255,1295.195697891606,1278.4721583025826,1269.5572844931999,1250.6877344823822,1238.4644627526181,1232.2756680225991,1262.9339288976637,1261.762726968766,1257.7532113487218,1251.7824763414937,1243.1094657482543,1241.0898358558995,1241.0898358558995
9,1216.341,1197.7448663661144,1188.7984041768534,1493.004810352984,1475.1538774531853,1464.909611107583,1443.1388538311694,1430.2435705069531,1426.9055478812404,1418.4732858554053,1426.3510355695498,1435.1246320600562,1448.2273512343988,1439.0753354494616,1448.796915579417,1448.796915579417
10,1177.588,1159.2962490248342,1149.2957520020884,1277.8612186879825,1280.9056416640565,1272.1428934854448,1253.5291340287367,1243.0940268035256,1239.48400622863,1232.1727057776684,1237.3627900718907,1245.5565660003688,1257.7231087440246,1250.0124468266222,1259.0213763781953,1259.0213763781953
11,1251.927,1232.9532743341651,1224.460104735612,1224.759663202565,1310.5867339794984,1322.5971385622784,1315.4939713128852,1468.6980685979138,1459.9110354109475,1451.1743843208399,1449.723420936519,1443.9338548424903,1435.2927736322088,1425.2774692112744,1419.5867425413994,1419.5867425413994
12,1196.841,1178.5959537464544,1169.237676401891,1163.6922896505068,1216.3408808906377,1229.6111119238656,1228.4606152086171,1391.6612989028838,1420.0325422103867,1411.5343432533166,1410.1231019100633,1404.4921669470561,1396.08785125943,1386.345384689655,1380.809234300129,1380.809234300129
13,1345.761,1324.4053176509765,1308.6196711011405,1295.6247488020433,1280.3879174773274,1273.6202501411856,1267.367164768895,1302.8030292394287,1424.2730675036767,1416.1990117990135,1414.8343427872146,1409.4600695471265,1436.2515083520861,1439.5249304271676,1442.1564521318548,1442.1564521318548
14,1340.408,1319.1360399537239,1303.4131826468076,1290.48383958439,1273.9232223372608,1265.2981874030752,1248.7096690267676,1240.9005876596984,1285.376919516639,1278.1899583748389,1276.959685416464,1272.1732003884383,1311.0286551641268,1322.4594165479423,1330.0065287748025,1330.0065287748025
15,1474.779,1451.358797445335,1434.0382255277907,1419.762641234132,1401.4178207760935,1391.6384771983078,1370.9126975710542,1357.2740869179274,1349.4737978812234,1341.4733715061118,1340.1375491346055,1334.8176933748518,1335.9252411132952,1330.4312174834636,1331.3789378477404,1331.3789378477404
16,1515.507,1491.440077593835,1473.641178815145,1458.9713025569838,1440.1189766430946,1430.0692851000674,1408.769556714625,1394.7471875509466,1386.4015129658185,1378.1086841595434,1376.730914475384,1371.2340749512541,1363.032957227735,1353.5259206839137,1348.364233986559,1348.364233986559
17,1539.39,1514.957872397269,1496.895552040289,1482.016743967589,1462.8926696123804,1452.6934334509008,1431.1149493363237,1416.9726270256967,1408.6276620276817,1400.4047014525738,1399.8751967511212,1421.296241607137,1413.4016875798513,1415.0116903153582,1412.7808965346546,1412.7808965346546
18,1425.554,1402.9346698751308,1386.2211216209798,1372.4607755415902,1354.7632176956974,1345.3403883699486,1325.370435174333,1312.278970472189,1304.6366088547595,1297.216425313501,1297.1103518881878,1327.100979032888,1320.1656158050114,1330.5409310267205,1331.1018731878435,1331.1018731878435
19,1447.933,1424.9449868363222,1407.9457653871766,1393.9357882702768,1375.9324760677412,1366.352623631127,1346.020618035064,1332.642424152321,1324.8075277117093,1317.0384598861076,1316.2104534262214,1316.0664917350955,1309.1378885112686,1317.3390160880633,1317.8992589587513,1317.8992589587513
20,1481.092,1457.5835174223878,1440.1937661762238,1425.8627364382337,1407.4645586339934,1397.6537484170492,1376.8808057436513,1363.1921595815877,1355.113010073829,1347.0297198270475,1345.9417201072206,1341.6513221893476,1334.463365124226,1339.9077077522243,1349.476915142639,1349.476915142639
21,1464.226,1440.9877251198948,1423.797786032208,1409.6355849730721,1391.4488952471036,1381.7504032696518,1361.2200381998753,1347.6908508324825,1339.687156319544,1331.7022828661125,1330.4242725832462,1325.3552573551929,1317.989886730689,1323.214469865399,1334.6060663446026,1334.6060663446026
22,1464.041,1440.7968175522506,1423.6047769388229,1409.4367323148954,1391.2379712704765,1381.533811786063,1360.976569232887,1347.4398007328366,1339.3902193715207,1331.3888927207831,1330.0721348280622,1324.8293929582592,1317.0931657438175,1311.940529114341,1311.9521375706813,1311.9521375706813
23,1559.701,1534.9338085001377,1516.6168723325627,1501.5206213448562,1482.119417243964,1471.7773080399686,1449.8605053549636,1435.4313008221088,1426.8456980778915,1418.31219255506,1416.894740362505,1411.239251706934,1402.7985046953695,1393.0259050712982,1387.4725983561902,1387.4725983561902
24,1499.602,1475.788150169061,1458.176331349215,1443.6613552364954,1425.0075666330047,1415.0634637714377,1393.9882221063824,1380.1147649555921,1371.8876202354888,1363.7524242435675,1362.389152819324,1356.9498859108928,1348.8317815459764,1339.431874414957,1334.090258022246,1334.090258022246
25,1506.479,1482.5844928140425,1464.9028427866676,1450.3339745191024,1431.6108369302192,1421.6436804297493,1400.6386676013735,1387.0320629567245,1379.3500739684525,1415.3750040741581,1413.9597830700839,1408.3130371186926,1399.8877806231637,1390.1189756684041,1384.5674619791266,1384.5674619791266
26,1412.522,1390.2261250842294,1374.0143456566343,1360.5786835789022,1343.3148117378698,1334.2569817949507,1315.2268930936502,1306.753325160209,1320.081651499688,1423.2510211056435,1421.913773084538,1417.3901970136037,1442.3036854098787,1438.0651312372129,1438.1693502534006,1438.1693502534006
27,1354.299,1332.81681312448,1317.0042489965688,1303.944632576056,1287.1639127186663,1278.2624473493902,1259.4675956127508,1249.4418980489097,1249.5640828420828,1292.060824480166,1290.816951655686,1286.2302536323375,1319.4933054153705,1320.1677083696406,1325.7506401563278,1325.7506401563278
28,1475.271,1451.8432065385232,1434.5169729187248,1420.23711043831,1401.8859132304353,1392.1028701188754,1371.368981512112,1357.721229232351,1349.6175586808529,1342.4043254609278,1341.064513135467,1335.7223629891714,1331.1001837474337,1323.993808028061,1321.9733140637757,1321.9733140637757
