,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,battery_capacity_max,battery_capacity_min,battery_power,no_iterations,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time
0,50,1,0,0,8,0,minizinc_fw,0,5000,0,5000,28,2.3,1.21,19182.0,10082.7,401060.0,0.47,0.14,0.010203448275862066,44.86344827586207
1,50,1,0,0,8,0,minizinc_fw,0,,,,22,2.3,1.2,19182.0,9985.82,401060.0,0.48,0.14,0.00881304347826087,32.94173913043478
2,50,1,1,0,8,0,minizinc_fw,0,5000,0,5000,37,2.3,1.2,19182.0,10063.81,401060.0,0.48,0.14,0.008450000000000006,44.686578947368425
3,50,1,1,0,8,0,minizinc_fw,0,,,,18,2.3,1.19,19182.0,9947.18,401060.0,0.48,0.14,0.010636842105263158,32.54263157894737
4,50,1,3,0,8,0,minizinc_fw,0,5000,0,5000,32,2.3,1.23,19182.0,10269.16,401060.0,0.46,0.14,0.009730303030303027,44.04303030303031
5,50,1,3,0,8,0,minizinc_fw,0,,,,17,2.3,1.19,19182.0,9940.87,401060.0,0.48,0.14,0.011122222222222223,32.405
6,50,1,5,0,8,0,minizinc_fw,0,5000,0,5000,39,2.3,1.25,19182.0,10418.41,401060.0,0.46,0.14,0.008534999999999997,44.1945
7,50,1,5,0,8,0,minizinc_fw,0,,,,19,2.3,1.19,19182.0,9966.78,401060.0,0.48,0.14,0.010129999999999998,32.02900000000001
8,50,50,0,0,8,0,minizinc_fw,0,5000,0,5000,76,2.3,1.45,19182.0,12106.68,401060.0,0.37,0.14,0.007097402597402596,45.711298701298695
9,50,50,0,0,8,0,minizinc_fw,0,,,,53,2.3,1.35,19182.0,11301.09,401060.0,0.41,0.14,0.011027777777777774,33.002962962962954
10,50,50,1,0,8,0,minizinc_fw,0,5000,0,5000,66,2.3,1.45,19182.0,12114.58,401060.0,0.37,0.14,0.008034328358208952,46.625373134328356
11,50,50,1,0,8,0,minizinc_fw,0,,,,54,2.3,1.36,19182.0,11351.59,401060.0,0.41,0.14,0.011938181818181818,36.02
12,50,50,3,0,8,0,minizinc_fw,0,5000,0,5000,75,2.3,1.45,19182.0,12112.55,401060.0,0.37,0.14,0.007606578947368416,47.45868421052629
13,50,50,3,0,8,0,minizinc_fw,0,,,,59,2.3,1.36,19182.0,11384.28,401060.0,0.41,0.14,0.010533333333333336,33.96366666666667
14,50,50,5,0,8,0,minizinc_fw,0,5000,0,5000,67,2.3,1.47,19182.0,12301.68,401060.0,0.36,0.14,0.007295588235294117,46.023970588235315
15,50,50,5,0,8,0,minizinc_fw,0,,,,50,2.3,1.36,19182.0,11358.54,401060.0,0.41,0.14,0.011390196078431374,33.41372549019608
16,50,100,0,0,8,0,minizinc_fw,0,5000,0,5000,75,2.3,1.52,19182.0,12698.59,401060.0,0.34,0.14,0.008367105263157891,45.46763157894736
17,50,100,0,0,8,0,minizinc_fw,0,,,,61,2.3,1.45,19182.0,12084.5,401060.0,0.37,0.14,0.01398870967741935,32.920806451612904
18,50,100,1,0,8,0,minizinc_fw,0,5000,0,5000,60,2.3,1.52,19182.0,12701.08,401060.0,0.34,0.14,0.010070491803278686,45.589672131147545
19,50,100,1,0,8,0,minizinc_fw,0,,,,51,2.3,1.45,19182.0,12091.73,401060.0,0.37,0.14,0.015413461538461539,33.70730769230769
20,50,100,3,0,8,0,minizinc_fw,0,5000,0,5000,62,2.3,1.52,19182.0,12699.81,401060.0,0.34,0.14,0.009857142857142856,44.46444444444444
21,50,100,3,0,8,0,minizinc_fw,0,,,,51,2.3,1.45,19182.0,12091.73,401060.0,0.37,0.14,0.015440384615384613,33.102884615384625
22,50,100,5,0,8,0,minizinc_fw,0,5000,0,5000,56,2.3,1.52,19182.0,12704.19,401060.0,0.34,0.14,0.010312280701754384,45.26280701754388
23,50,100,5,0,8,0,minizinc_fw,0,,,,63,2.3,1.44,19182.0,12041.56,401060.0,0.37,0.14,0.0135203125,33.51
24,50,1000,0,0,8,0,minizinc_fw,0,5000,0,5000,63,2.3,1.68,19182.0,14077.25,401060.0,0.27,0.14,0.014174999999999997,44.31906249999999
25,50,1000,0,0,8,0,minizinc_fw,0,,,,20,2.3,1.68,19182.0,14043.73,401060.0,0.27,0.13,0.03247619047619048,31.203333333333337
26,50,1000,1,0,8,0,minizinc_fw,0,5000,0,5000,57,2.3,1.69,19182.0,14099.29,401060.0,0.26,0.14,0.014849999999999997,44.376379310344824
27,50,1000,1,0,8,0,minizinc_fw,0,,,,8,2.3,1.68,19182.0,14009.92,401060.0,0.27,0.13,0.049022222222222224,29.307777777777776
28,50,1000,3,0,8,0,minizinc_fw,0,5000,0,5000,57,2.3,1.69,19182.0,14099.29,401060.0,0.26,0.14,0.015132758620689649,44.0346551724138
29,50,1000,3,0,8,0,minizinc_fw,0,,,,8,2.3,1.68,19182.0,14009.92,401060.0,0.27,0.13,0.049733333333333324,29.87777777777778
30,50,1000,5,0,8,0,minizinc_fw,0,5000,0,5000,55,2.3,1.69,19182.0,14098.68,401060.0,0.27,0.14,0.015773214285714283,43.766071428571436
31,50,1000,5,0,8,0,minizinc_fw,0,,,,14,2.3,1.69,19182.0,14098.72,401060.0,0.27,0.13,0.03873333333333333,30.348666666666663
32,50,100000,0,0,8,0,minizinc_fw,0,5000,0,5000,37,2.3,2.23,19182.0,18597.42,401060.0,0.03,0.11,0.026713157894736838,43.659210526315796
33,50,100000,0,0,8,0,minizinc_fw,0,,,,4,2.3,2.24,19182.0,18701.65,401060.0,0.03,0.06,0.05602,25.996
34,50,100000,1,0,8,0,minizinc_fw,0,5000,0,5000,37,2.3,2.23,19182.0,18597.42,401060.0,0.03,0.11,0.026705263157894735,43.693947368421064
35,50,100000,1,0,8,0,minizinc_fw,0,,,,4,2.3,2.24,19182.0,18701.65,401060.0,0.03,0.06,0.05816,25.684000000000005
36,50,100000,3,0,8,0,minizinc_fw,0,5000,0,5000,37,2.3,2.23,19182.0,18597.42,401060.0,0.03,0.11,0.026631578947368426,43.78947368421052
37,50,100000,3,0,8,0,minizinc_fw,0,,,,4,2.3,2.24,19182.0,18701.65,401060.0,0.03,0.06,0.05726,26.156
38,50,100000,5,0,8,0,minizinc_fw,0,5000,0,5000,37,2.3,2.23,19182.0,18597.42,401060.0,0.03,0.11,0.026644736842105263,42.99315789473684
39,50,100000,5,0,8,0,minizinc_fw,0,,,,4,2.3,2.24,19182.0,18701.65,401060.0,0.03,0.06,0.0558,25.692
40,100,1,0,0,8,0,minizinc_fw,0,5000,0,5000,67,1.92,1.07,35149.0,19688.44,879700.0,0.44,0.08,0.007647058823529412,95.26367647058824
41,100,1,0,0,8,0,minizinc_fw,0,,,,45,1.92,1.05,35149.0,19280.54,879700.0,0.45,0.08,0.005971739130434783,69.9791304347826
42,100,1,1,0,8,0,minizinc_fw,0,5000,0,5000,65,1.92,1.08,35149.0,19751.71,879700.0,0.44,0.08,0.007956060606060604,94.33515151515152
43,100,1,1,0,8,0,minizinc_fw,0,,,,43,1.92,1.04,35149.0,19057.6,879700.0,0.46,0.08,0.006179545454545454,69.63181818181819
44,100,1,3,0,8,0,minizinc_fw,0,5000,0,5000,63,1.92,1.08,35149.0,19767.52,879700.0,0.44,0.08,0.0082515625,93.40375000000002
45,100,1,3,0,8,0,minizinc_fw,0,,,,56,1.92,1.04,35149.0,18989.09,879700.0,0.46,0.08,0.005154385964912276,68.81228070175437
46,100,1,5,0,8,0,minizinc_fw,0,5000,0,5000,81,1.92,1.1,35149.0,20102.1,879700.0,0.43,0.08,0.007021951219512195,93.32121951219513
47,100,1,5,0,8,0,minizinc_fw,0,,,,61,1.92,1.04,35149.0,18981.22,879700.0,0.46,0.08,0.0050806451612903265,67.89806451612905
48,100,50,0,0,8,0,minizinc_fw,0,5000,0,5000,44,1.92,1.29,35149.0,23668.17,879700.0,0.33,0.07,0.007726666666666667,96.80955555555555
49,100,50,0,0,8,0,minizinc_fw,0,,,,93,1.92,1.2,35149.0,22028.25,879700.0,0.37,0.08,0.009223404255319149,73.36223404255318
50,100,50,1,0,8,0,minizinc_fw,0,5000,0,5000,28,1.92,1.31,35149.0,23995.51,879700.0,0.32,0.07,0.009758620689655176,95.44517241379312
51,100,50,1,0,8,0,minizinc_fw,0,,,,81,1.92,1.21,35149.0,22169.08,879700.0,0.37,0.08,0.010435365853658538,72.74585365853659
52,100,50,3,0,8,0,minizinc_fw,0,5000,0,5000,30,1.92,1.31,35149.0,23994.44,879700.0,0.32,0.07,0.009319354838709677,92.53870967741935
53,100,50,3,0,8,0,minizinc_fw,0,,,,71,1.92,1.21,35149.0,22203.06,879700.0,0.37,0.08,0.009330555555555557,69.8179166666667
54,100,50,5,0,8,0,minizinc_fw,0,5000,0,5000,28,1.92,1.31,35149.0,23990.36,879700.0,0.32,0.07,0.010327586206896552,93.83689655172417
55,100,50,5,0,8,0,minizinc_fw,0,,,,78,1.92,1.21,35149.0,22199.95,879700.0,0.37,0.08,0.008508860759493673,70.17620253164557
56,100,100,0,0,8,0,minizinc_fw,0,5000,0,5000,35,1.92,1.33,35149.0,24293.61,879700.0,0.31,0.07,0.00875555555555556,95.10277777777776
