,0,1,2,3,4,5,6,7,8,9
0,2360.634,2315.853504394735,2293.015876476065,2355.4305151838917,2340.6878794847007,2401.402466627356,2534.361990175925,2519.2672551208175,2512.382720482079,2512.382720482079
1,2298.609,2440.7449402149914,2414.2541508593013,2396.2933747775164,2380.10457932795,2357.4534302531715,2663.9713560483524,2649.1219208325974,2643.0234166419937,2643.0234166419937
2,2061.197,2479.799451310299,2452.6576708014823,2425.8530865234648,2408.984402478376,2373.4274862809166,2464.071097634391,2450.2077379029183,2443.6613354581054,2443.6613354581054
3,2092.899,2919.1648871691955,2890.9252580927246,2904.4960226556223,2884.228618818653,2841.3175947530794,2818.6682456852404,2801.7989087802116,2793.401914648798,2793.401914648798
4,2061.094,2339.226627563143,2350.6049949824796,2747.73648230728,2729.538519647319,2806.18099731758,2788.3311894249405,2781.3889780750005,2773.0534012774033,2773.0534012774033
5,2166.594,2125.7031830518335,2120.234484246528,2340.9687998984873,2325.766013499914,2464.320519547867,2475.112518708141,2530.3660884347983,2522.7834988166996,2522.7834988166996
6,2208.225,2485.8888168604694,2461.1102028546456,2435.346092942287,2418.6314850073236,2429.2889724316497,2483.2665436292773,2637.14128448975,2630.4380863054985,2630.4380863054985
7,2057.773,2324.97273375251,2486.0489709303333,2458.8387555646696,2441.701974201172,2407.26961158959,2412.638363863892,2456.2717548755268,2449.4580948156718,2449.4580948156718
8,2179.428,2151.676244875049,2827.9251020373117,2796.981631854706,2788.515067009434,2748.0068917406215,2726.1030471154804,2709.787271882329,2701.6660367187105,2701.6660367187105
9,2091.488,2052.6238027463673,2397.3466805804633,2372.713715372515,2460.398689527352,2767.8480769674475,2868.6661874058436,2851.5147229925456,2843.891189442016,2843.891189442016
10,2328.662,2282.528740651891,2265.0808485311873,2243.9722901798673,2289.6526123694816,2374.6782692214497,2463.7119016940924,2448.970337212846,2442.146986103493,2442.146986103493
11,2531.589,2481.4376264054813,2454.647150930646,2434.0333326029486,2732.725202301369,2692.0541175415206,2670.592911549742,2654.6094074824614,2646.6535494246295,2646.6535494246295
12,2332.386,2286.2006571775273,2262.166786759131,2247.169713516456,2572.603553615967,2760.568517617724,2738.564283874784,2771.764690272632,2766.2900964471946,2766.2900964471946
13,2358.857,2312.1543290048203,2287.2713363031935,2265.523728228679,2284.2952125546585,2452.0225327240387,2432.47881811909,2457.1867293315913,2452.3189921275816,2452.3189921275816
14,2805.682,2750.0982546526584,2719.9979763955353,2690.2271506405646,2671.451961292396,2631.6568355261293,2610.677135988713,2595.0526898821204,2587.275715973625,2587.275715973625
15,2948.854,2890.4338548080327,2858.797591243246,2827.5076246282288,2807.7743989053292,2765.9485987182625,2743.8985250071864,2727.4764948540496,2719.302448867564,2719.302448867564
16,2758.142,2703.5000760186635,2673.9098225000334,2644.643482959464,2626.1864375799455,2587.0656219005677,2566.4418683914073,2551.0819557847076,2543.4365134591903,2543.4365134591903
17,2869.577,2812.727441982078,2781.9417316822805,2751.4929322705534,2732.290285533824,2691.5891832060656,2670.132018523162,2654.152176647874,2646.1981384614614,2646.1981384614614
18,2777.961,2722.9265381863943,2693.1237354565274,2663.647326323144,2645.0577780789495,2605.656293487824,2584.8842543844335,2569.414783676733,2561.7148024428243,2561.7148024428243
19,2766.866,2712.051283297705,2682.3674682427695,2653.008645938139,2634.4932267727386,2595.2487439828164,2574.5593635359933,2559.1508436185454,2551.481203843116,2551.481203843116
20,2876.508,2819.5211111930753,2788.6609883392243,2758.1386455569245,2738.8895064902417,2698.089875812126,2676.5805843060584,2660.561465343407,2652.592959767946,2652.592959767946
21,2801.06,2745.5683764312016,2715.5180396275837,2685.7972544734007,2667.0568199947043,2627.330890300394,2606.397332586037,2590.836410304927,2585.497773271917,2585.497773271917
22,2697.435,2643.996523235728,2615.0582026106654,2586.4374703929757,2568.3909807910454,2530.138902545855,2509.9804517878442,2495.0212746726415,2491.1970616124345,2491.1970616124345
23,2698.426,2644.967771533962,2616.018667204035,2587.3871817495874,2569.331774955424,2531.061928322678,2510.884902468856,2495.86905050208,2489.3819128151827,2489.3819128151827
24,2827.254,2771.2428888447603,2740.911190029673,2710.9114875980163,2691.991948518028,2651.890864946194,2630.749890482774,2615.0048117827223,2607.167669716815,2607.167669716815
25,2858.056,2801.43466625924,2770.7725025234936,2740.445941218987,2721.3202941125746,2680.7823523721836,2659.4110294389334,2643.494419234456,2635.571872807519,2635.571872807519
26,2920.327,2862.4720070610406,2831.141779579171,2800.1544665962533,2780.6120906664178,2739.1908675044124,2717.3538847055684,2701.0904673992723,2692.995596267486,2692.995596267486
