,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,battery_capacity_max,battery_capacity_min,battery_power,no_iterations,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,inconvenient,pricing_time,rescheduling_time
0,1,0,3,0,6,0,minizinc_fw,0,5000,0,5000,3,29.52,16.37,2200.0,1219.95,3577.0,0.45,0.34,0.0,0.001,0.4675
1,1,0,3,0,6,0,minizinc_fw,0,,,,3,29.52,16.37,2200.0,1219.95,3577.0,0.45,0.34,0.0,0.001075,0.3075
2,1,1,3,0,6,0,minizinc_fw,0,5000,0,5000,3,29.52,16.37,2200.0,1219.95,3577.0,0.45,0.34,1.78,0.001,0.4425
3,1,1,3,0,6,0,minizinc_fw,0,,,,1,29.52,29.52,2200,2200,3577,0.0,0.0,0,0.00035,0.225
4,1,50,3,0,6,0,minizinc_fw,0,5000,0,5000,3,29.52,16.37,2200.0,1219.95,3577.0,0.45,0.34,89.1,0.0009499999999999999,0.44499999999999995
5,1,50,3,0,6,0,minizinc_fw,0,,,,1,29.52,29.52,2200,2200,3577,0.0,0.0,0,0.00035,0.23
6,10,0,3,0,6,0,minizinc_fw,0,5000,0,5000,2,6.97,3.59,6020.0,3102.94,41446.0,0.48,0.14,0.0,0.027266666666666665,4.326666666666667
7,10,0,3,0,6,0,minizinc_fw,0,,,,3,6.97,3.6,6020.0,3105.08,41446.0,0.48,0.14,0.0,0.0254,3.1925
8,10,1,3,0,6,0,minizinc_fw,0,5000,0,5000,3,6.97,3.87,6020.0,3345.77,41446.0,0.44,0.14,19.73,0.0175,4.84
9,10,1,3,0,6,0,minizinc_fw,0,,,,3,6.97,3.59,6020.0,3097.52,41446.0,0.49,0.14,22.71,0.020175000000000002,3.385
10,10,50,3,0,6,0,minizinc_fw,0,5000,0,5000,4,6.97,3.56,6020.0,3073.42,41446.0,0.49,0.14,268.3,0.02658,5.188
11,10,50,3,0,6,0,minizinc_fw,0,,,,13,6.97,3.74,6020.0,3231.47,41446.0,0.46,0.14,327.08,0.006992857142857143,4.300714285714286
12,100,0,3,0,6,0,minizinc_fw,0,5000,0,5000,7,2.27,1.16,30776.0,15701.54,651860.0,0.49,0.07,0.0,0.010499999999999999,87.0975
13,100,0,3,0,6,0,minizinc_fw,0,,,,25,2.27,1.23,30776.0,16725.57,651860.0,0.46,0.07,0.0,0.004676923076923077,66.64769230769231
14,100,1,3,0,6,0,minizinc_fw,0,5000,0,5000,20,2.27,1.22,30776.0,16596.43,651860.0,0.46,0.06,1715.6,0.006228571428571431,100.13952380952381
15,100,1,3,0,6,0,minizinc_fw,0,,,,10,2.27,1.16,30776.0,15740.27,651860.0,0.49,0.07,695.24,0.007454545454545455,67.96818181818182
16,100,50,3,0,6,0,minizinc_fw,0,5000,0,5000,53,2.27,1.34,30776.0,18206.54,651860.0,0.41,0.06,4898.64,0.005679629629629631,101.23685185185184
17,100,50,3,0,6,0,minizinc_fw,0,,,,53,2.27,1.23,30776.0,16696.01,651860.0,0.46,0.07,5766.25,0.006459259259259259,73.79240740740744
