,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,step_size,objective
0,2.28,0.0,0.0,0.0,637039.0,30206.0,9557856.7,0.0,1.0,9557858.979999999
1,1.74,0.24,0.06,377.13,637039.0,23077.38,8954151.08,0.0225,0.236,8954529.950000001
2,1.47,0.35,0.07,547.35,637039.0,19569.62,8925860.92,0.0143,0.152,8926409.74
3,1.38,0.39,0.07,584.31,637039.0,18297.6,8922316.2,0.0077,0.065,8922901.89
4,1.31,0.43,0.07,626.37,637039.0,17364.98,8920503.09,0.0052,0.051,8921130.77
5,1.27,0.44,0.07,639.62,637039.0,16896.42,8919761.5,0.0029,0.027,8920402.389999999
6,1.26,0.45,0.07,652.06,637039.0,16660.03,8919504.33,0.0021,0.014,8920157.65
7,1.24,0.46,0.07,669.01,637039.0,16410.29,8919248.45,0.0022,0.015,8919918.7
8,1.22,0.46,0.07,678.49,637039.0,16246.3,8919078.12,0.0018,0.01,8919757.83
9,1.21,0.47,0.07,684.02,637039.0,16121.89,8918964.54,0.0013,0.008,8919649.77
10,1.21,0.47,0.07,687.9,637039.0,16026.68,8918870.62,0.0018,0.006,8919559.73
11,1.2,0.47,0.07,692.23,637039.0,15963.23,8918818.17,0.001,0.004,8919511.6
12,1.2,0.47,0.07,695.6,637039.0,15868.98,8918760.74,0.0012,0.006,8919457.54
13,1.19,0.48,0.07,698.74,637039.0,15806.52,8918708.92,0.0012,0.004,8919408.85
14,1.19,0.48,0.07,698.74,637039.0,15806.52,8918708.92,0.0007,0.0,8919408.85
