,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,step_size,objective
0,5.54,0.0,0.0,0.0,72838.0,8400.0,1149219.4,0.0,1.0,1149224.94
1,3.11,0.44,0.11,1027.94,72838.0,4725.66,1019819.7,0.0082,0.4374,1020850.7499999999
2,2.91,0.47,0.11,680.86,72838.0,4421.31,1019746.26,0.0019,0.3953,1020430.03
3,2.91,0.47,0.11,550.51,72838.0,4415.11,1019745.11,0.0013,0.1915,1020298.53
4,2.9,0.48,0.11,528.11,72838.0,4401.05,1019751.09,0.0012,0.0407,1020282.1
5,3.05,0.45,0.11,384.58,72838.0,4625.84,1019789.75,0.0017,0.2718,1020177.38
6,2.96,0.46,0.11,382.76,72838.0,4494.13,1019761.75,0.0011,0.0525,1020147.47
7,2.83,0.49,0.11,380.03,72838.0,4298.61,1019732.0,0.0014,0.0834,1020114.86
8,2.95,0.47,0.11,246.17,72838.0,4483.27,1019795.96,0.002,0.3522,1020045.08
9,2.93,0.47,0.11,197.09,72838.0,4448.51,1019772.35,0.0015,0.1994,1019972.37
10,2.94,0.47,0.11,204.3,72838.0,4456.12,1019754.2,0.0009,0.0472,1019961.44
11,2.94,0.47,0.11,204.3,72838.0,4456.12,1019754.2,0.0004,0.0,1019961.44
