,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,3328.076,3279.463406043381,3237.9195845963495,3203.1506755732476,3177.638071079957,3147.5189151776594,3125.916457597149,3101.413622563098,3229.668746971596,3191.1523454320586,3144.1128215839344,3168.4833320535236,3167.6676223111835,3284.509600681761,3277.9576590899983,3271.517739342478,3265.065263715532,3255.3577279350934,3496.0057564409535,3492.5108176845124,3471.635410214113,3454.334828944042,3430.588475235419,3417.0253509832382,3410.2103914656227,3407.0423260741572,3404.4376647480835,3401.2050520833354,3397.8306280312518,3394.4477014032204,3391.0611197018175,3387.691731582116,3387.691731582116
1,3140.971,3094.587078712152,3054.962944507978,3021.808399553819,3063.2992856694477,3033.4564021153055,3052.988575612288,3029.241131797067,3594.05611952654,3551.168399883392,3498.453539861621,3484.8513979262575,3474.410684409952,3446.7215045051084,3439.833145398603,3432.971827482951,3426.1243792648124,3415.8804069320813,3440.06688081071,3436.628189929899,3416.068136919633,3399.045630310286,3375.464311227753,3362.1045063981933,3355.3897704329033,3354.1268706624705,3358.3191467918077,3356.516802645016,3353.186107842371,3349.8367357345282,3346.487988998794,3344.236071009795,3344.236071009795
2,3014.555,2969.6670589119235,2931.3191427807724,2899.4983843683917,3622.2630603696693,3586.2100160513373,3561.182638231952,3532.7933766596325,3526.186077897659,3484.1082268212012,3432.2182299891915,3418.631194614584,3408.3869261321506,3381.2187261273693,3374.4610492038405,3367.717520556482,3360.9874062558897,3350.916654506064,3320.890024174562,3317.6650411503874,3320.4909997604614,3319.075518556445,3317.043820152615,3320.486173037584,3319.917375232682,3322.9117728574497,3341.937741084592,3346.5908863435075,3343.263035457164,3339.9205584217066,3340.102022863285,3356.8845178404217,3356.8845178404217
3,2607.447,3115.784220781225,3075.5238818696944,3041.871496786085,3279.6521716202137,3247.0303772427155,3224.3699086948095,3198.6663588606775,3173.1914360298165,3135.3356211192104,3639.162165760019,3624.812982816842,3613.9494356615337,3585.138884436438,3577.9722038004497,3570.8198493590526,3563.6817924741836,3553.0014435694593,3521.1490592891814,3517.627926229892,3496.574954536931,3479.127060465621,3454.846159916125,3441.0485090085103,3434.1699669820023,3430.73594501502,3427.3066710700055,3425.2419873989356,3421.8317014115364,3418.410410710125,3416.243703299415,3417.4576695961155,3417.4576695961155
4,2611.923,3808.3551057703985,3759.142454622153,3717.9980214365905,3684.669584292683,3647.9882771037915,3622.5288393658975,3593.649956431071,3565.0135665602747,3522.470525709893,3470.0036597587905,3456.440434919523,3446.0817821767296,3418.6102306473185,3411.777338341254,3404.96006400691,3398.1556337959605,3387.972736583778,3357.6060601498116,3354.248987089662,3334.1770076881553,3325.639095558335,3349.681786597508,3336.304430215748,3333.539370576747,3352.92452220617,3349.5740356839638,3346.62944564828,3343.2965342026314,3339.955150668429,3372.2283335177603,3368.8640981842427,3368.8640981842427
5,2667.146,2742.7383716402383,3212.8635238690163,3177.6989478077485,3149.214397470581,3117.868389266315,3096.160768278271,3071.4977960799856,3127.180344313204,3537.0154249382203,3484.326856761085,3470.890037367554,3460.4880521787654,3432.9015334783157,3426.0393632128926,3419.1930533538302,3412.359729618176,3402.133684295418,3371.641909647227,3368.2760047375796,3348.15253610352,3331.4553112837852,3363.5576974725473,3350.126602122946,3343.589657026302,3348.680099369276,3345.3343432699066,3343.5791149266365,3340.24679481171,3342.445107016899,3399.7216189098817,3396.324038290972,3396.324038290972
6,2743.258,2714.609395272595,3730.5512795659333,3689.719781499484,3656.6448239061015,3620.391405290654,3595.124762499048,3566.5027238749626,3538.2573253412065,3496.153084752375,3444.0732348997635,3430.7809729766855,3420.49902985893,3393.2318878410856,3386.448993209291,3379.6803912168657,3372.925495571823,3362.8225917275895,3332.683889532636,3329.443656643103,3331.850432739732,3323.9477218112133,3363.6905502225814,3350.2845937222664,3345.351148491416,3343.4988413429246,3340.1593975015817,3410.2288421040803,3406.828825261976,3403.509272436714,3404.7114281642775,3401.3100137361134,3401.3100137361134
7,2641.486,2874.4775577603004,2919.1757224357375,2947.6011499554274,3011.9516533747383,3050.934094092259,3029.760057282495,3616.409980642734,3587.8277288107424,3545.0099364225666,3492.2027402687145,3478.851868312509,3468.4257907393394,3440.7777617395427,3433.8997409468257,3427.035473315673,3420.188967334515,3418.8196466665167,3388.175869476916,3384.7890116074386,3364.5393667409394,3347.8124072967653,3325.0450615976574,3335.784342998351,3350.705783859697,3347.483606075837,3344.1399154697615,3370.581640554292,3367.2192039137376,3364.8341617098235,3361.4988475481136,3358.140223700566,3358.140223700566
8,2723.151,2795.350976760545,2789.9363198470487,3225.6866679135865,3196.7929186206447,3165.0513684087605,3142.985750988716,3351.383314873777,3324.751742742802,3285.088080864201,3236.1648017536095,3224.7025023307683,3215.0761785682976,3234.6438116426298,3269.9819681021563,3263.53908122092,3257.056445997559,3445.121191474883,3414.235710927941,3410.821795217013,3390.41011321454,3373.9287184173304,3350.469622559238,3337.1046841910797,3349.957441229382,3346.6215117881525,3343.2790952763644,3344.991857181088,3341.6547183239068,3376.669366605583,3373.2997982389775,3369.9298354407383,3369.9298354407383
9,2735.22,2744.248685581775,2810.034958565291,3679.960477834719,3646.9730213861076,3610.863711118807,3585.663401920158,3557.095528318617,3528.9069242702917,3486.7924369733723,3434.8518486981734,3422.0055308460855,3411.753580042403,3384.6709628170784,3378.1112423924073,3371.361270581865,3364.622421150972,3385.8821230054414,3355.53131129328,3352.1761959819864,3332.1160477147655,3396.7579742745907,3373.0555107025966,3359.5855863920765,3353.3961254978785,3350.0453533723808,3346.6998980190083,3343.6643551209895,3340.327098765869,3393.780403667103,3390.389739263436,3387.002745524172,3387.002745524172
