,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,no_iterations,init_PAR,PAR,PAR - diff,init_max_demand,max_demand,total_demand,demand_reduction,Drd - diff,cost_reduction,CR - diff,pricing_time,rescheduling_time
36,5000,5,6,10,0,0,minizinc_fw,3,24,1.23,1.05,0,4172644,3563152.5,162575903,0.15,-0.01,0.12,0,0.007604,1943.9716
37,5000,5,6,10,0,0,ogsa_fw,3,20,1.23,1.05,,4172644,3569256.76,162575903,0.14,,0.12,,0.008733333,9.221161905
46,5000,5,6,10,0,0,minizinc_fw,4,27,1.18,1.03,-0.02,3978374,3457175.04,161468416,0.13,0.01,0.15,0,0.00685,2401.886425
47,5000,5,6,10,0,0,ogsa_fw,4,24,1.18,1.01,,3978374,3412240.12,161468416,0.14,,0.15,,0.007708,9.250132
8,5000,5,8,10,0,0,minizinc_fw,0,26,1.14,1.01,0.02,3896482,3435421.54,163353015,0.12,-0.02,0.14,0,0.00652963,2936.328889
9,5000,5,8,10,0,0,ogsa_fw,0,16,1.14,1.03,,3896482,3497890.03,163353015,0.1,,0.14,,0.008941176,9.215452941
18,5000,5,8,10,0,0,minizinc_fw,1,28,1.2,1.03,0,4033235,3466707.46,161926802,0.14,0,0.15,0,0.006875862,3224.372066
19,5000,5,8,10,0,0,ogsa_fw,1,25,1.2,1.03,,4033235,3466575.58,161926802,0.14,,0.15,,0.007265385,9.451853846
28,5000,5,8,10,0,0,minizinc_fw,2,14,1.27,1.1,-0.03,4297046,3730039.44,162396320,0.13,0.03,0.1,0,0.010553333,2804.676667
29,5000,5,8,10,0,0,ogsa_fw,2,24,1.27,1.07,,4297046,3605829.35,162396320,0.16,,0.1,,0.007628,9.451104
38,5000,5,8,10,0,0,minizinc_fw,3,26,1.23,1.05,-0.02,4172644,3553043.93,162575903,0.15,0.01,0.12,0,0.007740741,3431.805926
39,5000,5,8,10,0,0,ogsa_fw,3,32,1.23,1.03,,4172644,3504039.25,162575903,0.16,,0.12,,0.006630303,10.11061212
48,5000,5,8,10,0,0,minizinc_fw,4,17,1.18,1.05,0,3978374,3519490.25,161468416,0.12,0,0.15,0,0.009127778,4066.676661
49,5000,5,8,10,0,0,ogsa_fw,4,14,1.18,1.05,,3978374,3518396.45,161468416,0.12,,0.15,,0.009953333,9.211326667
