Arguments count: 1
Argument      0: ./run-monarch.py
----------------------------------------
2000 households, 0 dependent tasks, 10 fully flexible tasks, 0 semi-flexible tasks, 0 fixed tasks, 1 penalty weight. 
----------------------------------------
0. The community is created. 
0. Aggregator is created. 
47. Best step size 0.0, 1 iterations, cost 992758411.7, using ogsa_fw
48. Best step size 0.0, 8 iterations, cost 992751712.1, using ogsa_fw
49. Best step size 0.0, 1 iterations, cost 992751111.56, using ogsa_fw
50. Best step size 0.0, 11 iterations, cost 992741881.65, using ogsa_fw
51. Best step size 0.0, 2 iterations, cost 992739704.41, using ogsa_fw
52. Best step size 0.0, 9 iterations, cost 992733096.81, using ogsa_fw
53. Best step size 0.0, 13 iterations, cost 992721294.76, using ogsa_fw
54. Best step size 0.0, 1 iterations, cost 992719712.7, using ogsa_fw
55. Best step size 0.0, 9 iterations, cost 992712286.09, using ogsa_fw
56. Best step size 0.001, 13 iterations, cost 992696137.23, using ogsa_fw
57. Best step size 0.0, 9 iterations, cost 992692004.59, using ogsa_fw
58. Best step size 0.0, 12 iterations, cost 992679442.44, using ogsa_fw
59. Best step size 0.0, 9 iterations, cost 992673615.64, using ogsa_fw
60. Best step size 0.0, 10 iterations, cost 992669487.66, using ogsa_fw
61. Best step size 0.0, 11 iterations, cost 992666083.22, using ogsa_fw
62. Best step size 0.0, 6 iterations, cost 992661967.16, using ogsa_fw
63. Best step size 0.0, 13 iterations, cost 992652929.67, using ogsa_fw
64. Best step size 0.0, 11 iterations, cost 992646422.58, using ogsa_fw
65. Best step size 0.0, 8 iterations, cost 992643117.84, using ogsa_fw
66. Best step size 0.0, 8 iterations, cost 992641612.27, using ogsa_fw
67. Best step size 0.0, 6 iterations, cost 992640749.87, using ogsa_fw
68. Best step size 0.0, 12 iterations, cost 992639936.85, using ogsa_fw
69. Best step size 0.0, 14 iterations, cost 992638710.52, using ogsa_fw
70. Best step size 0.0, 8 iterations, cost 992637895.91, using ogsa_fw
71. Best step size 0.0, 14 iterations, cost 992635718.21, using ogsa_fw
72. Best step size 0.0, 12 iterations, cost 992632859.06, using ogsa_fw
73. Best step size 0.0, 11 iterations, cost 992631291.39, using ogsa_fw
74. Best step size 0.0, 7 iterations, cost 992630187.02, using ogsa_fw
75. Best step size 0.0, 10 iterations, cost 992628816.62, using ogsa_fw
76. Best step size 0.0, 10 iterations, cost 992627694.93, using ogsa_fw
77. Best step size 0.0, 22 iterations, cost 992613242.63, using ogsa_fw
78. Best step size 0.001, 13 iterations, cost 992600865.74, using ogsa_fw
79. Best step size 0.0, 11 iterations, cost 992589205.18, using ogsa_fw
80. Best step size 0.0, 1 iterations, cost 992588206.96, using ogsa_fw
81. Best step size 0.002, 8 iterations, cost 992576141.99, using ogsa_fw
82. Best step size 0.0, 4 iterations, cost 992569275.35, using ogsa_fw
83. Best step size 0.0, 7 iterations, cost 992563618.6, using ogsa_fw
84. Best step size 0.0, 2 iterations, cost 992563416.9, using ogsa_fw
85. Best step size 0.0, 9 iterations, cost 992559807.28, using ogsa_fw
86. Best step size 0.0, 6 iterations, cost 992558757.79, using ogsa_fw
87. Best step size 0.0, 8 iterations, cost 992555237.39, using ogsa_fw
88. Best step size 0.0, 10 iterations, cost 992550912.94, using ogsa_fw
89. Best step size 0.0, 7 iterations, cost 992549028.54, using ogsa_fw
90. Best step size 0.0, 8 iterations, cost 992546872.75, using ogsa_fw
91. Best step size 0.0, 8 iterations, cost 992544468.24, using ogsa_fw
92. Best step size 0.0, 2 iterations, cost 992544431.7, using ogsa_fw
93. Best step size 0.0, 10 iterations, cost 992542364.43, using ogsa_fw
94. Best step size 0.0, 3 iterations, cost 992542010.75, using ogsa_fw
95. Best step size 0.0, 6 iterations, cost 992541442.12, using ogsa_fw
96. Best step size 0.0, 3 iterations, cost 992541047.59, using ogsa_fw
97. Best step size 0.0, 9 iterations, cost 992540419.01, using ogsa_fw
98. Best step size 0.0, 12 iterations, cost 992538631.67, using ogsa_fw
99. Best step size 0.0, 1 iterations, cost 992538410.62, using ogsa_fw
100. Best step size 0.0, 8 iterations, cost 992537740.93, using ogsa_fw
101. Best step size 0.0, 7 iterations, cost 992537092.3, using ogsa_fw
102. Best step size 0.0, 1 iterations, cost 992537092.18, using ogsa_fw
103. Best step size 0.0, 2 iterations, cost 992536999.4, using ogsa_fw
104. Best step size 0.0, 19 iterations, cost 992530392.1, using ogsa_fw
105. Best step size 0.0, 3 iterations, cost 992529089.05, using ogsa_fw
106. Best step size 0.0, 8 iterations, cost 992527203.38, using ogsa_fw
107. Best step size 0.0, 7 iterations, cost 992526716.03, using ogsa_fw
108. Best step size 0.0, 10 iterations, cost 992525903.85, using ogsa_fw
109. Best step size 0.0, 3 iterations, cost 992525782.61, using ogsa_fw
110. Best step size 0.0, 2 iterations, cost 992525770.24, using ogsa_fw
111. Best step size 0.0, 9 iterations, cost 992525513.42, using ogsa_fw
112. Best step size 0.0, 4 iterations, cost 992525325.58, using ogsa_fw
113. Best step size 0.0, 8 iterations, cost 992525207.53, using ogsa_fw
114. Best step size 0.0, 8 iterations, cost 992525164.13, using ogsa_fw
115. Best step size 0.0, 7 iterations, cost 992525109.71, using ogsa_fw
116. Best step size 0.0, 11 iterations, cost 992525030.37, using ogsa_fw
117. Best step size 0.0, 7 iterations, cost 992524976.86, using ogsa_fw
118. Best step size 0.0, 11 iterations, cost 992524805.11, using ogsa_fw
119. Best step size 0.0, 9 iterations, cost 992524594.16, using ogsa_fw
120. Best step size 0.0, 12 iterations, cost 992524318.74, using ogsa_fw
121. Best step size 0.0, 13 iterations, cost 992523942.36, using ogsa_fw
122. Best step size 0.0, 10 iterations, cost 992523624.89, using ogsa_fw
123. Best step size 0.0, 9 iterations, cost 992523412.55, using ogsa_fw
124. Best step size 0.0, 1 iterations, cost 992523412.48, using ogsa_fw
125. Best step size 0.0, 7 iterations, cost 992523272.4, using ogsa_fw
126. Best step size 0.0, 4 iterations, cost 992523177.12, using ogsa_fw
127. Best step size 0.0, 9 iterations, cost 992523069.1, using ogsa_fw
128. Best step size 0.0, 10 iterations, cost 992522830.38, using ogsa_fw
129. Best step size 0.0, 9 iterations, cost 992522720.33, using ogsa_fw
130. Best step size 0.0, 10 iterations, cost 992522611.93, using ogsa_fw
131. Best step size 0.0, 8 iterations, cost 992522582.38, using ogsa_fw
132. Best step size 0.0, 5 iterations, cost 992522570.61, using ogsa_fw
133. Best step size 0.0, 10 iterations, cost 992522543.91, using ogsa_fw
134. Best step size 0.0, 9 iterations, cost 992522522.43, using ogsa_fw
135. Best step size 0.0, 8 iterations, cost 992522499.17, using ogsa_fw
136. Best step size 0.0, 10 iterations, cost 992522462.16, using ogsa_fw
137. Best step size 0.0, 6 iterations, cost 992522449.61, using ogsa_fw
138. Best step size 0.0, 12 iterations, cost 992522417.33, using ogsa_fw
139. Best step size 0.0, 8 iterations, cost 992522396.92, using ogsa_fw
140. Best step size 0.0, 6 iterations, cost 992522383.16, using ogsa_fw
141. Best step size 0.0, 8 iterations, cost 992522376.94, using ogsa_fw
142. Best step size 0.0, 11 iterations, cost 992522367.89, using ogsa_fw
143. Best step size 0.0, 8 iterations, cost 992522362.14, using ogsa_fw
144. Best step size 0.0, 10 iterations, cost 992522354.29, using ogsa_fw
145. Best step size 0.0, 9 iterations, cost 992522343.57, using ogsa_fw
146. Best step size 0.0, 9 iterations, cost 992522328.26, using ogsa_fw
147. Best step size 0.0, 7 iterations, cost 992522321.63, using ogsa_fw
148. Best step size 0.0, 8 iterations, cost 992522306.35, using ogsa_fw
149. Best step size 0.0, 5 iterations, cost 992522302.58, using ogsa_fw
150. Best step size 0.0, 5 iterations, cost 992522298.39, using ogsa_fw
151. Best step size 0.0, 5 iterations, cost 992522296.89, using ogsa_fw
152. Best step size 0.0, 8 iterations, cost 992522294.36, using ogsa_fw
153. Best step size 0.0, 9 iterations, cost 992522288.86, using ogsa_fw
154. Best step size 0.0, 8 iterations, cost 992522284.82, using ogsa_fw
155. Best step size 0.0, 7 iterations, cost 992522280.7, using ogsa_fw
156. Best step size 0.0, 6 iterations, cost 992522277.0, using ogsa_fw
157. Best step size 0.0, 7 iterations, cost 992522273.1, using ogsa_fw
158. Best step size 0.0, 7 iterations, cost 992522268.21, using ogsa_fw
159. Best step size 0.0, 6 iterations, cost 992522264.67, using ogsa_fw
160. Best step size 0.0, 7 iterations, cost 992522260.04, using ogsa_fw
161. Best step size 0.0, 6 iterations, cost 992522257.18, using ogsa_fw
