,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,step_size,objective
0,3.77,0.0,0.0,0.0,76308.0,6000.0,1190447.0,0.0,1.0,1190450.77
1,2.71,0.28,0.1,1381.05,76308.0,4308.63,1070959.04,0.0192,0.297,1072342.8
2,2.12,0.44,0.1,1538.5,76308.0,3373.36,1068433.09,0.0074,0.219,1069973.7100000002
3,2.36,0.38,0.1,919.64,76308.0,3746.77,1068602.26,0.0022,0.838,1069524.26
4,2.17,0.42,0.1,768.45,76308.0,3454.41,1068467.65,0.0031,0.244,1069238.2699999998
5,2.2,0.42,0.1,684.7,76308.0,3502.41,1068461.31,0.0025,0.263,1069148.21
6,2.18,0.42,0.1,546.98,76308.0,3467.68,1068504.24,0.0023,0.358,1069053.4
7,2.17,0.42,0.1,547.6,76308.0,3451.17,1068470.14,0.0015,0.205,1069019.91
8,2.1,0.44,0.1,579.96,76308.0,3335.65,1068392.88,0.0014,0.316,1068974.94
9,2.1,0.44,0.1,579.96,76308.0,3335.65,1068392.88,0.0005,0.0,1068974.94
