,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,battery_capacity_max,battery_capacity_min,battery_power,no_iterations,init_PAR,PAR,init_inconvenient,inconvenient,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time
0,50,10,3,0,6,0,minizinc_fw,0,5000,0,5000,18,2.69,1.44,0.0,2513.9,18685.0,10028.6,333576.0,0.46,0.07,0.0044157894736842115,48.63157894736842
1,50,10,3,0,6,0,minizinc_fw,0,,,,17,2.69,1.4,0.0,1926.58,18685.0,9710.25,333576.0,0.48,0.07,0.0049277777777777775,36.907222222222224
