,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
27,27.5,22.1,22.1,20.3,20.3,18.9,17.8,18.9,18.9,22.1,22.1,20.3,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,24.5,22.1,22.1,22.1
28,31.3,24.5,24.5,22.1,20.3,20.3,18.9,18.9,18.9,22.1,22.1,20.3,22.1,22.1,22.1,20.3,22.1,22.1,22.1,22.1,22.1,22.1,22.1,24.5,24.5,22.1,24.5,24.5
29,92.8,61.6,50.9,50.9,36.3,36.3,31.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,24.5,22.1,22.1,24.5,24.5,24.5,22.1,22.1
30,61.6,42.7,36.3,31.3,31.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,20.3,22.1,20.3,22.1,22.1,22.1,22.1,22.1,22.1,24.5,24.5,24.5,22.1,22.1,22.1
31,20.3,17.8,17.0,17.0,17.0,16.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,24.5,24.5,22.1,22.1,22.1,22.1,22.1
32,230.4,144.6,144.6,115.5,92.8,92.8,61.6,61.6,61.6,50.9,50.9,50.9,50.9,42.7,42.7,42.7,36.3,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
33,75.2,50.9,42.7,36.3,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
34,27.5,24.5,22.1,20.3,20.3,18.9,17.8,20.3,18.9,18.9,17.8,24.5,24.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,24.5,22.1,24.5,24.5,24.5,24.5,24.5,24.5
35,18.9,17.0,17.0,17.0,16.3,31.3,27.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,24.5,22.1,22.1,22.1,24.5,24.5,24.5
36,27.5,22.1,22.1,20.3,18.9,24.5,24.5,22.1,22.1,22.1,22.1,20.3,20.3,20.3,22.1,22.1,20.3,22.1,22.1,22.1,22.1,24.5,24.5,24.5,22.1,24.5,24.5,24.5
37,144.6,115.5,92.8,75.2,61.6,50.9,50.9,42.7,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
38,31.3,24.5,24.5,22.1,22.1,20.3,20.3,18.9,18.9,17.8,22.1,20.3,20.3,20.3,20.3,24.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
39,24.5,20.3,20.3,18.9,17.8,17.8,27.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,24.5,24.5,22.1,22.1,22.1,24.5,24.5,22.1,22.1,24.5,24.5,24.5,24.5
40,15.1,22.1,20.3,20.3,18.9,17.8,24.5,24.5,22.1,22.1,22.1,22.1,20.3,20.3,22.1,22.1,22.1,22.1,22.1,22.1,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1
41,17.8,22.1,20.3,18.9,17.8,22.1,20.3,20.3,18.9,20.3,20.3,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,24.5,24.5,24.5,24.5,22.1,24.5,24.5,24.5
42,17.8,17.8,17.8,17.8,17.8,20.3,18.9,18.9,18.9,20.3,20.3,22.1,22.1,22.1,22.1,20.3,24.5,24.5,24.5,24.5,22.1,24.5,22.1,24.5,22.1,24.5,22.1,22.1
43,17.0,16.3,17.8,17.8,17.8,17.8,17.8,20.3,20.3,20.3,20.3,20.3,20.3,24.5,24.5,24.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,24.5,22.1,24.5,24.5
44,42.7,31.3,31.3,27.5,24.5,24.5,22.1,20.3,20.3,20.3,20.3,20.3,20.3,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,24.5,22.1,22.1,24.5,22.1,24.5,24.5
45,92.8,61.6,50.9,42.7,36.3,36.3,31.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,22.1,24.5,22.1,24.5,22.1,24.5,22.1,22.1
46,31.3,24.5,24.5,22.1,22.1,20.3,20.3,18.9,18.9,27.5,24.5,24.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,24.5,22.1,24.5,22.1,22.1,24.5,24.5,24.5
47,31.3,24.5,22.1,22.1,20.3,20.3,18.9,18.9,17.8,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
