,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.3,0.0,0.0,0,20606071,557352,332051423.1,
1,1.37,-0.06,-0.18,0,20606071,588382,391732774.5,
2,1.18,0.09,0.07,0,20606071,506632,310115810.6,
3,1.2,0.07,0.07,0,20606071,515693,309483112.8,
4,1.19,0.08,0.07,0,20606071,511527,309223126.3,
5,1.19,0.08,0.06,0,20606071,511309,310914858.1,
