,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,battery_capacity_max,battery_capacity_min,battery_power,no_iterations,init_PAR,PAR,init_inconvenient,inconvenient,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time
0,50,1,3,0,6,0,minizinc_fw,0,5000,0,5000,29,2.26,1.19,0.0,1411.96,15554.0,8193.74,330162.0,0.47,0.09,0.0073266666666666645,69.085
1,50,1,3,0,6,0,minizinc_fw,0,,,,23,2.26,1.17,0.0,472.07,15554.0,8073.81,330162.0,0.48,0.09,0.009645833333333333,73.14791666666666
