,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.2,0.0,0.0,0.0,160662785.0,4026422.0,2910624593.2,0.0
1,1.18,0.02,0.04,252855.86,160662785.0,3954559.17,2787392684.05,0.0255
2,1.17,0.03,0.07,426770.55,160662785.0,3899553.77,2719277645.15,0.0227
3,1.16,0.04,0.08,513637.98,160662785.0,3868466.31,2689112436.83,0.0191
4,1.14,0.05,0.09,680994.32,160662785.0,3807032.91,2638775328.06,0.0238
5,1.12,0.07,0.1,798398.13,160662785.0,3757837.34,2605102131.52,0.0249
6,1.11,0.07,0.11,858405.94,160662785.0,3731611.27,2592733842.6,0.0179
7,1.1,0.08,0.11,916856.79,160662785.0,3690768.17,2577507232.04,0.0209
8,1.1,0.08,0.11,925967.3,160662785.0,3687077.4,2576882362.0,0.0135
9,1.1,0.08,0.11,925967.3,160662785.0,3687077.4,2576882362.0,0.0127
