,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.28,0.0,0.0,0.0,161016567.0,4282246.0,2602856303.1,0.0
1,1.25,0.02,0.02,232621.15,161016567.0,4205813.06,2544685491.56,0.0313
2,1.24,0.03,0.04,371109.93,161016567.0,4151464.34,2509238704.23,0.0257
3,1.22,0.04,0.04,464048.61,161016567.0,4101919.86,2486169658.41,0.0254
4,1.21,0.05,0.05,540933.1,161016567.0,4065149.9,2470543704.57,0.0287
5,1.2,0.06,0.06,653235.21,161016567.0,4028709.56,2456237576.58,0.0246
6,1.19,0.06,0.06,705539.09,161016567.0,4004597.65,2449003813.92,0.0236
7,1.19,0.07,0.06,733961.34,161016567.0,3992591.87,2447000583.31,0.0204
8,1.19,0.07,0.06,765974.64,161016567.0,3976645.44,2445084812.28,0.0158
9,1.18,0.08,0.06,815934.87,161016567.0,3952845.14,2441230128.7,0.0255
10,1.17,0.09,0.06,845829.86,161016567.0,3917411.5,2436790059.87,0.019
11,1.16,0.09,0.06,868877.47,161016567.0,3901765.34,2434661633.99,0.0213
12,1.16,0.09,0.07,886624.1,161016567.0,3890071.75,2433534608.78,0.0194
13,1.15,0.1,0.07,934181.53,161016567.0,3866789.59,2431345580.78,0.0202
14,1.15,0.1,0.07,951237.88,161016567.0,3855200.82,2430785149.73,0.0215
15,1.15,0.1,0.07,968082.36,161016567.0,3843646.78,2429458926.36,0.017
16,1.15,0.1,0.07,968082.36,161016567.0,3843646.78,2429458926.36,0.02
