,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,3136.202,3075.1108139181474,3040.5200767772535,3073.900921589817,3034.5225728631235,3050.1561897929905,3523.0578356076035,3473.5378618729274,3441.7547991010492,3429.968725157825,3422.184273584212,3412.1058972936876,3402.5972614679536,3390.083594839824,3384.7770481691728,3354.6910688638395,3345.9466027050385,3347.894837213958,3343.4769813900216,3374.2203762319778,3370.067694237371,3365.1444209606866,3358.3187070855643,3354.4565626174963,3354.4565626174963
1,2853.448,2798.669269657123,2778.657043559254,3114.3716967827945,3071.5671016485553,3054.6555470752446,3381.4075993807596,3333.921024117208,3303.462181737336,3292.1693118343965,3284.9463872498563,3278.228402077363,3269.64917399889,3258.3019720616953,3396.9886049304305,3366.775805327719,3357.996731565279,3349.877129522835,3345.660685707978,3354.3090691172215,3350.439652363751,3345.5431946818558,3376.03729309329,3372.159314392097,3372.159314392097
2,2776.609,2727.7536286624313,2736.226843516906,3630.0000099999997,3579.603357829759,3550.8876508563444,3504.3597682124946,3455.1037233881916,3423.4909821350334,3411.772285663263,3404.1126632936857,3394.860704305583,3385.394277985362,3372.9424799659623,3390.5648698715227,3360.3915779908057,3351.648631775745,3343.45406589833,3351.573079734993,3343.8220318345184,3352.500705354502,3347.59999,3408.448845473808,3404.6173332094663,3404.6173332094663
3,2558.776,3725.6801431547947,3681.3164770232306,3642.3575584416712,3591.787055098097,3562.836868113355,3516.12911575631,3466.7053278499184,3434.977505750354,3423.2142004033926,3415.458553911046,3405.448429278864,3395.9182815179925,3383.3882026377164,3375.8001473220093,3345.7441181810673,3347.6000099999997,3339.410244913254,3347.6000099999997,3339.855788508991,3354.561039815454,3350.267843285514,3347.59999,3355.143603528683,3355.143603528683
4,2736.51,2918.291787519043,2890.325325491606,2859.818235670708,2922.1245774418862,3582.80282664017,3535.833389513996,3486.134888333548,3454.228412010467,3442.399883040143,3434.667614042373,3424.5292919625517,3414.9496030871173,3402.3541290171715,3394.7219746484316,3364.5795326606517,3355.807648469129,3347.6027053576936,3344.0594523032896,3347.6000099999997,3344.5988094714694,3357.139561899418,3350.0992987606096,3346.3646171509113,3346.3646171509113
5,2663.291,2625.8153786117823,3182.6075865618404,3148.9363296493084,3107.812292139076,3277.484978346421,3234.52819593962,3189.153106277956,3163.7367731622735,3170.9243395955227,3194.1666563069557,3367.2801458184686,3357.86027523229,3345.4748568423033,3338.397154812899,3357.5334141216504,3348.820009197181,3340.631595743032,3339.076671269078,3349.0902949769493,3344.9872351248428,3358.554798888921,3351.477754463213,3347.6348761575446,3347.6348761575446
6,2629.861,2610.3769340788162,3658.5321825367796,3619.8128687260582,3569.6074866959,3540.804092880582,3494.3850815784403,3445.2709484503794,3413.7603112538613,3402.1319751027245,3397.372796227599,3405.5583813455573,3396.027595376882,3383.4964891154473,3375.906399879884,3345.8679720791883,3358.0516302301803,3349.8350709755136,3345.5991109762217,3367.8029740025067,3363.6529134082252,3359.5755347039503,3352.5002520441617,3348.642543248111,3348.642543248111
7,2678.265,2759.1550960767077,2819.146885471723,2791.386381649628,3261.653251310867,3235.544152126908,3194.10485646203,3230.958681933322,3201.5245923380708,3205.161144565423,3408.4306965465125,3398.3439816431,3388.8574999684197,3376.38710361419,3368.814152222438,3338.8217400609583,3348.5473881778503,3340.352869420429,3342.0147418539655,3371.9568777222853,3367.8029074743263,3362.880726814702,3355.803465290123,3351.943290356942,3351.943290356942
8,2588.022,3147.085271590813,3109.7748530433764,3077.2320008878078,3046.1803146163015,3023.361821139256,3050.26248632321,3299.162615387095,3269.0516294789923,3265.030263781862,3347.6000099999997,3339.920688742088,3339.5641952020646,3343.762415620338,3345.8739278981097,3411.50458500611,3402.6235996248547,3394.31048210759,3391.298831942991,3383.4467362034984,3379.2793434003306,3374.339169008664,3367.2430373622215,3363.3718355479364,3363.3718355479364
9,2600.238,3490.804751231295,3449.230333954092,3412.750814548161,3365.730626025131,3338.61561450485,3295.048010567616,3248.942187723543,3219.2913880022984,3231.773920836392,3242.6366215772778,3267.0000099999997,3269.427157058766,3281.6526123336243,3286.921253409745,3349.6306025131425,3340.894038793132,3344.56502831551,3389.887811223625,3382.0277596947244,3377.8616816314816,3372.9254088088937,3365.8382598756025,3361.9710919571726,3361.9710919571726
