,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,step_size,objective
0,2.06,0.0,0.0,0.0,658566.0,28284.0,10452049.7,0.0,1.0,10452051.76
1,1.68,0.19,0.11,470.3,658566.0,22997.23,9319653.64,0.0291,0.207,9320125.620000001
2,1.42,0.31,0.12,766.52,658566.0,19524.8,9242779.77,0.0204,0.151,9243547.709999999
3,1.33,0.35,0.12,896.29,658566.0,18255.76,9232406.15,0.0137,0.065,9233303.77
4,1.29,0.37,0.12,995.23,658566.0,17744.76,9229946.86,0.0057,0.028,9230943.379999999
5,1.27,0.39,0.12,1077.19,658566.0,17390.09,9228441.61,0.0033,0.02,9229520.069999998
6,1.25,0.4,0.12,1152.97,658566.0,17094.56,9227330.41,0.0034,0.017,9228484.63
7,1.25,0.39,0.12,1245.67,658566.0,17129.36,9226023.63,0.0029,0.02,9227270.55
8,1.19,0.42,0.12,1465.34,658566.0,16342.15,9223101.1,0.0066,0.046,9224567.629999999
9,1.17,0.43,0.12,1487.44,658566.0,16113.58,9222470.18,0.0028,0.014,9223958.79
10,1.16,0.44,0.12,1512.65,658566.0,15969.05,9222142.01,0.0017,0.009,9223655.82
11,1.16,0.44,0.12,1533.8,658566.0,15873.56,9221998.91,0.0014,0.006,9223533.870000001
12,1.15,0.44,0.12,1554.69,658566.0,15778.94,9221794.68,0.002,0.006,9223350.52
