,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,3012.58,2935.9328192714443,2898.4859125785824,2903.297371567192,2915.4165707882926,3094.7266128654774,3076.43914123248,3143.1649351190586,3108.8043972984474,3092.086646673637,3082.5989914352995,3172.2060343948115,3166.258123170109,3162.259555207892,3379.825458736552,3373.077663404538,3369.7807847411336,3369.7807847411336
1,2871.657,2798.1218655546922,2766.363684226185,2823.801902486573,3608.1364075777824,3565.08148608169,3543.816755045915,3505.3305050446916,3466.9640854425847,3442.771371804592,3429.0229980720333,3408.504266788017,3398.291005061626,3391.4980272395073,3413.728301498926,3406.90527811423,3403.5232668361155,3403.5232668361155
2,2891.696,2817.4511627796833,2847.759747623201,2903.8157845078485,3236.7542421063513,3198.128779759923,3179.030259114831,3144.2897563564984,3110.234535860956,3158.442167288801,3155.999665427093,3384.848942431413,3374.7051461662973,3367.9675803421105,3341.1243177856136,3334.4474872353603,3331.466200748125,3331.466200748125
3,2659.161,2591.691013869326,3628.3508929559193,3581.4650441686567,3535.740183226641,3493.5440747120806,3472.6825389796904,3434.729003453024,3397.4541725038357,3373.745733494462,3360.279618573926,3377.177822042755,3367.065527615955,3381.327426044251,3354.368794685274,3347.6772905216985,3347.131207231177,3347.131207231177
4,2559.374,2626.817153054228,2999.841684931716,2961.0798599132386,2980.9646484774453,3214.267521318228,3195.1341334934828,3160.4617000891812,3193.523937414452,3171.4665861797303,3248.9243203631527,3229.4905874832193,3239.1311347432634,3303.3397960829116,3277.0054117190452,3284.8086673160187,3357.2936346487027,3357.2936346487027
5,2485.383,3395.5831898285555,3351.72586859614,3308.413975332144,3266.376967510651,3227.425417827532,3208.229325567797,3173.421684442036,3178.8871558740652,3156.9224079296573,3438.0797147153858,3417.50282868807,3407.3430018054946,3400.5451224418857,3373.4331079687036,3366.6897591138736,3393.2617693547595,3393.2617693547595
6,2535.769,3692.246169725112,3644.5339113727314,3597.4383078127134,3551.727580443917,3509.3404838741258,3488.48003496653,3450.591158044079,3412.8238914991766,3389.0062674489177,3375.47419740773,3355.2721443081323,3345.3132204416775,3338.6271387140146,3312.011869041819,3305.3923926976045,3307.619698304907,3307.619698304907
7,2643.16,2599.0027190733203,2647.457777665506,3609.7234043746985,3563.827887078507,3521.2964185959104,3500.4910083227883,3462.661158965026,3424.761838998295,3400.860543664246,3387.2776008909177,3367.0050179009613,3357.005029505647,3350.2948302246655,3323.5862464355137,3316.9436209168894,3314.3821702959726,3314.3821702959726
8,2666.47,2625.765404200712,2835.823336080735,3138.796829014985,3099.3024248594584,3062.319586304792,3112.1763374209827,3081.829025891335,3480.9481438368243,3456.6545059666664,3442.848618040679,3422.2433217020944,3412.0215093672728,3405.2012621780477,3378.055600319973,3371.3029691239335,3367.93225115481,3367.93225115481
9,2528.436,3650.6815593248457,3603.5064107258686,3556.973178568727,3512.2741385851205,3470.361468316584,3449.826317308326,3412.549852094404,3375.2004533949607,3351.6450347458817,3338.258978432306,3318.2802456939808,3308.3793104960214,3301.78075680234,3325.257794983973,3318.6117160958,3315.995123379704,3315.995123379704
