,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.21,0.0,0.0,0.0,161073704.0,4058065.0,2917815971.4,0.0
1,1.18,0.03,0.05,312575.48,161073704.0,3954194.57,2759159598.6,0.0235
2,1.16,0.04,0.08,476681.01,161073704.0,3903368.17,2696603018.08,0.0127
3,1.15,0.05,0.09,614176.67,161073704.0,3853249.3,2644629554.6,0.0125
4,1.13,0.06,0.11,766554.43,161073704.0,3807354.66,2606143572.44,0.0131
5,1.12,0.07,0.12,872690.07,161073704.0,3761916.89,2577039933.64,0.0118
6,1.11,0.08,0.12,918087.35,161073704.0,3740213.51,2565347055.69,0.0065
7,1.1,0.09,0.13,992688.19,161073704.0,3701296.28,2548609293.21,0.011
8,1.09,0.1,0.13,1050234.39,161073704.0,3660784.98,2533114197.72,0.0109
9,1.08,0.1,0.13,1084701.58,161073704.0,3635236.24,2525169600.7,0.0073
10,1.08,0.11,0.14,1125229.15,161073704.0,3620759.27,2520374558.64,0.0046
11,1.07,0.11,0.14,1186811.67,161073704.0,3599088.95,2515712363.37,0.0064
12,1.07,0.12,0.14,1202639.26,161073704.0,3588473.46,2513709271.83,0.0038
13,1.07,0.12,0.14,1214191.15,161073704.0,3581300.11,2512342593.28,0.0029
14,1.06,0.12,0.14,1256884.96,161073704.0,3552746.22,2508217957.45,0.0073
15,1.06,0.13,0.14,1264647.06,161073704.0,3545644.29,2507296691.24,0.0029
16,1.06,0.13,0.14,1272745.3,161073704.0,3542179.27,2506936599.62,0.002
17,1.06,0.13,0.14,1272745.3,161073704.0,3542179.27,2506936599.62,0.0012
