,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time
0,100,1,0,10,0,0,minizinc_fw,0,2.06,1.52,139825.0,102971.38,3261238.0,0.26,0.05,0.016183333333333334,261.64666666666665
1,100,1,0,10,0,0,ogsa_fw,0,2.06,1.09,139825.0,73744.25,3261238.0,0.47,0.06,0.005403846153846153,0.10855576923076925
2,100,1,1,10,0,0,minizinc_fw,0,2.06,1.52,139825.0,103148.03,3261238.0,0.26,0.05,0.01625,226.06166666666664
3,100,1,1,10,0,0,ogsa_fw,0,2.06,1.09,139825.0,74227.68,3261238.0,0.47,0.06,0.00725588235294118,0.10582941176470588
4,100,1,3,10,0,0,minizinc_fw,0,2.06,1.51,139825.0,102846.14,3261238.0,0.26,0.05,0.015799999999999998,233.01500000000001
5,100,1,3,10,0,0,ogsa_fw,0,2.06,1.1,139825.0,74821.13,3261238.0,0.46,0.06,0.0064594594594594625,0.10516216216216215
6,100,1,5,10,0,0,minizinc_fw,0,2.06,1.51,139825.0,102435.62,3261238.0,0.27,0.05,0.01566666666666667,228.8233333333333
7,100,1,5,10,0,0,ogsa_fw,0,2.06,1.1,139825.0,74623.94,3261238.0,0.47,0.06,0.007403125000000001,0.10320625
8,100,1,7,10,0,0,minizinc_fw,0,2.06,1.53,139825.0,104167.77,3261238.0,0.26,0.05,0.01908,217.208
9,100,1,7,10,0,0,ogsa_fw,0,2.06,1.1,139825.0,74794.37,3261238.0,0.47,0.06,0.006757142857142857,0.10347428571428571
10,100,1,9,10,0,0,minizinc_fw,0,2.06,1.54,139825.0,104637.39,3261238.0,0.25,0.05,0.016716666666666668,223.13333333333335
11,100,1,9,10,0,0,ogsa_fw,0,2.06,1.08,139825.0,73466.1,3261238.0,0.47,0.06,0.006113953488372094,0.10508139534883724
