,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time
0,100,1,0,10,0,0,minizinc_fw,0,1.67,1.35,114287.0,92319.62,3294641.0,0.19,0.06,0.02501428571428571,376.1557142857143
1,100,1,0,10,0,0,ogsa_fw,0,1.67,1.07,114287.0,73273.15,3294641.0,0.36,0.08,0.009761999999999998,0.09993199999999999
2,100,1,1,10,0,0,minizinc_fw,0,1.67,1.35,114287.0,92440.0,3294641.0,0.19,0.06,0.024271428571428565,238.04857142857145
3,100,1,1,10,0,0,ogsa_fw,0,1.67,1.04,114287.0,71709.71,3294641.0,0.37,0.08,0.00935961538461539,0.10547884615384616
4,100,1,3,10,0,0,minizinc_fw,0,1.67,1.38,114287.0,94936.09,3294641.0,0.17,0.06,0.027239999999999997,170.85399999999998
5,100,1,3,10,0,0,ogsa_fw,0,1.67,1.02,114287.0,70281.61,3294641.0,0.39,0.08,0.008683928571428573,0.11293392857142857
6,100,1,5,10,0,0,minizinc_fw,0,1.67,1.38,114287.0,95055.73,3294641.0,0.17,0.06,0.028339999999999997,180.148
7,100,1,5,10,0,0,ogsa_fw,0,1.67,1.03,114287.0,70880.4,3294641.0,0.38,0.08,0.010265957446808515,0.10721914893617017
8,100,1,7,10,0,0,minizinc_fw,0,1.67,1.37,114287.0,94115.51,3294641.0,0.18,0.06,0.024866666666666665,195.70000000000002
9,100,1,7,10,0,0,ogsa_fw,0,1.67,1.04,114287.0,71510.46,3294641.0,0.37,0.08,0.011512195121951221,0.10519756097560974
10,100,1,9,10,0,0,minizinc_fw,0,1.67,1.35,114287.0,92590.74,3294641.0,0.19,0.06,0.026533333333333336,217.0733333333333
11,100,1,9,10,0,0,ogsa_fw,0,1.67,1.04,114287.0,71068.25,3294641.0,0.38,0.08,0.01064666666666667,0.1048822222222222
