,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time
0,100,1,0,10,0,0,minizinc_fw,0,1.65,1.21,124850.0,91062.95,3624819.0,0.27,0.07,0.017871428571428573,245.71857142857144
1,100,1,0,10,0,0,ogsa_fw,0,1.65,1.09,124850.0,82247.27,3624819.0,0.34,0.08,0.012405882352941173,0.10341470588235292
2,100,1,1,10,0,0,minizinc_fw,0,1.65,1.23,124850.0,92527.34,3624819.0,0.26,0.07,0.023219999999999998,225.95600000000005
3,100,1,1,10,0,0,ogsa_fw,0,1.65,1.11,124850.0,83702.22,3624819.0,0.33,0.08,0.013573333333333337,0.10733
4,100,1,3,10,0,0,minizinc_fw,0,1.65,1.22,124850.0,92461.77,3624819.0,0.26,0.07,0.023630000000000005,235.74000000000007
5,100,1,3,10,0,0,ogsa_fw,0,1.65,1.06,124850.0,80316.77,3624819.0,0.36,0.08,0.013786666666666664,0.10645333333333333
6,100,1,5,10,0,0,minizinc_fw,0,1.65,1.22,124850.0,92287.94,3624819.0,0.26,0.07,0.023549999999999995,235.01500000000004
7,100,1,5,10,0,0,ogsa_fw,0,1.65,1.04,124850.0,78467.64,3624819.0,0.37,0.08,0.010142222222222223,0.10345555555555558
8,100,1,7,10,0,0,minizinc_fw,0,1.65,1.22,124850.0,91834.4,3624819.0,0.26,0.07,0.02398,236.246
9,100,1,7,10,0,0,ogsa_fw,0,1.65,1.07,124850.0,80779.86,3624819.0,0.35,0.08,0.015355555555555556,0.10344814814814812
10,100,1,9,10,0,0,minizinc_fw,0,1.65,1.21,124850.0,91530.39,3624819.0,0.27,0.08,0.020763636363636363,235.73636363636362
11,100,1,9,10,0,0,ogsa_fw,0,1.65,1.04,124850.0,78798.44,3624819.0,0.37,0.08,0.011395,0.10986499999999999
