,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time
0,5000,1,0,10,0,0,minizinc_fw,0,1.24,1.11,4207895.0,3769364.78,163334850.0,0.1,0.07,0.01774761904761905,4871.1442809523805
1,5000,1,0,10,0,0,ogsa_fw,0,1.24,1.09,4207895.0,3705795.62,163334850.0,0.12,0.08,0.005226923076923078,4.72665
2,5000,1,1,10,0,0,minizinc_fw,0,1.24,1.12,4207895.0,3799655.84,163334850.0,0.1,0.07,0.017875000000000005,5363.517484999999
3,5000,1,1,10,0,0,ogsa_fw,0,1.24,1.09,4207895.0,3711313.46,163334850.0,0.12,0.08,0.006629166666666665,4.7231708333333335
4,5000,1,3,10,0,0,minizinc_fw,0,1.24,1.12,4207895.0,3803455.48,163334850.0,0.1,0.07,0.018866666666666664,5614.897986666667
5,5000,1,3,10,0,0,ogsa_fw,0,1.24,1.1,4207895.0,3750454.63,163334850.0,0.11,0.08,0.005980000000000001,5.248780000000001
6,5000,1,6,10,0,0,minizinc_fw,0,1.24,1.15,4207895.0,3903700.69,163334850.0,0.07,0.06,0.01861,5817.959989999999
7,5000,1,6,10,0,0,ogsa_fw,0,1.24,1.09,4207895.0,3695564.51,163334850.0,0.12,0.08,0.007254166666666668,4.706245833333333
8,5000,1,9,10,0,0,minizinc_fw,0,1.24,1.15,4207895.0,3899796.99,163334850.0,0.07,0.06,0.019010000000000003,6006.4119900000005
9,5000,1,9,10,0,0,ogsa_fw,0,1.24,1.09,4207895.0,3693172.56,163334850.0,0.12,0.08,0.008249999999999999,4.676495454545455
