,0,1,2,3,4,5,6,7
0,3366.408,3326.8227309391687,3290.5621147665483,3248.6226554748687,3236.2419384054456,3229.817039246518,3334.1067010430997,3334.1067010430997
1,3106.369,3069.464574337853,3035.9412361116956,3003.2639653760434,2993.260218061289,2996.96858957941,3241.400249204561,3241.400249204561
2,3043.907,3007.6046199092602,2975.3635619512843,2986.365497926335,2973.0658014423616,2959.2127464371792,3034.998150250788,3034.998150250788
3,3072.623,3036.3996602450475,3018.3662026945403,3361.0583699786325,3344.2866551186567,3320.968864223265,3304.6479344199324,3304.6479344199324
4,2848.687,2822.6217337302305,2820.445608059651,3567.4094106435746,3549.687303267044,3530.494340841648,3525.8449322580727,3525.8449322580727
5,2828.282,2813.070715423236,2792.0045163160803,3012.5212792557645,2997.55375286229,2981.392089262,2974.4351965219107,2974.4351965219107
6,2812.267,3563.9588168861706,3524.953546499423,3479.4030911506547,3462.0409347493755,3437.893516099999,3420.73881225375,3420.73881225375
7,2586.926,3399.669512664433,3365.3607610417143,3321.872841797399,3305.296852735087,3282.266959610901,3265.890026449409,3265.890026449409
8,2736.677,2878.19348807111,3212.896859145428,3171.3790056367093,3155.553862560786,3133.5440251185123,3117.908552225284,3117.908552225284
9,2696.628,2730.248677428251,3561.416999541066,3515.40366207901,3498.0840975541096,3476.3773649393756,3459.030207141933,3459.030207141933
10,2720.595,2714.1292546877135,3136.5009346647976,3243.8780319034863,3245.471766086541,3523.4889605163908,3513.3821894795296,3513.3821894795296
11,2839.747,2806.168879998506,2791.9972462740993,2878.4140955391686,2878.3347040034073,3218.77351819735,3215.24938093269,3215.24938093269
12,3153.382,3115.7489186317066,3081.64967490773,3041.919273047437,3027.429565092013,3076.3190968851814,3065.986472325455,3065.986472325455
13,3387.79,3347.3593824346963,3310.722015618229,3267.9399470733947,3251.676716342212,3229.7901575940255,3214.4930017273946,3214.4930017273946
14,3467.681,3426.296957638378,3388.795595117454,3345.004650427296,3328.3130587583687,3305.085364387359,3288.736438132131,3288.736438132131
15,3678.828,3634.924059123949,3595.1392167322156,3548.68180212969,3530.9738444679847,3506.331054546868,3488.8344275388963,3488.8344275388963
16,3766.646,3721.69401983539,3680.9594659352206,3633.3930575891527,3615.2623899160158,3590.0313472890666,3572.117054983727,3572.117054983727
17,3884.293,3837.9369947131927,3795.930142311201,3746.878050085446,3728.1810911654693,3702.1619849742956,3683.6881596661606,3683.6881596661606
18,3854.751,3808.747567360052,3767.060208992241,3718.3812985815975,3699.826548716471,3674.005343826535,3655.6721651494436,3655.6721651494436
19,3570.151,3527.5440342971806,3488.934483959494,3443.849503057182,3426.664659615648,3402.7498471427884,3385.770116345108,3385.770116345108
20,3767.376,3722.416381934907,3681.6748848370967,3634.1012604426696,3615.9689899640834,3590.736247243881,3572.8233077304767,3572.8233077304767
21,3407.367,3366.703951575601,3329.855829384062,3286.828717949915,3270.4292511091767,3247.6080423082476,3231.4229646383833,3231.4229646383833
22,3382.98,3342.607311136177,3306.0222629872073,3263.302295748886,3247.0191281878783,3224.3595895897856,3208.2816097735035,3208.2816097735035
23,3567.971,3525.390826619971,3486.805259411139,3441.749589153534,3424.5765167159566,3400.678608463084,3383.709697198086,3383.709697198086
24,3405.324,3364.688280938269,3327.86313998761,3284.8660430084756,3268.480127412838,3245.6792424250075,3229.486693711596,3229.486693711596
25,3395.593,3355.073114472793,3318.3551722869083,3275.481521481733,3259.141796021033,3236.4053368177597,3220.2630819440665,3220.2630819440665
26,3443.398,3402.3037920932948,3365.067862572712,3321.5836894791178,3305.0090883996545,3281.9434539927,3265.5710792333734,3265.5710792333734
27,3594.605,3551.706194893385,3512.832185729179,3467.4384565183395,3450.135903963262,3426.0573755828827,3408.961325015297,3408.961325015297
28,3546.744,3504.416390507372,3466.0599869845696,3421.2706743916588,3404.1985194908807,3380.4406176390753,3363.572230079639,3363.572230079639
29,3603.77,3560.7629515224685,3521.7906683884203,3476.2831909854294,3458.9369023177574,3434.797398120373,3417.658717784938,3417.658717784938
30,3489.045,3447.4064365389777,3409.674300924495,3365.6147186471653,3348.8204821322233,3325.449295847593,3308.8561638352335,3308.8561638352335
31,3695.621,3651.517554776471,3611.551914729712,3564.8846978058405,3547.096451403893,3522.34179727453,3504.767242564258,3504.767242564258
32,3497.722,3455.9809454618617,3418.156022116224,3373.988451903596,3357.152984267119,3333.7250619028396,3317.091731537347,3317.091731537347
33,3549.979,3507.6127713730507,3469.2214376611464,3424.391401123527,3407.303728655275,3383.5249231339835,3366.6412396694896,3366.6412396694896
34,3740.158,3695.5221334416597,3655.0740351478044,3607.8421257231303,3589.838957455386,3564.785345852511,3546.9970313466742,3546.9970313466742
