,0,1,2,3,4
0,2.1,1.287778318002629,2.2054278432489456,2.2496708926269586,2.2496708926269586
1,2.5,1.9585188786684185,2.0205353721756096,2.0399155263966073,2.0399155263966073
2,2.762,2.762,2.762,2.762,2.762
3,0.486,0.486,0.486,0.486,0.486
4,0.377,0.377,0.377,0.377,0.377
5,0.03,0.03,0.03,0.03,0.03
6,2.7,2.7,2.7,2.7,2.7
7,0.136,0.136,0.136,0.136,0.136
8,0.566,0.566,0.566,0.566,0.566
9,0.704,0.704,0.704,0.704,0.704
10,0.0,0.0,0.0,0.0,0.0
11,0.008,0.008,0.008,0.008,0.008
12,3.046,3.046,3.046,3.046,3.046
13,0.033,0.033,0.033,0.033,0.033
14,1.8,1.8,1.8,1.8,1.8
15,10.2,10.2,10.2,10.2,10.2
16,2.265,2.265,2.265,2.265,2.265
17,0.03,0.03,0.03,0.03,0.03
18,2.823,2.823,2.823,2.823,2.823
19,1.47,1.47,1.47,1.47,1.47
20,0.12,0.12,0.12,0.12,0.12
21,1.21,1.21,1.21,1.21,1.21
22,4.265,4.265,4.265,4.265,4.265
23,1.3,1.3,1.3,1.3,1.3
24,0.55,0.55,0.55,0.55,0.55
25,0.0,0.5801583442838368,0.5137121012404176,0.49294765028934895,0.49294765028934895
26,9.5,12.207405606657904,10.981073378026913,10.921207792928344,10.921207792928344
27,13.3,8.15592934734998,9.661335796763337,9.808412075856396,9.808412075856396
28,7.2,7.2,7.2,7.2,7.2
29,0.6,2.456506701708277,2.243878723969335,2.1774324809259156,2.1774324809259156
30,0.136,0.136,0.136,0.136,0.136
31,12.0,7.3587332457293035,7.890303190076658,8.056418797685208,8.056418797685208
32,12.0,7.3587332457293035,7.890303190076658,8.056418797685208,8.056418797685208
33,8.0,9.547088918090235,9.369898936641118,9.314527067438268,9.314527067438268
34,0.0,4.641266754270695,4.10969680992334,3.9435812023147916,3.9435812023147916
35,0.015,3.109177836180463,2.754797873282227,2.644054134876528,2.644054134876528
36,0.0,0.0,0.0,0.0,0.0
37,1.2,1.2,1.3374374641642548,1.3318821862632921,1.3318821862632921
38,7.41,5.008144454664916,5.832981757521692,5.896725472855266,5.896725472855266
39,16.23,9.952686714848884,10.946509992907194,11.16007079639583,11.16007079639583
40,9.13,12.924235571616293,11.527614892962543,11.430702329049293,11.430702329049293
41,0.435,4.8558065834428366,4.34948621145198,4.191261095204838,4.191261095204838
42,0.13,0.5941266754270693,0.5409696809923339,0.524358120231479,0.524358120231479
43,1.272,1.8134811213315813,1.75146462782439,1.7320844736033925,1.7320844736033925
44,3.672,7.268981734559789,6.857015027690588,6.970797859055424,6.970797859055424
45,0.03,11.992865059132713,10.622743527577406,11.21317474346451,11.21317474346451
46,22.83,13.99999,12.399989999999999,11.899989999999999,11.899989999999999
47,15.3,9.382384888304864,11.846823601483054,11.598366504853104,11.598366504853104
