,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,battery_capacity_max,battery_capacity_min,battery_power,no_iterations,init_PAR,PAR,init_inconvenient,inconvenient,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time
0,20,10,3,0,6,0,minizinc_fw,0,5000,0,5000,19,3.91,2.03,0.0,435.78,10030.0,5201.45,123044.0,0.48,0.12,0.0075450000000000005,36.6305
1,20,10,3,0,6,0,minizinc_fw,0,,,,5,3.91,2.03,0.0,674.26,10030.0,5195.8,123044.0,0.48,0.12,0.03705,23.438333333333333
