,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time
0,5000,1,1,10,0,0,minizinc_fw,7,1.15,1.08,3940537.0,3698044.82,164285749.0,0.06,0.13,0.01831875,5622.9155875
1,5000,1,1,10,0,0,ogsa_fw,7,1.15,1.03,3940537.0,3520829.97,164285749.0,0.11,0.15,0.006436000000000002,4.410256
