,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,step_size,objective
0,2.06,0.0,0.0,0.0,658566.0,28284.0,10452049.7,0.0,1.0,10452051.76
1,1.68,0.18,0.11,10414.4,658566.0,23079.74,9347052.15,0.0312,0.184,9357468.23
2,1.49,0.28,0.11,14334.24,658566.0,20425.57,9264014.25,0.0156,0.115,9278349.98
3,1.41,0.32,0.11,15684.72,658566.0,19281.74,9251107.3,0.012,0.056,9266793.430000002
4,1.38,0.33,0.12,16581.79,658566.0,18877.0,9244120.67,0.0112,0.07,9260703.84
5,1.34,0.35,0.12,16750.17,658566.0,18372.64,9241511.48,0.0089,0.054,9258262.99
6,1.36,0.34,0.12,16601.66,658566.0,18692.74,9240688.82,0.0056,0.045,9257291.84
7,1.34,0.35,0.12,16216.59,658566.0,18343.1,9240231.68,0.0053,0.044,9256449.61
8,1.36,0.34,0.12,15497.26,658566.0,18679.11,9240353.02,0.007,0.065,9255851.639999999
9,1.32,0.36,0.12,15216.13,658566.0,18165.22,9239730.6,0.0046,0.045,9254948.05
10,1.34,0.35,0.12,14983.49,658566.0,18387.92,9239512.42,0.004,0.027,9254497.25
11,1.35,0.35,0.12,14064.44,658566.0,18484.85,9239452.02,0.006,0.079,9253517.809999999
12,1.33,0.35,0.12,13820.78,658566.0,18269.21,9239069.28,0.0046,0.032,9252891.389999999
13,1.33,0.36,0.12,13617.72,658566.0,18203.66,9238908.6,0.005,0.027,9252527.65
14,1.32,0.36,0.12,13341.41,658566.0,18124.15,9238644.41,0.006,0.037,9251987.14
15,1.33,0.36,0.12,13020.59,658566.0,18193.64,9238495.24,0.0063,0.044,9251517.16
16,1.33,0.35,0.12,12801.65,658566.0,18302.63,9238423.92,0.0039,0.026,9251226.9
17,1.31,0.36,0.12,12603.84,658566.0,18032.23,9238186.35,0.0038,0.035,9250791.5
18,1.33,0.36,0.12,12428.86,658566.0,18202.66,9238154.54,0.0036,0.022,9250584.729999999
19,1.33,0.36,0.12,12013.56,658566.0,18199.64,9238127.3,0.0049,0.045,9250142.190000001
20,1.31,0.36,0.12,11747.37,658566.0,17985.71,9237918.06,0.0054,0.047,9249666.74
21,1.32,0.36,0.12,11544.4,658566.0,18135.2,9237780.83,0.0051,0.031,9249326.55
22,1.32,0.36,0.12,11330.18,658566.0,18074.08,9237680.89,0.0046,0.032,9249012.39
23,1.32,0.36,0.12,11174.24,658566.0,18093.55,9237552.82,0.0058,0.031,9248728.38
24,1.31,0.36,0.12,11060.4,658566.0,17996.5,9237487.38,0.0031,0.018,9248549.090000002
25,1.31,0.36,0.12,10827.15,658566.0,18020.48,9237518.41,0.0036,0.034,9248346.870000001
26,1.32,0.36,0.12,10738.72,658566.0,18094.52,9237460.18,0.0024,0.016,9248200.22
27,1.31,0.37,0.12,10579.42,658566.0,17959.15,9237397.59,0.0043,0.031,9247978.32
28,1.31,0.36,0.12,10519.15,658566.0,18013.83,9237346.19,0.0033,0.011,9247866.65
29,1.31,0.37,0.12,10368.06,658566.0,17948.07,9237342.59,0.0033,0.023,9247711.96
30,1.33,0.36,0.12,10272.55,658566.0,18180.34,9237354.42,0.0024,0.017,9247628.3
31,1.32,0.36,0.12,10030.26,658566.0,18106.52,9237353.89,0.0045,0.035,9247385.47
32,1.32,0.36,0.12,9995.38,658566.0,18116.05,9237260.46,0.0024,0.016,9247257.160000002
33,1.31,0.36,0.12,9905.14,658566.0,18040.25,9237250.18,0.0026,0.014,9247156.63
34,1.32,0.36,0.12,9796.88,658566.0,18054.15,9237242.35,0.0034,0.021,9247040.55
35,1.32,0.36,0.12,9662.12,658566.0,18072.94,9237152.91,0.0042,0.029,9246816.35
36,1.31,0.36,0.12,9601.75,658566.0,17997.74,9237106.95,0.0022,0.014,9246710.01
37,1.31,0.36,0.12,9400.09,658566.0,18023.1,9237178.67,0.0039,0.036,9246580.07
38,1.31,0.37,0.12,9350.69,658566.0,17922.0,9237091.01,0.0029,0.019,9246443.01
39,1.32,0.36,0.12,9288.93,658566.0,18085.2,9237095.92,0.0039,0.013,9246386.17
40,1.31,0.36,0.12,9159.37,658566.0,18026.79,9237086.17,0.0043,0.022,9246246.85
41,1.31,0.36,0.12,9094.9,658566.0,18035.57,9237051.31,0.0024,0.013,9246147.520000001
42,1.31,0.36,0.12,9052.14,658566.0,18006.11,9237055.34,0.0017,0.008,9246108.790000001
43,1.31,0.36,0.12,9006.22,658566.0,17999.28,9237028.68,0.0023,0.009,9246036.21
44,1.31,0.36,0.12,8967.77,658566.0,18004.9,9237025.72,0.0021,0.008,9245994.8
45,1.31,0.36,0.12,8915.0,658566.0,18015.36,9237025.94,0.0028,0.015,9245942.25
46,1.31,0.36,0.12,8882.21,658566.0,17983.48,9236992.45,0.0018,0.006,9245875.97
47,1.31,0.36,0.12,8850.52,658566.0,17987.79,9236989.99,0.0021,0.006,9245841.82
