,0,1,2
0,8.3,5.18488088088088,5.18488088088088
1,12.3,7.627321321321318,7.627321321321318
2,6.0,9.115119119119123,9.115119119119123
3,3.06,7.732678678678681,7.732678678678681
4,1.06,1.06,1.06
5,6.09,6.09,6.09
6,3.57,3.57,3.57
7,1.95,1.95,1.95
8,3.0,3.0,3.0
9,1.5,1.5,1.5
10,2.25,2.25,2.25
11,5.55,5.55,5.55
12,0.0,0.0,0.0
13,0.03,0.03,0.03
14,2.015,2.015,2.015
15,4.0,4.0,4.0
16,6.856,7.264859384384383,7.264859384384383
17,8.744,10.165273098098098,10.165273098098098
18,9.5,10.32161266766767,10.32161266766767
19,12.43,7.58988366866867,7.58988366866867
20,19.98,12.19999,12.19999
21,14.9,9.09809064064064,9.09809064064064
22,1.7,9.351511336336342,9.351511336336342
23,1.2,8.890450325325327,8.890450325325327
24,2.6,3.0283288788788782,3.0283288788788782
25,3.25,3.25,3.25
26,4.15,4.15,4.15
27,3.3,3.3,3.3
28,4.5,4.5,4.5
29,3.4,3.4,3.4
30,7.2,7.2,7.2
31,11.8,11.8,11.8
32,10.32,10.32,10.32
33,0.24,0.24,0.24
34,2.4,2.891410041041041,2.891410041041041
35,6.186,9.340058108108112,9.340058108108112
36,23.763,14.509928046546547,14.509928046546547
37,8.7,10.102192993493494,10.102192993493494
38,5.4,9.605410810810811,9.605410810810811
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,1.83,1.83,1.83
44,0.142,0.142,0.142
45,2.604,2.604,2.604
46,0.15,0.15,0.15
47,0.15,0.15,0.15
