,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,3131.414,3094.0859075429903,3043.5919038248103,3010.4071404730157,2989.215108460319,3298.119183408452,3270.7464837798298,3247.920018141755,3222.029801745504,3199.096297877992,3183.141083743252,3173.7062606081854,3170.5550913475777,3457.6,3422.770259213495,3409.09981294265,3398.8828362951936,3395.484047458898,3392.092504411439,3381.9267534297437,3357.6273060065137,3354.270684700507,3348.893271646195,3342.4560652520427,3337.73181957989,3336.0351078924355,3332.712676784543,3332.712676784543
1,3100.693,3063.5593960115293,3013.53310956275,2979.655424770729,2958.789734566656,3459.7299212204985,3431.015795960215,3407.0706167546696,3379.910542741256,3356.608681397157,3339.8634569462633,3336.3548545180906,3333.0194806635727,3349.827128197049,3316.0857276911743,3302.842586055069,3292.9445029819994,3289.666104479017,3286.591152374538,3283.738612360073,3296.9251971367185,3293.6371979395817,3330.6537890645677,3323.84793656484,3319.1489832985467,3317.3524500625335,3314.303701612471,3314.303701612471
2,2909.525,2874.678366672692,2834.7174274913673,3101.6226759110036,3079.7701351355613,3109.25362878256,3083.7795171771227,3152.740691052776,3127.868293560854,3214.2041702994575,3198.177140577487,3240.395311824982,3237.252160513157,3239.8831298726286,3336.6147453574995,3323.293988171122,3313.3458210091985,3310.0338681881894,3306.8874193200013,3297.3356072451757,3294.2281777871535,3303.1750706093667,3307.431758870066,3300.6655100836433,3295.9973390895793,3292.8190768534505,3334.488932776597,3334.488932776597
3,2850.559,2816.4120531349367,2880.6493126520086,3222.632032130696,3199.9180082017497,3177.579009569971,3151.39272060834,3229.1144872218874,3203.421742883546,3237.278340723234,3221.1329321437365,3263.675400503115,3260.4391671026115,3259.6416785078986,3264.795269858953,3251.852638912316,3273.0067168079113,3269.7417150911033,3266.671447376012,3263.349965730958,3278.57253363801,3317.760116104372,3309.8393987565264,3303.069760025454,3298.3975009738815,3294.714577122507,3353.7974405453842,3353.7974405453842
4,2715.137,2682.7536516612827,3202.3129686972998,3160.932193375236,3138.5507304358543,3113.3508280488877,3087.800400629923,3456.593849568055,3429.0392525947736,3415.8771661188143,3399.8590435855467,3389.669674620066,3386.280010945446,3372.034021370688,3338.06866983173,3324.7390342761128,3314.786695150621,3311.472151455471,3308.1978743040154,3298.3259182217816,3280.624007022129,3337.060385015107,3327.104352533218,3320.3369300150835,3315.6392949610654,3310.7008981503664,3313.8709862522155,3313.8709862522155
5,2479.725,2671.7336507128434,3266.2424902383336,3224.035780312695,3201.1523430791412,3175.389954290984,3149.1135661124686,3217.25083665284,3191.609955724697,3168.895131405796,3470.273850252318,3459.8734510378426,3456.413583586805,3441.8726443896276,3407.201432479608,3393.5931761530055,3383.422618965497,3380.039207346531,3376.6591841391846,3366.5393661546714,3346.565944685375,3343.63982274069,3333.6207650129077,3328.187584045795,3323.4788134272762,3316.539970434987,3313.643124464552,3313.643124464552
6,2534.9,3000.5670803355765,2951.6965911862767,2913.6086516345986,2939.8404341749174,3288.79562697624,3261.500640446152,3238.81838151418,3213.0062644530494,3190.1395666881385,3352.4553075791505,3342.4083313339925,3339.0661650026586,3325.0197413255732,3291.5275911650733,3278.426165324146,3268.605391152802,3267.828877761649,3270.085649883887,3293.0570342279757,3309.3721006848527,3306.074301584168,3296.1682982900147,3299.627666613009,3294.9588171811624,3288.708263152964,3330.979908889811,3330.979908889811
7,2479.224,3645.220957493403,3585.623575500645,3539.289124728796,3514.136685431154,3485.816484455432,3456.8858530338603,3432.776896416471,3405.4109657453528,3381.1690216379357,3374.2368896648863,3364.125101528592,3360.761415427063,3346.6245742661913,3312.9168144650025,3299.6886859433544,3289.8008493173384,3288.991573468021,3291.247453894553,3310.6512747696434,3294.3307885044323,3295.407291715928,3285.534755961517,3327.6628389377406,3322.954212380131,3316.0155634775833,3312.7030739141055,3312.7030739141055
8,2569.868,2544.6892669633553,3678.4102394111997,3630.876772897535,3605.0734535277097,3576.020399001,3546.341134266437,3521.5910954924993,3493.516774316446,3468.6477486811973,3451.3391866961906,3440.9956006213497,3437.5546360207286,3423.0930192249834,3388.6110325950094,3375.0770343878976,3364.962713352023,3361.600800638671,3359.5818908380325,3352.149619394288,3328.0651951395157,3324.737918944376,3314.776822927612,3315.479787081265,3310.787623267649,3304.9075602004464,3301.602835640246,3301.602835640246
9,2848.734,2814.6378017583647,2890.435619031311,2935.118805986341,3047.3656986825745,3022.816877952611,3163.3002833188325,3141.2502855728853,3116.2413379674463,3486.074171521324,3468.678671472207,3458.2830679951367,3454.8247929271415,3440.2905503626253,3405.635295685356,3392.033282533361,3381.867433315602,3378.485589882286,3375.107148292404,3365.0407519581486,3348.1987511464513,3344.8508153953044,3334.8286617875037,3329.177468598198,3324.4651258271656,3322.400126227076,3319.0781551008486,3319.0781551008486
