,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1302.195,1285.3691895412894,1268.7845710881409,1258.6731615641722,1235.2314524751378,1288.3651183562786,1451.3550670659304,1441.2260162852517,1436.9066754582238,1428.307065525037,1422.602605087734,1418.3392165047346,1414.088527379556,1408.440751996362,1404.219806501239,1398.611346978598,1386.0740775569782,1384.6880034794212,1379.1575540561569,1369.5328189013992,1369.5328189013992
1,1263.932,1247.6022631511448,1245.6534499066063,1235.72389988858,1212.4581429211153,1204.0800032534555,1401.1949091355775,1391.4177703161763,1387.251705848461,1384.6083636823862,1382.8549305702122,1410.5630381895714,1406.3720828257342,1400.7671249409593,1428.4260302123723,1422.7247850893275,1418.4428861793992,1417.9694652932199,1419.0183727590584,1420.8438902914306,1420.8438902914306
2,1206.061,1190.4779774064127,1305.7224068984935,1295.3131467297953,1270.9228407664555,1254.5930542861202,1266.855332278057,1258.0143722138077,1254.2452497336515,1249.0779016843364,1245.6501959230159,1270.5128421056763,1266.719022929014,1261.6645548606448,1286.4883648286109,1281.351139631834,1273.3671336523303,1272.484441518678,1271.8291475131389,1270.6886744638655,1270.6886744638655
3,1171.612,1157.6229412964758,1491.75885335725,1479.9170908992855,1517.5999543563923,1532.4224364392749,1517.1670372908509,1506.580594724436,1502.0657428035904,1493.0759630294979,1487.112687548423,1482.6558183277307,1478.2123063485496,1472.3083244796267,1467.89583593786,1462.0331020270567,1448.9273146737378,1447.478387359064,1441.69715688549,1431.6355089976496,1431.6355089976496
4,1085.866,1087.5455352632293,1193.3155059643293,1183.820958703287,1259.6523736861448,1367.7130541433187,1354.0991684580315,1366.817034782975,1395.8000363453982,1392.5967337314955,1426.501647024296,1422.2285120683605,1417.9854404339194,1412.3245610708661,1408.09415461579,1446.740084770526,1444.3444325952757,1454.5054681626805,1448.701315777426,1438.5997746168132,1438.5997746168132
5,1092.979,1246.5450477194365,1230.6052919015915,1220.795858109888,1211.609643460306,1237.4163046551541,1225.0983839254068,1230.0410035985558,1254.1199765541269,1249.4297619180213,1280.349935939772,1276.5149616641565,1272.7036726103481,1267.621831037744,1263.825590317444,1295.9818613342104,1291.5995640014269,1303.7082374374254,1298.5070807274378,1289.4549926530071,1289.4549926530071
6,1061.905,1497.8279563046053,1478.473074268019,1466.6866281450405,1439.0692336917296,1420.4731705072495,1406.3321998911304,1396.5173792327605,1392.3320242416855,1383.9989072058952,1378.4712220179151,1374.340047282091,1370.2212536810816,1364.7486524124324,1360.6586042314386,1355.229356476099,1343.0812357784857,1341.7391445427072,1336.3806524042084,1327.0547379031734,1327.0547379031734
7,1058.711,1258.7996653728414,1364.9728743049864,1354.1288862281754,1507.1240497941146,1487.649364042541,1472.8542007578587,1462.5751486456365,1458.1918514205845,1449.464657763239,1443.6755460397794,1439.3489149186448,1435.0352207452968,1429.3056533789056,1425.0220318974266,1419.3305001853769,1406.6075473570297,1405.200945809673,1399.5885915767344,1389.8208557336852,1389.8208557336852
8,1106.508,1092.2180846504407,1188.9012910731653,1180.1371452895594,1300.134917863301,1283.3403674740919,1369.4276006761183,1359.8718041033826,1355.798376835317,1374.6308025546498,1369.1421392037175,1365.0446180403167,1360.9691353871963,1426.1626390575123,1421.8891414883321,1416.212259345244,1410.3570608592145,1409.6784407983553,1407.293763034146,1407.8853076915743,1407.8853076915743
9,1271.367,1254.9384335132754,1238.8823333756602,1238.671127040216,1215.374898911904,1199.6715969931613,1272.183837417035,1263.3056825500746,1259.5219907179792,1275.6467777519556,1270.554171918638,1266.7535215882465,1262.966932138587,1317.9452002506648,1313.9957307537063,1308.7502306410145,1307.3342887770236,1307.1257774882465,1306.7859844927407,1314.164318072476,1314.164318072476
10,1241.163,1225.1412399763728,1209.55767154576,1441.0639701135485,1413.9287857981396,1395.65804693355,1381.7641337554571,1372.1207675106357,1368.0085291892885,1359.820994742512,1354.3898762335984,1350.3307804081405,1346.2838496969305,1341.0557150385666,1337.0366236655584,1331.6969693303042,1323.0757709033733,1322.1188181324699,1318.3370642203643,1312.3266071957323,1312.3266071957323
11,1176.298,1161.1237222123032,1146.3930054567102,1382.6577816869126,1356.6752584053818,1492.3755843407907,1477.5233063407763,1467.2480570657433,1503.8417987448372,1501.8670845004406,1509.7816504154118,1505.2764846348923,1500.76683284072,1505.818405832246,1515.0387980725068,1508.9881783768167,1495.4616700265437,1493.9662293565173,1487.9994061361808,1477.61475281256,1477.61475281256
12,1203.211,1187.6700911341607,1172.3434971921326,1188.0486108238738,1165.7311551736816,1258.5516182450233,1246.0277627854696,1237.3716813319522,1285.9319036759387,1288.9912908582558,1307.6118875124566,1303.8848833400039,1299.992858310994,1318.3575888146024,1354.3716939216397,1348.9891037627935,1358.465502028355,1359.2758885263268,1364.1982233140445,1395.6906773559826,1395.6906773559826
13,1405.76,1387.5943811582367,1369.6635036255486,1358.744477541345,1333.159404060982,1315.9325969461613,1302.8326488714983,1293.7407135213552,1294.5027258601901,1289.8433595174952,1289.1347299100664,1285.350600373887,1281.505194543482,1284.2466261893364,1296.6249816988943,1291.4732917498548,1292.7833720646204,1292.5889806925559,1292.2521624184303,1305.0238231870346,1305.0238231870346
14,1535.265,1515.4258676799518,1495.8431022875748,1483.9181733576618,1455.9760835491825,1437.1615839944072,1422.854498133154,1412.9244305889652,1408.6900415106143,1400.259093234794,1394.666560654886,1390.4867885329518,1386.3195491862489,1380.782850961175,1377.0636990408864,1371.564895327235,1366.3753550446188,1365.6163916895741,1362.666370843455,1361.9586592146975,1361.9586592146975
15,1489.122,1469.8791406899168,1450.884943097562,1439.3184151551677,1412.2161184087329,1393.967149296762,1380.0900791623158,1370.458452035313,1366.3512825881367,1358.1738104358678,1352.749386613778,1348.6952912533789,1344.6534539128652,1339.283429849196,1335.2705071589585,1329.938749434939,1326.7339303425151,1326.3365894121728,1324.9341045358212,1332.361862803394,1332.361862803394
16,1488.039,1468.8138959098994,1449.8341873624674,1438.280205488814,1411.254983737689,1393.0183829929947,1379.1507181202762,1369.5256049526208,1365.4211653150621,1357.2491282628212,1351.82830975694,1347.77690893078,1343.7377250819727,1338.3711307846884,1334.3602559424303,1329.0312950245695,1319.2713323190544,1318.2593479867353,1314.2652826878152,1309.4344764605592,1309.4344764605592
17,1315.371,1298.5128967503595,1281.8719279946051,1272.059388002176,1412.2473601627146,1394.019205728326,1393.022865426308,1462.030545160525,1457.6489430496836,1448.9313548010123,1443.1443810797243,1438.819917284698,1437.0636569645899,1431.3240309538676,1427.0343603927777,1421.3347914326705,1408.5938719694743,1407.185283097505,1401.5649994194996,1391.783463177976,1391.783463177976
