,0,1,2,3,4,5,6,7,8
0,2946.769,2906.070857599138,2860.6927206682712,2854.642944481855,3020.8366500041143,3397.8402950797254,3381.2819135008035,3391.3683364715407,3391.3683364715407
1,2841.05,2960.00007660258,2918.989423186237,2879.382909526169,2894.4389510210467,3168.969730371207,3155.4330671326875,3369.816779562283,3369.816779562283
2,2673.303,2798.2515728529393,3147.30770953986,3103.5754522808907,3079.310320080888,3075.0666443235923,3060.866165474827,3119.212871694443,3119.212871694443
3,2759.344,2747.625153031213,3654.9105169755135,3606.193995166576,3577.4463549464745,3567.1966530851164,3611.452709151199,3586.2538516055556,3586.2538516055556
4,2771.845,2734.5349002389207,3091.7552743310225,3093.1992988539278,3068.5458012003637,3079.4067136368053,3319.830177054484,3296.7107825224693,3296.7107825224693
5,2890.005,2849.812198666328,2826.911176045452,3040.5261492860714,3016.2891369428253,3009.9063645747733,3079.330430702102,3057.8643119508056,3057.8643119508056
6,2891.819,2856.83047028933,2862.8520687537766,3540.848541797583,3512.623306044805,3495.683033956239,3491.3641951061527,3651.422400571396,3651.422400571396
7,2750.194,2767.346011069332,2753.3971161650556,3035.968786608888,3011.7676832968345,2997.0712421701796,2990.8550857107757,3120.4692967618344,3120.4692967618344
8,2750.315,3570.095244361326,3513.400139109539,3464.5309812069036,3436.942103343691,3419.7919773962662,3402.728568471013,3378.9825585529547,3378.9825585529547
9,2638.17,3464.579711045501,3410.8203418907024,3363.3830805416483,3343.131785801283,3326.4509968284774,3309.8618333661725,3288.416299957816,3288.416299957816
10,2761.874,2807.431086268638,3104.104447244884,3061.209147824767,3098.9389900139436,3083.4761017815754,3068.094165923634,3048.269476169799,3048.269476169799
11,2833.312,2794.0567314606833,3068.4492938054236,3027.4925027129125,3526.5178567609596,3518.061287537196,3603.416644589354,3578.3877549118274,3578.3877549118274
12,2893.526,2853.3151304037883,2811.2946790797832,2773.807823597483,3015.5509183920517,3008.342455150708,3087.02120793322,3065.6223546756282,3065.6223546756282
13,3391.628,3344.452614983648,3291.3408723976822,3245.5604313528415,3219.742725483188,3203.678592266533,3187.7365103690986,3165.5184558766014,3165.5184558766014
14,3526.729,3477.6745574077536,3422.4472395359203,3374.8434567167083,3347.9392949465373,3331.2337080734274,3314.616482235801,3291.4857586001667,3291.4857586001667
15,3438.369,3390.5436721787,3336.700136682751,3290.2892500838525,3264.0591193177997,3247.77195563918,3231.5663794407355,3209.014267374357,3209.014267374357
16,3743.305,3691.238011931545,3632.619091910745,3582.091757773177,3553.5351458497835,3535.8030098744857,3518.1593574349376,3493.6060351620586,3493.6060351620586
17,3635.598,3585.0291755110197,3528.0969428578055,3479.023459142423,3451.288569264722,3434.066649718548,3416.930667723043,3393.0838938054753,3393.0838938054753
18,3672.128,3621.0510386618666,3563.5467269538594,3513.980061957636,3485.966416366608,3468.571409106701,3451.2632031068842,3427.176723517947,3427.176723517947
19,3804.971,3752.0462771527255,3692.461703818547,3641.1020109783885,3612.0749500718857,3594.0507198484543,3576.1164307139907,3551.158931077765,3551.158931077765
20,3557.158,3507.681477787489,3451.9802059210565,3403.967738665711,3376.8363710538197,3359.988513625966,3343.2245225846614,3319.8990138015574,3319.8990138015574
21,3384.524,3337.4479834729264,3284.4488917149047,3238.7653708427642,3212.9481198626886,3196.9167490837035,3180.964671413729,3158.7661710532675,3158.7661710532675
22,3476.548,3428.196188879749,3373.757568902015,3326.8394296413016,3300.3207090191395,3283.8668610940404,3267.491974328247,3245.1176211097218,3245.1176211097218
23,3340.042,3293.5880658237843,3241.2860975011617,3196.207227685682,3170.728766307722,3154.91561043006,3139.2216167689103,3117.9485996374938,3117.9485996374938
24,3450.251,3402.260581949241,3348.235183733859,3301.6641023468273,3275.345203915762,3259.0727703245016,3242.949979316597,3222.184614658303,3222.184614658303
25,3378.138,3331.1504052935247,3278.2535141092308,3232.655429796896,3206.885811381016,3190.9822163372887,3175.6869014912163,3157.029471138834,3157.029471138834
26,3512.845,3463.9930360049593,3408.9892611502964,3361.587761896566,3334.793309127193,3318.279158926769,3303.766193104222,3331.556485658136,3331.556485658136
27,3337.237,3290.8375070705697,3238.5979740954836,3193.5812669397496,3168.179057963825,3152.5231757658185,3139.2141096506584,3192.8043596649873,3192.8043596649873
28,3320.639,3274.4656315848765,3222.4821547525976,3177.6812210322723,3152.381046766174,3136.7246805930754,3122.0311486557393,3122.2400859670483,3122.2400859670483
29,3632.934,3582.4022022353283,3525.5116556229505,3476.474034240637,3448.759388800284,3431.550044979817,3414.4265759570208,3390.597187455989,3390.597187455989
30,3737.516,3685.529616690137,3627.0014444554563,3576.552276034282,3548.039976638198,3530.3355310727297,3512.7193111073498,3488.205134564911,3488.205134564911
31,3512.773,3463.912676477795,3408.903936717912,3361.4884908857384,3334.690779706003,3318.0509387856323,3301.494036027579,3278.4531356860475,3278.4531356860475
