,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.45,0.0,0.0,0.0,16050983.0,486520.0,245954019.4,0.0
1,1.37,0.06,0.04,175907.7,16050983.0,459549.88,236267783.2,0.0323
2,1.33,0.09,0.05,269176.67,16050983.0,444624.0,233175603.55,0.0187
3,1.28,0.12,0.06,325477.09,16050983.0,429323.99,231187386.79,0.021
4,1.25,0.14,0.06,375499.61,16050983.0,418298.86,230128113.86,0.014
5,1.23,0.15,0.07,404305.7,16050983.0,411655.82,229651469.89,0.0094
6,1.22,0.16,0.07,419469.3,16050983.0,407966.37,229419400.75,0.006
7,1.2,0.18,0.07,441373.47,16050983.0,401086.55,229050698.73,0.0104
8,1.18,0.19,0.07,463675.77,16050983.0,393935.44,228732158.11,0.0114
9,1.17,0.2,0.07,476780.92,16050983.0,390795.23,228633787.36,0.0054
10,1.16,0.2,0.07,484597.05,16050983.0,388456.51,228560494.26,0.0042
11,1.14,0.22,0.07,497284.15,16050983.0,379622.58,228360992.81,0.014
12,1.13,0.22,0.07,503103.38,16050983.0,377728.94,228318518.72,0.0036
13,1.12,0.23,0.07,507661.66,16050983.0,375845.31,228281751.43,0.0035
14,1.12,0.23,0.07,509701.41,16050983.0,373597.35,228241481.26,0.0042
15,1.11,0.24,0.07,511686.12,16050983.0,372106.13,228219234.84,0.003
16,1.11,0.24,0.07,514005.82,16050983.0,370620.92,228202442.2,0.0031
17,1.11,0.24,0.07,514707.92,16050983.0,370250.55,228197096.31,0.0013
18,1.11,0.24,0.07,515381.62,16050983.0,369880.55,228193467.38,0.0013
19,1.11,0.24,0.07,515967.27,16050983.0,369510.91,228189257.54,0.0013
20,1.1,0.24,0.07,516729.69,16050983.0,369141.76,228185179.08,0.0013
21,1.1,0.24,0.07,517482.81,16050983.0,368772.97,228182275.17,0.0013
22,1.1,0.24,0.07,517482.81,16050983.0,368772.97,228182275.17,0.0008
