,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
35,92.8,75.2,61.6,50.9,50.9,42.7,36.3,36.3,31.3,31.3,27.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
36,61.6,50.9,42.7,36.3,36.3,31.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3
37,230.4,230.4,144.6,144.6,115.5,92.8,92.8,75.2,61.6,61.6,50.9,50.9,50.9,50.9,50.9,42.7,42.7,42.7,42.7,42.7,36.3,36.3
38,144.6,115.5,92.8,92.8,75.2,61.6,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
39,75.2,61.6,50.9,50.9,42.7,36.3,31.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1
40,144.6,115.5,92.8,92.8,75.2,61.6,50.9,50.9,42.7,36.3,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
41,115.5,92.8,75.2,61.6,50.9,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5
42,61.6,50.9,42.7,36.3,31.3,31.3,27.5,36.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
43,24.5,22.1,20.3,20.3,18.9,17.8,17.8,36.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,31.3,31.3,31.3,31.3
44,20.3,18.9,17.8,17.0,17.0,16.3,16.3,18.9,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,18.9,22.1,22.1,22.1,22.1
45,24.5,22.1,20.3,20.3,18.9,17.8,17.8,17.8,20.3,20.3,20.3,22.1,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3
46,27.5,24.5,22.1,22.1,20.3,20.3,18.9,17.8,20.3,20.3,20.3,31.3,31.3,31.3,36.3,36.3,36.3,36.3,36.3,36.3,31.3,31.3
47,24.5,24.5,22.1,20.3,20.3,18.9,17.8,17.8,17.8,17.8,17.0,17.8,17.8,17.8,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
