,0,1
0,9.75,9.75
1,7.3,7.3
2,5.52,5.52
3,7.71,7.71
4,2.455,2.455
5,0.03,0.03
6,0.045,0.045
7,0.005,0.005
8,0.093,0.093
9,0.886,0.886
10,0.86,0.86
11,0.375,0.375
12,2.945,2.945
13,3.095,3.095
14,6.0,6.0
15,18.0,18.0
16,18.5,18.5
17,21.466,21.466
18,16.599,16.599
19,19.033,19.033
20,16.427,16.427
21,17.974,17.974
22,24.519,24.519
23,9.219,9.219
24,0.456,0.456
25,2.643,2.643
26,14.917,14.917
27,16.413,16.413
28,11.066,11.066
29,11.067,11.067
30,8.3,8.3
31,7.1,7.1
32,7.206,7.206
33,9.768,9.768
34,0.868,0.868
35,0.0,0.0
36,1.0,1.0
37,0.437,0.437
38,6.48,6.48
39,20.3,20.3
40,3.68,3.68
41,1.379,1.379
42,2.145,2.145
43,7.864,7.864
44,0.114,0.114
45,0.126,0.126
46,0.154,0.154
47,0.075,0.075
