,Unnamed: 0,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1
60,54,5000,1,9,10,0,0,minizinc_fw,20,1.2,1.12,4037331.0,3764453.44,161599524.0,0.07,0.11,0.02335,7272.223283333333,48.0,0.0,
61,55,5000,1,9,10,0,0,ogsa_fw,20,1.2,1.03,4037331.0,3454525.68,161599524.0,0.14,0.13,0.007351724137931034,4.403541379310345,49.0,1.0,
62,56,5000,1,6,10,0,0,minizinc_fw,9,1.27,1.18,4264142.0,3963805.24,161350720.0,0.07,0.07,0.0256,5378.062475,50.0,0.0,
63,57,5000,1,6,10,0,0,ogsa_fw,9,1.27,1.08,4264142.0,3624129.13,161350720.0,0.15,0.09,0.00913333333333333,4.4694370370370375,51.0,1.0,
64,58,5000,1,3,10,0,0,minizinc_fw,8,1.18,1.1,4014031.0,3763916.31,163810593.0,0.06,0.11,0.017518181818181818,4362.1509,52.0,0.0,
65,59,5000,1,3,10,0,0,ogsa_fw,8,1.18,1.02,4014031.0,3496384.28,163810593.0,0.13,0.13,0.005665517241379309,4.6672551724137925,53.0,1.0,
66,60,5000,1,1,10,0,0,minizinc_fw,7,1.15,1.08,3940537.0,3698044.82,164285749.0,0.06,0.13,0.01831875,5622.9155875,54.0,0.0,
67,61,5000,1,1,10,0,0,ogsa_fw,7,1.15,1.03,3940537.0,3520829.97,164285749.0,0.11,0.15,0.0064360000000000025,4.4102559999999995,55.0,1.0,
68,62,5000,1,6,10,0,0,minizinc_fw,19,1.18,1.12,3935130.0,3745785.64,160491435.0,0.05,0.13,0.04524,4449.259990000001,56.0,0.0,
69,63,5000,1,6,10,0,0,ogsa_fw,19,1.18,1.02,3935130.0,3417404.72,160491435.0,0.13,0.15,0.006831999999999998,4.708560000000001,57.0,1.0,
