,0,1,2,3,4,5,6,7,8,9,10,11,12
0,22.1,20.3,18.9,17.8,17.8,20.3,18.9,18.9,17.8,18.9,18.9,18.9,18.9
1,18.9,17.8,75.2,61.6,61.6,50.9,42.7,36.3,36.3,36.3,36.3,36.3,36.3
2,15.8,15.4,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,31.3,31.3,31.3
3,17.8,17.0,22.1,22.1,22.1,50.9,50.9,42.7,42.7,42.7,42.7,42.7,42.7
4,15.8,15.8,17.0,17.0,17.0,20.3,20.3,18.9,18.9,18.9,18.9,18.9,18.9
5,15.4,17.0,22.1,50.9,50.9,50.9,42.7,36.3,36.3,36.3,36.3,36.3,36.3
6,14.8,15.8,15.8,24.5,24.5,24.5,24.5,36.3,36.3,36.3,42.7,50.9,50.9
7,15.1,20.3,18.9,18.9,18.9,17.8,17.8,17.8,18.9,18.9,18.9,20.3,20.3
8,14.8,92.8,75.2,61.6,61.6,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3
9,14.8,20.3,22.1,42.7,50.9,50.9,50.9,92.8,75.2,75.2,75.2,61.6,61.6
10,15.8,15.4,15.4,17.0,17.8,17.8,17.8,20.3,20.3,20.3,20.3,20.3,20.3
11,22.1,20.3,27.5,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5
12,15.8,15.4,17.0,22.1,20.3,22.1,31.3,31.3,31.3,31.3,31.3,27.5,27.5
13,20.3,18.9,17.8,18.9,18.9,18.9,50.9,42.7,42.7,42.7,42.7,50.9,50.9
14,27.5,24.5,22.1,20.3,20.3,18.9,22.1,22.1,22.1,22.1,20.3,24.5,24.5
15,50.9,42.7,36.3,31.3,31.3,24.5,24.5,24.5,27.5,27.5,24.5,24.5,24.5
16,50.9,36.3,31.3,27.5,27.5,24.5,24.5,22.1,36.3,36.3,42.7,42.7,42.7
17,31.3,27.5,24.5,22.1,22.1,20.3,20.3,18.9,22.1,22.1,24.5,24.5,24.5
18,50.9,42.7,31.3,31.3,31.3,24.5,24.5,24.5,22.1,22.1,24.5,22.1,22.1
19,115.5,92.8,61.6,50.9,50.9,50.9,42.7,36.3,36.3,36.3,36.3,36.3,36.3
20,115.5,92.8,61.6,50.9,50.9,50.9,42.7,36.3,36.3,36.3,36.3,36.3,36.3
21,42.7,36.3,31.3,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1
22,31.3,24.5,22.1,22.1,22.1,24.5,24.5,27.5,24.5,24.5,27.5,27.5,27.5
23,22.1,20.3,17.8,17.8,18.9,20.3,20.3,24.5,24.5,27.5,27.5,24.5,24.5
24,27.5,24.5,22.1,20.3,20.3,20.3,20.3,24.5,24.5,27.5,31.3,31.3,31.3
25,31.3,24.5,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
26,115.5,92.8,61.6,50.9,50.9,50.9,42.7,36.3,36.3,36.3,36.3,36.3,36.3
27,75.2,61.6,50.9,36.3,36.3,31.3,31.3,31.3,27.5,27.5,27.5,24.5,24.5
28,61.6,50.9,36.3,36.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,24.5
29,75.2,61.6,50.9,36.3,36.3,31.3,31.3,31.3,27.5,27.5,27.5,24.5,24.5
30,75.2,61.6,42.7,36.3,36.3,31.3,31.3,27.5,27.5,27.5,27.5,24.5,24.5
31,182.1,144.6,92.8,75.2,75.2,61.6,61.6,50.9,50.9,50.9,50.9,42.7,42.7
32,75.2,61.6,50.9,36.3,36.3,36.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5
33,50.9,36.3,31.3,27.5,27.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1
34,92.8,75.2,50.9,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3
35,92.8,61.6,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5
36,144.6,115.5,92.8,61.6,61.6,61.6,50.9,50.9,42.7,42.7,42.7,36.3,36.3
37,92.8,75.2,50.9,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3
38,92.8,75.2,61.6,50.9,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,31.3
39,230.4,182.1,144.6,115.5,92.8,92.8,75.2,61.6,61.6,61.6,61.6,61.6,61.6
40,230.4,182.1,144.6,115.5,92.8,92.8,75.2,61.6,61.6,61.6,61.6,61.6,61.6
41,61.6,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5
42,36.3,31.3,24.5,22.1,22.1,22.1,22.1,36.3,31.3,31.3,31.3,36.3,36.3
43,24.5,22.1,20.3,18.9,18.9,18.9,18.9,20.3,20.3,20.3,18.9,20.3,20.3
44,31.3,27.5,24.5,22.1,22.1,31.3,42.7,42.7,50.9,61.6,61.6,61.6,61.6
45,20.3,20.3,18.9,17.8,17.8,17.8,18.9,17.8,17.8,18.9,18.9,18.9,18.9
46,17.0,18.9,61.6,115.5,115.5,144.6,144.6,115.5,115.5,115.5,115.5,92.8,92.8
47,15.4,15.4,16.3,17.8,20.3,31.3,31.3,27.5,27.5,31.3,31.3,31.3,31.3
