,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,battery_capacity_max,battery_capacity_min,battery_power,no_iterations,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,inconvenient,pricing_time,rescheduling_time
0,50,1,3,0,6,0,minizinc_fw,0,5000,0,5000,14,2.77,1.46,17904.0,9406.07,310183.0,0.47,0.13,499.5,0.004026666666666667,40.46666666666667
1,50,1,3,0,6,0,minizinc_fw,0,,,,8,2.77,1.53,17904.0,9908.54,310183.0,0.45,0.13,274.44,0.004866666666666667,27.53222222222222
2,50,10,3,0,6,0,minizinc_fw,0,5000,0,5000,18,2.77,1.5,17904.0,9669.52,310183.0,0.46,0.13,2149.73,0.00461578947368421,41.54210526315789
3,50,10,3,0,6,0,minizinc_fw,0,,,,16,2.77,1.45,17904.0,9346.21,310183.0,0.48,0.13,1906.52,0.0047411764705882365,29.156470588235294
4,50,50,3,0,6,0,minizinc_fw,0,5000,0,5000,56,2.77,1.67,17904.0,10814.78,310183.0,0.4,0.13,2939.95,0.004094736842105264,42.33649122807018
5,50,50,3,0,6,0,minizinc_fw,0,,,,53,2.77,1.47,17904.0,9485.68,310183.0,0.47,0.13,3875.43,0.004155555555555557,30.413518518518522
6,50,100,3,0,6,0,minizinc_fw,0,5000,0,5000,46,2.77,1.7,17904.0,10992.36,310183.0,0.39,0.13,3095.15,0.004936170212765959,42.52340425531914
7,50,100,3,0,6,0,minizinc_fw,0,,,,61,2.77,1.56,17904.0,10103.31,310183.0,0.44,0.13,4946.71,0.004112903225806452,30.86032258064516
8,50,500,3,0,6,0,minizinc_fw,0,5000,0,5000,50,2.77,1.78,17904.0,11486.21,310183.0,0.36,0.13,717.7,0.007333333333333334,42.76196078431373
9,50,500,3,0,6,0,minizinc_fw,0,,,,19,2.77,1.84,17904.0,11895.23,310183.0,0.34,0.13,14912.83,0.00849,29.587499999999995
10,50,1000,3,0,6,0,minizinc_fw,0,5000,0,5000,47,2.77,1.78,17904.0,11471.48,310183.0,0.36,0.13,767.18,0.008195833333333331,42.46354166666667
11,50,1000,3,0,6,0,minizinc_fw,0,,,,18,2.77,1.97,17904.0,12746.42,310183.0,0.29,0.13,22647.03,0.007705263157894736,29.45368421052631
12,100,1,3,0,6,0,minizinc_fw,0,5000,0,5000,61,2.0,1.13,28459.0,16000.01,681669.0,0.44,0.1,5647.98,0.0052919354838709695,93.42387096774195
13,100,1,3,0,6,0,minizinc_fw,0,,,,65,2.0,1.08,28459.0,15389.1,681669.0,0.46,0.1,3866.12,0.0037621212121212136,67.064696969697
14,100,10,3,0,6,0,minizinc_fw,0,5000,0,5000,57,2.0,1.18,28459.0,16826.98,681669.0,0.41,0.1,11495.79,0.005994827586206896,93.64172413793104
15,100,10,3,0,6,0,minizinc_fw,0,,,,79,2.0,1.15,28459.0,16339.33,681669.0,0.43,0.1,10621.16,0.0038787500000000003,67.55662500000001
16,100,50,3,0,6,0,minizinc_fw,0,5000,0,5000,41,2.0,1.27,28459.0,18006.05,681669.0,0.37,0.1,15381.07,0.006785714285714288,92.81380952380951
17,100,50,3,0,6,0,minizinc_fw,0,,,,48,2.0,1.27,28459.0,18018.01,681669.0,0.37,0.1,17165.61,0.0064714285714285716,67.4620408163265
18,100,100,3,0,6,0,minizinc_fw,0,5000,0,5000,65,2.0,1.28,28459.0,18214.03,681669.0,0.36,0.1,16769.43,0.005851515151515153,93.95181818181818
19,100,100,3,0,6,0,minizinc_fw,0,,,,64,2.0,1.32,28459.0,18796.89,681669.0,0.34,0.1,17287.32,0.007373846153846157,67.97799999999998
20,100,500,3,0,6,0,minizinc_fw,0,5000,0,5000,79,2.0,1.37,28459.0,19387.03,681669.0,0.32,0.1,12524.15,0.006762499999999993,93.043
21,100,500,3,0,6,0,minizinc_fw,0,,,,32,2.0,1.46,28459.0,20796.2,681669.0,0.27,0.1,30709.53,0.01220909090909091,65.7960606060606
22,100,1000,3,0,6,0,minizinc_fw,0,5000,0,5000,90,2.0,1.37,28459.0,19390.88,681669.0,0.32,0.1,12660.1,0.007257142857142854,93.62692307692309
23,100,1000,3,0,6,0,minizinc_fw,0,,,,18,2.0,1.5,28459.0,21339.58,681669.0,0.25,0.09,50780.16,0.013584210526315789,64.68789473684211
24,500,1,3,0,6,0,minizinc_fw,0,5000,0,5000,18,1.6,1.02,106263.0,67995.81,3188496.0,0.36,0.09,18758.26,0.009878947368421051,458.1694736842106
25,500,1,3,0,6,0,minizinc_fw,0,,,,27,1.6,1.04,106263.0,68913.72,3188496.0,0.35,0.09,14876.25,0.005875000000000003,332.7607142857143
26,500,10,3,0,6,0,minizinc_fw,0,5000,0,5000,22,1.6,1.04,106263.0,68936.82,3188496.0,0.35,0.09,75961.01,0.009343478260869566,466.3691304347827
27,500,10,3,0,6,0,minizinc_fw,0,,,,30,1.6,1.02,106263.0,67989.22,3188496.0,0.36,0.09,65509.47,0.00602258064516129,345.8293548387097
28,500,50,3,0,6,0,minizinc_fw,0,5000,0,5000,37,1.6,1.09,106263.0,72299.97,3188496.0,0.32,0.09,123690.51,0.008215789473684211,471.56105263157895
29,500,50,3,0,6,0,minizinc_fw,0,,,,46,1.6,1.06,106263.0,70247.71,3188496.0,0.34,0.09,141633.83,0.007127659574468089,346.7370212765958
30,500,100,3,0,6,0,minizinc_fw,0,5000,0,5000,43,1.6,1.09,106263.0,72411.02,3188496.0,0.32,0.08,147007.42,0.006359090909090909,473.0015909090908
31,500,100,3,0,6,0,minizinc_fw,0,,,,77,1.6,1.09,106263.0,72318.68,3188496.0,0.32,0.09,138951.11,0.0081051282051282,346.48461538461544
32,500,500,3,0,6,0,minizinc_fw,0,5000,0,5000,51,1.6,1.14,106263.0,75513.3,3188496.0,0.29,0.08,206820.88,0.006373076923076921,472.6273076923078
33,500,500,3,0,6,0,minizinc_fw,0,,,,76,1.6,1.18,106263.0,78691.14,3188496.0,0.26,0.08,144738.09,0.011119480519480517,340.39857142857124
34,500,1000,3,0,6,0,minizinc_fw,0,5000,0,5000,68,1.6,1.14,106263.0,75585.04,3188496.0,0.29,0.08,223679.0,0.005826086956521741,468.0188405797103
35,500,1000,3,0,6,0,minizinc_fw,0,,,,64,1.6,1.21,106263.0,80648.55,3188496.0,0.24,0.08,168432.61,0.012950769230769228,340.10953846153836
36,1000,1,3,0,6,0,minizinc_fw,0,5000,0,5000,15,1.39,1.04,189152.0,140762.62,6516979.0,0.26,0.13,40868.89,0.010381249999999998,911.3874999999999
37,1000,1,3,0,6,0,minizinc_fw,0,,,,27,1.39,1.02,189152.0,137994.19,6516979.0,0.27,0.13,42208.77,0.007532142857142856,678.7610714285714
38,1000,10,3,0,6,0,minizinc_fw,0,5000,0,5000,15,1.39,1.03,189152.0,140084.15,6516979.0,0.26,0.13,217726.45,0.011175000000000003,921.1425
39,1000,10,3,0,6,0,minizinc_fw,0,,,,28,1.39,1.02,189152.0,138175.27,6516979.0,0.27,0.13,221722.01,0.008593103448275859,698.4044827586207
