,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,battery_capacity_max,battery_capacity_min,battery_power,no_iterations,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time
0,5,5,0,0,10,0,minizinc_fw,0,5000,0,5000,4,5.14,2.88,21345.0,11944.25,199375.0,0.44,0.11,0.00588,6.266
1,5,5,0,0,10,0,ogsa_fw,0,5000,0,5000,4,5.14,2.88,21345.0,11944.25,199375.0,0.44,0.11,0.00476,0.33840000000000003
2,5,5,0,0,10,0,minizinc_fw,0,,,,3,5.14,2.67,21345.0,11099.99,199375.0,0.48,0.11,0.0038250000000000003,5.2775
3,5,5,0,0,10,0,ogsa_fw,0,,,,3,5.14,2.67,21345.0,11099.99,199375.0,0.48,0.11,0.0029,0.007825
4,5,5,2,0,10,0,minizinc_fw,0,5000,0,5000,4,5.14,2.88,21345.0,11944.25,199375.0,0.44,0.11,0.00412,5.672
5,5,5,2,0,10,0,ogsa_fw,0,5000,0,5000,4,5.14,2.88,21345.0,11944.25,199375.0,0.44,0.11,0.0031399999999999996,0.30663999999999997
6,5,5,2,0,10,0,minizinc_fw,0,,,,3,5.14,2.67,21345.0,11099.99,199375.0,0.48,0.11,0.004574999999999999,5.2275
7,5,5,2,0,10,0,ogsa_fw,0,,,,3,5.14,2.67,21345.0,11099.99,199375.0,0.48,0.11,0.003875,0.008575
8,5,5,4,0,10,0,minizinc_fw,0,5000,0,5000,4,5.14,2.88,21345.0,11944.25,199375.0,0.44,0.11,0.0051600000000000005,6.209999999999999
9,5,5,4,0,10,0,ogsa_fw,0,5000,0,5000,4,5.14,2.88,21345.0,11944.25,199375.0,0.44,0.11,0.0044,0.32154
10,5,5,4,0,10,0,minizinc_fw,0,,,,3,5.14,2.67,21345.0,11099.99,199375.0,0.48,0.11,0.004149999999999999,5.1125
11,5,5,4,0,10,0,ogsa_fw,0,,,,3,5.14,2.67,21345.0,11099.99,199375.0,0.48,0.11,0.00295,0.008575
12,5,5,6,0,10,0,minizinc_fw,0,5000,0,5000,4,5.14,2.88,21345.0,11944.25,199375.0,0.44,0.11,0.00466,4.714
13,5,5,6,0,10,0,ogsa_fw,0,5000,0,5000,4,5.14,2.88,21345.0,11944.25,199375.0,0.44,0.11,0.0034000000000000002,0.31294000000000005
14,5,5,6,0,10,0,minizinc_fw,0,,,,3,5.14,2.67,21345.0,11099.99,199375.0,0.48,0.11,0.004575,4.4325
15,5,5,6,0,10,0,ogsa_fw,0,,,,3,5.14,2.67,21345.0,11099.99,199375.0,0.48,0.11,0.0035999999999999995,0.008425
16,5,5,8,0,10,0,minizinc_fw,0,5000,0,5000,4,5.14,2.88,21345.0,11944.25,199375.0,0.44,0.11,0.0036200000000000004,5.025999999999999
17,5,5,8,0,10,0,ogsa_fw,0,5000,0,5000,4,5.14,2.88,21345.0,11944.25,199375.0,0.44,0.11,0.0041800000000000006,0.31110000000000004
18,5,5,8,0,10,0,minizinc_fw,0,,,,3,5.14,2.67,21345.0,11099.99,199375.0,0.48,0.11,0.0038250000000000003,4.8575
19,5,5,8,0,10,0,ogsa_fw,0,,,,3,5.14,2.67,21345.0,11099.99,199375.0,0.48,0.11,0.0029,0.008775
