,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1
1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.1,14.0,14.0,14.2,14.2,14.2,14.1,14.1,14.2,14.1,14.1,14.2,14.1,14.2,14.1,14.1,14.1,14.2,14.1,14.2,14.1,14.1,14.2,14.1,14.1,14.1,14.1,14.1,14.2,14.1,14.1,14.2,14.1,14.1,14.2,14.1,14.1,14.2,14.1,14.1,14.1,14.1
3,14.0,14.0,14.0,14.0,14.0,14.0,14.1,14.0,14.3,14.2,14.2,14.1,14.0,14.0,14.2,14.1,14.0,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.0,14.1,14.1,14.1,14.1,14.1,14.1,14.0,14.1,14.1,14.1,14.1,14.1,14.0,14.1,14.1,14.1
4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.1,14.0,14.0,14.0,14.1,14.1,14.0,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.0,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1
5,14.0,14.0,14.0,14.0,14.2,14.1,14.0,14.3,14.2,14.1,14.1,14.1,14.0,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1
6,14.0,14.0,14.0,14.0,14.2,14.1,14.1,14.1,14.0,14.0,14.2,14.0,14.2,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1
7,16.3,14.3,14.0,14.8,14.5,14.3,14.2,14.1,14.1,14.1,14.1,14.1,14.2,14.1,14.1,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.1,14.1,14.2,14.1,14.1,14.2,14.2,14.2,14.1,14.1,14.2,14.1,14.1,14.2,14.2,14.2,14.1,14.1,14.1,14.2,14.2,14.2,14.2,14.1,14.1,14.2,14.2,14.1,14.1,14.1
8,115.5,20.3,15.8,14.6,14.5,14.3,14.2,14.1,14.3,14.2,14.2,14.2,14.1,14.1,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2
9,14.0,15.1,14.4,14.1,14.0,14.3,14.1,14.1,14.2,14.2,14.1,14.1,14.1,14.0,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.2,14.1,14.1,14.1,14.1,14.2,14.2,14.1,14.1,14.2,14.1,14.1,14.2,14.1,14.2,14.1,14.1,14.2,14.2,14.1,14.2,14.1,14.1,14.1,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.2
10,14.0,14.0,14.0,14.0,14.2,14.1,14.3,14.2,14.0,14.3,14.3,14.2,14.1,14.2,14.1,14.1,14.2,14.1,14.1,14.1,14.1,14.1,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.2,14.2,14.1,14.2,14.1,14.1,14.1,14.1,14.2,14.1,14.1,14.1,14.1,14.2,14.1,14.2,14.1,14.1,14.1,14.1,14.2,14.1,14.2,14.2
11,14.0,14.0,14.3,14.1,14.2,14.1,14.3,14.2,14.1,14.2,14.1,14.1,14.1,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.1,14.1,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2
12,14.0,15.4,14.5,14.2,14.1,14.2,14.2,14.2,14.1,14.0,14.3,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.1,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2
