,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,2.06,0.0,0.0,0,1603015,68876,24113609.6,
1,1.87,0.09,0.05,0,1603015,62374,22970311.7,
2,1.72,0.17,0.06,0,1603015,57305,22665782.9,
3,1.94,0.06,0.02,0,1603015,64798,23551388.6,
4,1.7,0.18,0.06,0,1603015,56780,22677774.8,
5,2.16,-0.05,-0.45,0,1603015,72291,34875555.3,
