,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,step_size,objective
0,3.28,0.0,0.0,0.0,699109.0,47789.0,10570366.6,0.0,1.0,10570369.879999999
1,2.36,0.28,0.07,86.86,699109.0,34312.5,9806794.07,0.0073,0.282,9806883.29
2,2.07,0.37,0.07,109.26,699109.0,30160.69,9794005.6,0.0043,0.121,9794116.93
3,1.97,0.4,0.07,179.55,699109.0,28694.05,9792849.11,0.0019,0.079,9793030.63
4,1.83,0.44,0.07,254.93,699109.0,26703.0,9790673.2,0.0043,0.115,9790929.959999999
5,1.82,0.44,0.07,389.23,699109.0,26557.61,9789640.23,0.002,0.109,9790031.280000001
6,1.78,0.46,0.07,516.51,699109.0,25892.34,9788692.6,0.0022,0.1,9789210.889999999
7,1.75,0.47,0.07,539.03,699109.0,25535.9,9788420.26,0.0016,0.029,9788961.04
8,1.74,0.47,0.07,565.17,699109.0,25403.05,9788318.41,0.0011,0.018,9788885.32
9,1.73,0.47,0.07,620.29,699109.0,25268.46,9788073.53,0.002,0.037,9788695.549999999
10,1.73,0.47,0.07,645.45,699109.0,25233.63,9787904.77,0.0019,0.026,9788551.95
11,1.73,0.47,0.07,645.45,699109.0,25233.63,9787904.77,0.0004,0.0,9788551.95
