,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,step_size,objective
0,2.06,0.0,0.0,0.0,658566.0,28284.0,10452049.7,0.0,1.0,10452051.76
1,1.66,0.2,0.11,445.31,658566.0,22749.1,9329639.38,0.0331,0.196,9330086.350000001
2,1.45,0.3,0.11,691.27,658566.0,19905.46,9256504.89,0.0226,0.125,9257197.61
3,1.36,0.34,0.12,972.81,658566.0,18591.7,9243756.16,0.0098,0.066,9244730.33
4,1.31,0.37,0.12,1337.44,658566.0,17916.72,9238173.56,0.0084,0.06,9239512.31
5,1.25,0.4,0.12,1662.05,658566.0,17110.47,9235398.1,0.0062,0.045,9237061.4
6,1.23,0.4,0.12,1962.08,658566.0,16888.55,9233628.02,0.0057,0.039,9235591.33
7,1.22,0.41,0.12,2150.43,658566.0,16696.81,9232713.27,0.0052,0.029,9234864.92
8,1.23,0.4,0.12,2395.26,658566.0,16936.03,9231492.59,0.0052,0.039,9233889.08
9,1.23,0.4,0.12,2719.14,658566.0,16880.71,9230078.78,0.0058,0.054,9232799.15
10,1.21,0.41,0.12,2966.32,658566.0,16613.98,9228994.81,0.0058,0.041,9231962.340000002
11,1.24,0.4,0.12,3303.76,658566.0,16971.88,9227808.95,0.0062,0.066,9231113.95
12,1.22,0.41,0.12,3457.18,658566.0,16682.14,9226956.06,0.0064,0.038,9230414.46
13,1.21,0.41,0.12,3563.06,658566.0,16565.66,9226388.32,0.0034,0.032,9229952.590000002
14,1.2,0.42,0.12,3747.73,658566.0,16410.61,9225697.34,0.0066,0.044,9229446.27
15,1.19,0.42,0.12,3845.96,658566.0,16326.4,9225363.75,0.0046,0.025,9229210.9
16,1.17,0.43,0.12,3989.19,658566.0,16060.58,9224833.75,0.0046,0.037,9228824.11
17,1.17,0.43,0.12,4087.33,658566.0,16038.61,9224433.98,0.0043,0.031,9228522.48
18,1.17,0.43,0.12,4126.73,658566.0,16017.09,9224208.82,0.004,0.024,9228336.72
19,1.17,0.43,0.12,4187.73,658566.0,15993.46,9224021.57,0.003,0.027,9228210.47
20,1.16,0.44,0.12,4262.02,658566.0,15967.92,9223752.19,0.0046,0.03,9228015.37
21,1.15,0.44,0.12,4301.77,658566.0,15841.56,9223636.42,0.0019,0.014,9227939.34
22,1.15,0.44,0.12,4355.76,658566.0,15830.3,9223418.76,0.0036,0.023,9227775.67
23,1.15,0.44,0.12,4416.58,658566.0,15815.95,9223180.15,0.0032,0.03,9227597.88
24,1.15,0.44,0.12,4460.44,658566.0,15807.13,9223044.01,0.0028,0.019,9227505.6
25,1.15,0.44,0.12,4493.28,658566.0,15799.4,9222886.01,0.0033,0.017,9227380.44
26,1.15,0.44,0.12,4509.18,658566.0,15792.82,9222805.28,0.0019,0.01,9227315.61
27,1.15,0.44,0.12,4518.18,658566.0,15790.18,9222764.66,0.002,0.006,9227283.99
28,1.15,0.44,0.12,4523.75,658566.0,15787.55,9222728.68,0.002,0.006,9227253.58
