,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,1.265,1.25186,1.25400182,1.25542058522,1.2561198824989401,1.2567770111940186,1.2572621675335716,1.2577264374815573,1.2581701247951824,1.25863455630911,1.2591246954733086,1.25942433600417,1.2598034811558865,1.260104879248845,1.260354530407154,1.2606704223394674,1.2608869012224941,1.2610761037662594,1.2612526790967777,1.2614025719329065,1.2615680536239928,1.261643556444265,1.261730823976714,1.2618517834895757,1.261914747819784,1.2620350726548124,1.2620884413470257,1.2621408494027795,1.2621923141135294,1.2622821600618965,1.2623664130999777,1.2624243520117782,1.2624758649715426,1.2625313959421687,1.2625634877949206,1.2625951624535867,1.2626528785547007,1.2627139037122785,1.262734478578868,1.2627571337930792,1.2627773195889416,1.2627973237126409,1.2628061344177903,1.262812716014537,1.2628149032985225,1.2628170883952239,1.262823637130038,1.2628301662186479,1.2628323360524294,1.262834503716377,1.262834503716377
1,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49,9.49
2,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387,7.387
3,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229,2.229
4,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51
5,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422,5.422
6,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737,2.737
7,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22
8,0.679,0.8542000000000002,0.9234424000000001,0.8919093304000001,0.8763669492808,0.8617617950340208,0.8509788491270135,0.8406601181793927,0.8307988509704497,0.8204765291044591,0.8095828363634158,0.8029231117088816,0.7944963401126777,0.7877975523861424,0.782248877214449,0.7752279535638665,0.7704165558856733,0.7662113943149322,0.7622868815707603,0.7589554063079299,0.7552774576177652,0.7535993535501744,0.7516597703578698,0.7489713588546286,0.7475719316775361,0.7448976263421122,0.7437114690679542,0.742546662624731,0.7414028226974858,0.7394059323711663,0.73753334846766,0.7362456148013715,0.7351007025053441,0.7338664870502265,0.7331532227185736,0.7324492308232321,0.7311664492834745,0.7298101216021042,0.7293528305076853,0.7288493022026085,0.7284006584827849,0.7279560525564399,0.7277602283462141,0.7276139476611755,0.7275653337135144,0.7275167683798008,0.7273712180746614,0.7272261044204374,0.727177878316017,0.727129700437701,0.727129700437701
9,4.35,4.35,5.409500000000001,6.111324500000001,5.982747811500001,5.861924473449001,5.7727209295155095,5.687357673744579,5.60577885564616,5.520385893462222,5.93076617966563,5.850147104502683,5.7481371013965,5.667045149515503,5.599875846890212,5.514884289301678,5.456640074836594,5.405734631394111,5.358226572981375,5.31789751006212,5.273374224599262,5.253059991658079,5.229580431874969,5.197035955895595,5.180095236777683,5.147721522543354,5.133362535137573,5.119262009505097,5.105415293334006,5.081242003947318,5.0585735018249505,5.042984884784802,5.029125187089106,5.014184432973145,5.005550035344494,4.997027884885016,4.9814992156477755,4.965080236040934,4.959544513916565,4.9534490687774,4.948018027158403,4.942635864913978,4.940265321454322,4.938494525489959,4.937906030964468,4.937318124933504,4.935556170558703,4.933799502047027,4.933215702544979,4.932632486842435,4.932632486842435
