,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,objective
0,2.25,0.0,0.0,0.0,621720.0,29115.0,9307131.0,0.0,9307133.25
1,1.68,0.25,0.06,397.57,621720.0,21737.5,8735878.16,0.0204,8736277.41
2,1.45,0.35,0.06,541.22,621720.0,18817.51,8712934.29,0.0132,8713476.959999999
3,1.27,0.44,0.06,606.18,621720.0,16391.01,8705801.62,0.008,8706409.069999998
4,1.22,0.46,0.06,624.47,621720.0,15817.37,8704856.94,0.006,8705482.63
5,1.2,0.47,0.06,638.88,621720.0,15574.06,8704585.21,0.0055,8705225.290000001
6,1.19,0.47,0.06,641.28,621720.0,15418.52,8704433.32,0.0032,8705075.79
7,1.18,0.48,0.06,647.54,621720.0,15266.77,8704288.03,0.0028,8704936.749999998
8,1.18,0.48,0.06,648.34,621720.0,15233.59,8704249.52,0.0015,8704899.04
9,1.17,0.48,0.06,649.54,621720.0,15193.72,8704233.59,0.0011,8704884.299999999
10,1.17,0.48,0.06,653.79,621720.0,15133.32,8704187.39,0.0017,8704842.35
11,1.17,0.48,0.06,654.77,621720.0,15118.42,8704168.25,0.0008,8704824.19
12,1.17,0.48,0.06,655.2,621720.0,15102.35,8704159.26,0.001,8704815.629999999
13,1.17,0.48,0.06,655.2,621720.0,15102.35,8704159.26,0.0007,8704815.629999999
